Date,Value,Open,Close,High,Low
15/07/15,3725421.0,6.44,6.52,6.85,6.44
16/07/15,1012046.0,6.57,6.46,6.58,6.35
20/07/15,746917.0,6.7,6.5,6.7,6.4
21/07/15,1744446.0,6.58,6.65,6.8,6.55
22/07/15,1353448.0,6.56,6.66,6.7,6.56
23/07/15,6555368.0,6.7,7.0,7.0,6.68
23/07/15,6555368.0,6.7,7.0,7.0,6.68
23/07/15,6555368.0,6.7,7.0,7.0,6.68
24/07/15,20576131.0,7.07,7.89,7.95,7.07
27/07/15,16373342.0,7.95,8.4,8.5,7.95
28/07/15,8459930.0,8.4,8.1,8.45,7.8
29/07/15,4507408.0,8.1,8.1,8.28,8.1
30/07/15,8538647.0,8.15,8.3,8.7,8.15
31/07/15,4428570.0,8.32,8.1,8.4,8.03
03/08/15,7910680.0,8.11,8.41,8.76,8.11
04/08/15,3387612.0,8.49,8.4,8.5,8.23
05/08/15,10838504.0,8.4,8.71,8.99,8.32
06/08/15,5206073.0,8.76,8.75,8.99,8.75
07/08/15,12078122.0,8.9,9.08,9.15,8.9
10/08/15,17111367.0,9.15,9.99,9.99,9.15
11/08/15,24113775.0,10.02,9.7,10.42,9.6
12/08/15,11708392.0,9.61,9.99,9.99,9.3
13/08/15,30291543.0,10.3,10.72,11.14,9.84
14/08/15,17759842.0,10.94,11.32,11.4,10.74
17/08/15,23895502.0,11.38,10.08,11.6,10.08
18/08/15,14009437.0,10.2,9.48,10.4,9.32
19/08/15,7882896.0,9.48,10.0,10.0,9.48
20/08/15,7089436.0,10.0,9.53,10.04,9.5
24/08/15,9205823.0,8.53,7.78,8.9,7.1
25/08/15,4788314.0,7.3,7.86,8.2,7.22
26/08/15,12950191.0,8.0,9.27,9.29,7.96
27/08/15,8727321.0,9.45,9.2,9.9,9.2
28/08/15,4043521.0,8.98,8.89,9.4,8.65
01/09/15,8754373.0,8.75,8.48,8.75,8.48
02/09/15,5062994.0,8.44,8.74,8.85,8.08
03/09/15,4707957.0,8.85,8.93,9.13,8.85
04/09/15,2253664.0,8.93,8.6,8.93,8.6
07/09/15,6590189.0,8.62,8.6,8.62,8.25
08/09/15,1935356.0,8.6,8.6,8.78,8.4
09/09/15,1130409.0,8.79,8.65,8.8,8.5
10/09/15,1448231.0,8.65,8.48,8.65,8.37
11/09/15,1207460.0,8.64,8.5,8.64,8.36
14/09/15,2863714.0,8.5,8.31,8.6,8.31
15/09/15,1406683.0,8.31,8.28,8.58,8.28
15/09/15,1406683.0,8.31,8.28,8.58,8.28
15/09/15,1406683.0,8.31,8.28,8.58,8.28
16/09/15,4459067.0,8.4,7.9,8.4,7.9
17/09/15,4937531.0,7.9,7.7,7.9,7.62
18/09/15,2988561.0,7.7,8.17,8.19,7.6
21/09/15,2298480.0,8.12,8.17,8.22,7.8
