Date,Value,Open,Close,High,Low
15/07/15,6977093.0,7.3,7.25,7.35,7.2
16/07/15,10409414.0,7.25,7.3,7.4,7.23
20/07/15,3917495.0,7.41,7.55,7.55,7.24
21/07/15,14084754.0,7.55,7.69,7.97,7.55
22/07/15,1167050.0,7.77,7.9,8.0,7.77
23/07/15,9266864.0,7.91,7.96,8.05,7.91
23/07/15,9266864.0,7.91,7.96,8.05,7.91
23/07/15,9266864.0,7.91,7.96,8.05,7.91
24/07/15,1400374.0,7.95,7.79,7.95,7.75
27/07/15,2088645.0,7.78,7.7,7.79,7.54
28/07/15,2349548.0,7.94,7.66,7.94,7.66
29/07/15,7690753.0,7.66,7.6,7.71,7.59
30/07/15,10862372.0,7.64,7.4,7.64,7.39
31/07/15,7022730.0,7.38,7.2,7.38,7.18
03/08/15,1710671.0,7.2,7.2,7.25,7.18
04/08/15,2319039.0,7.23,7.22,7.29,7.21
05/08/15,1109810.0,7.49,7.25,7.49,7.25
06/08/15,14957816.0,7.39,7.15,7.39,7.08
07/08/15,6869793.0,7.15,7.1,7.15,7.1
10/08/15,715187.0,7.1,7.14,7.3,7.1
11/08/15,3563764.0,7.13,7.1,7.28,7.09
12/08/15,8879491.0,7.1,7.03,7.1,7.02
13/08/15,4089896.0,7.03,7.05,7.05,7.0
14/08/15,934128.0,7.1,7.1,7.2,7.06
17/08/15,5961725.0,7.19,6.99,7.19,6.95
18/08/15,1129914.0,6.96,6.88,6.96,6.8
19/08/15,1605434.0,6.85,7.17,7.17,6.73
20/08/15,1348329.0,7.1,7.1,7.2,7.0
24/08/15,21501569.0,6.99,6.1,6.99,6.0
25/08/15,7169416.0,6.05,6.05,6.3,6.01
26/08/15,4867463.0,6.13,6.2,6.3,6.13
27/08/15,14217704.0,6.2,6.3,6.4,6.2
28/08/15,3137400.0,6.48,6.78,7.0,6.4
01/09/15,2023007.0,6.8,6.7,6.8,6.5
02/09/15,2485313.0,6.52,6.98,6.98,6.5
03/09/15,1806231.0,6.98,6.9,7.01,6.85
