Date,Value,Open,Close,High,Low
15/07/15,2956060.0,0.72,0.75,0.8,0.72
16/07/15,321560.0,0.75,0.73,0.78,0.73
20/07/15,298930.0,0.73,0.73,0.73,0.7
21/07/15,191510.0,0.72,0.74,0.74,0.71
22/07/15,36240.0,0.71,0.74,0.74,0.71
23/07/15,318750.0,0.7,0.74,0.74,0.7
23/07/15,318750.0,0.7,0.74,0.74,0.7
23/07/15,318750.0,0.7,0.74,0.74,0.7
24/07/15,84070.0,0.71,0.72,0.73,0.71
27/07/15,14940.0,0.71,0.74,0.74,0.71
29/07/15,1215770.0,0.71,0.7,0.73,0.7
30/07/15,165140.0,0.73,0.71,0.73,0.71
31/07/15,138010.0,0.7,0.71,0.73,0.7
03/08/15,639810.0,0.71,0.7,0.73,0.7
04/08/15,5620.0,0.7,0.72,0.72,0.7
05/08/15,35400.0,0.72,0.72,0.72,0.7
06/08/15,123180.0,0.7,0.72,0.72,0.69
07/08/15,7720.0,0.7,0.72,0.72,0.7
10/08/15,219250.0,0.7,0.72,0.72,0.7
11/08/15,647860.0,0.7,0.7,0.7,0.69
12/08/15,178370.0,0.69,0.7,0.7,0.68
13/08/15,41710.0,0.69,0.7,0.7,0.69
14/08/15,689210.0,0.69,0.68,0.7,0.68
17/08/15,106290.0,0.68,0.68,0.68,0.65
18/08/15,89360.0,0.68,0.67,0.68,0.65
19/08/15,132030.0,0.67,0.7,0.71,0.65
20/08/15,21310.0,0.66,0.7,0.7,0.66
24/08/15,573890.0,0.65,0.62,0.65,0.62
25/08/15,660.0,0.66,0.66,0.66,0.66
26/08/15,158930.0,0.65,0.65,0.65,0.62
27/08/15,56140.0,0.64,0.67,0.67,0.63
28/08/15,160140.0,0.63,0.66,0.66,0.63
01/09/15,14340.0,0.67,0.67,0.67,0.63
03/09/15,68220.0,0.63,0.67,0.67,0.63
04/09/15,178350.0,0.63,0.65,0.65,0.62
07/09/15,2415630.0,0.66,0.62,0.66,0.6
08/09/15,1601230.0,0.63,0.56,0.63,0.56
09/09/15,995850.0,0.59,0.58,0.6,0.58
10/09/15,2345210.0,0.57,0.57,0.6,0.56
11/09/15,606430.0,0.6,0.55,0.6,0.55
14/09/15,97120.00000000001,0.56,0.55,0.58,0.55
15/09/15,382450.0,0.6,0.58,0.62,0.58
15/09/15,382450.0,0.6,0.58,0.62,0.58
15/09/15,382450.0,0.6,0.58,0.62,0.58
16/09/15,708670.0,0.61,0.64,0.65,0.6
17/09/15,360760.0,0.65,0.63,0.65,0.62
18/09/15,117680.0,0.62,0.62,0.65,0.62
21/09/15,224970.0,0.62,0.64,0.65,0.62
22/09/15,203430.0,0.66,0.63,0.66,0.63
23/09/15,372190.0,0.61,0.62,0.63,0.61
24/09/15,268230.0,0.61,0.62,0.65,0.61
28/09/15,176990.0,0.6,0.61,0.62,0.6
29/09/15,104240.0,0.6,0.61,0.61,0.6
30/09/15,195420.0,0.59,0.58,0.59,0.58
01/10/15,74380.0,0.61,0.58,0.61,0.58
02/10/15,140839.99999999997,0.6,0.59,0.6,0.57
05/10/15,85310.0,0.58,0.62,0.62,0.58
06/10/15,110210.0,0.62,0.6,0.62,0.59
07/10/15,120590.0,0.6,0.6,0.62,0.6
08/10/15,145710.0,0.6,0.62,0.62,0.6
09/10/15,4575230.0,0.63,0.67,0.74,0.63
12/10/15,547050.0,0.67,0.63,0.68,0.63
13/10/15,675550.0,0.62,0.63,0.69,0.62
14/10/15,35350.0,0.63,0.63,0.65,0.63
15/10/15,124780.0,0.63,0.7,0.7,0.63
16/10/15,18542190.0,0.71,0.78,0.83,0.7
19/10/15,3152280.0,0.82,0.76,0.83,0.75
20/10/15,2203850.0,0.75,0.71,0.76,0.7
21/10/15,1312280.0,0.7,0.71,0.75,0.7
22/10/15,683940.0,0.7,0.7,0.74,0.68
23/10/15,817940.0,0.71,0.7,0.73,0.7
26/10/15,578790.0,0.7,0.71,0.71,0.7
27/10/15,1506770.0,0.71,0.71,0.73,0.7
28/10/15,8587350.0,0.72,0.73,0.79,0.72
29/10/15,1713680.0,0.73,0.7,0.76,0.7
30/10/15,4928040.0,0.72,0.75,0.76,0.7
02/11/15,127332340.0,0.75,1.0,1.12,0.74
03/11/15,26902880.0,1.0,0.99,1.03,0.95
04/11/15,98231630.0,1.0,1.05,1.21,0.96
05/11/15,28527620.0,1.05,0.99,1.07,0.95
06/11/15,14649410.0,1.01,0.98,1.07,0.98
09/11/15,7383340.0,0.98,0.89,0.98,0.89
10/11/15,8363950.0,0.9,0.89,0.97,0.86
11/11/15,3750400.0,0.89,0.87,0.92,0.85
12/11/15,5991660.0,0.87,0.87,0.94,0.85
13/11/15,3272270.0,0.88,0.81,0.88,0.81
16/11/15,3009740.0,0.8,0.82,0.84,0.78
17/11/15,7179890.0,0.84,0.85,0.9,0.81
20/11/15,1594100.0,0.86,0.84,0.88,0.83
23/11/15,1498390.0,0.82,0.84,0.88,0.82
24/11/15,1057190.0,0.83,0.84,0.85,0.82
