Date,Value,Open,Close,High,Low
15/07/15,122817.0,7.0,6.88,7.05,6.88
16/07/15,276576.0,6.88,6.88,6.88,6.88
20/07/15,313012.0,6.86,6.88,6.88,6.86
21/07/15,825530.0,7.0,6.88,7.0,6.88
22/07/15,149296.0,6.88,6.88,6.88,6.88
23/07/15,319453.0,7.0,6.86,7.0,6.86
23/07/15,319453.0,7.0,6.86,7.0,6.86
23/07/15,319453.0,7.0,6.86,7.0,6.86
24/07/15,700716.0,6.98,6.84,6.98,6.84
27/07/15,744975.0,6.99,6.8,6.99,6.8
29/07/15,257184.0,6.84,6.84,6.84,6.84
30/07/15,294312.0,6.8,6.85,6.85,6.8
31/07/15,514386.0,6.85,6.84,6.86,6.84
03/08/15,775003.0,6.87,6.9,7.0,6.87
04/08/15,487440.0,6.9,6.95,6.95,6.9
05/08/15,1246322.0,6.9,6.99,7.0,6.82
06/08/15,482310.0,6.9,6.9,6.9,6.9
07/08/15,363630.0,6.9,6.9,6.9,6.9
10/08/15,764963.0,6.99,6.99,7.0,6.99
11/08/15,27320.0,6.83,6.83,6.83,6.83
13/08/15,94170.0,6.85,6.9,6.9,6.85
14/08/15,67625.0,6.8,6.8,6.8,6.75
17/08/15,54510.0,6.9,6.9,6.9,6.9
18/08/15,157171.0,6.9,6.81,6.9,6.8
19/08/15,14259.0,6.77,6.8,6.8,6.77
20/08/15,6142.0,6.81,6.85,6.9,6.81
24/08/15,61415.0,6.89,6.6,6.89,6.6
25/08/15,43530.0,6.53,6.8,6.8,6.53
26/08/15,94510.0,6.98,6.66,6.98,6.66
27/08/15,101134.0,6.7,6.7,6.7,6.67
28/08/15,110774.0,6.8,6.7,6.8,6.7
02/09/15,25575.0,6.55,6.7,6.7,6.55
04/09/15,76094.0,6.8,6.64,6.8,6.63
07/09/15,13220.0,6.61,6.61,6.61,6.61
09/09/15,102350.0,6.61,6.6,6.61,6.6
10/09/15,132000.0,6.6,6.6,6.6,6.6
14/09/15,69480.0,6.7,6.7,6.7,6.6
