Date,Value,Open,Close,High,Low
15/07/15,1215190.5,62.0,61.6,62.15,61.6
16/07/15,800820.0,61.7,62.75,62.75,61.7
20/07/15,1393192.0,62.75,62.3,62.75,62.25
21/07/15,1155916.0,62.75,62.0,62.75,62.0
22/07/15,619930.0,61.9,61.9,62.2,61.6
23/07/15,778342.5,62.4,62.5,62.5,62.0
23/07/15,778342.5,62.4,62.5,62.5,62.0
23/07/15,778342.5,62.4,62.5,62.5,62.0
24/07/15,325357.5,62.7,62.4,62.7,62.0
27/07/15,1838196.0,62.4,61.4,62.4,61.4
28/07/15,884625.0,61.4,61.55,62.5,61.4
29/07/15,1597335.5,61.55,61.2,61.6,61.2
30/07/15,1582429.5,61.2,60.85,61.2,60.5
31/07/15,942174.0,60.9,60.8,60.9,60.6
03/08/15,566306.0,60.85,61.9,62.0,60.85
04/08/15,1194468.0,61.9,61.3,61.9,61.0
05/08/15,1030258.5,61.5,61.3,61.5,61.2
06/08/15,1207920.5,61.4,61.5,61.5,61.0
07/08/15,1164121.5,61.5,61.7,61.7,61.0
10/08/15,5525752.0,61.7,64.55,64.55,61.7
11/08/15,3028967.0,64.55,64.65,64.65,63.5
12/08/15,1732875.0,64.65,64.35,64.75,63.6
13/08/15,3714015.0,64.4,63.45,65.1,63.45
14/08/15,2123072.5,63.45,64.1,64.5,63.45
17/08/15,1491870.5,63.95,61.9,63.95,61.9
18/08/15,2097713.5,62.0,60.4,62.0,60.4
19/08/15,7375015.5,60.6,60.1,61.5,59.5
20/08/15,2970051.0,61.5,60.0,61.5,59.5
24/08/15,4050465.5,60.0,55.0,60.0,55.0
25/08/15,2238275.0,54.0,58.9,60.0,53.0
26/08/15,5991634.5,58.9,59.1,59.9,58.0
27/08/15,14523608.5,60.0,59.5,61.0,59.4
28/08/15,728063.0,61.0,60.9,61.3,60.9
01/09/15,3199787.5,61.0,60.5,61.5,60.5
02/09/15,1774250.0,60.5,60.2,61.4,60.0
03/09/15,312140.0,60.2,60.8,61.2,60.2
04/09/15,1893583.0,60.8,61.1,61.4,60.8
07/09/15,856876.5,61.4,60.8,61.4,60.5
08/09/15,1837664.0,60.8,60.2,60.8,60.1
09/09/15,1017664.5,60.8,60.5,60.9,60.4
10/09/15,1347230.0,61.0,60.6,61.0,60.4
11/09/15,1191527.5,61.0,60.1,61.0,60.1
14/09/15,821033.0,60.5,60.25,60.5,60.15
15/09/15,797837.5,60.5,60.0,60.5,60.0
15/09/15,797837.5,60.5,60.0,60.5,60.0
15/09/15,797837.5,60.5,60.0,60.5,60.0
16/09/15,1049824.5,60.0,60.0,60.4,59.65
17/09/15,1036890.0,60.0,60.3,60.45,60.0
18/09/15,6623245.5,60.4,60.0,60.4,59.95
21/09/15,1633173.0,59.95,59.95,60.5,59.9
22/09/15,3526284.0,59.95,59.95,60.15,59.85
23/09/15,3471289.5,60.15,59.45,60.5,59.45
24/09/15,5077076.0,59.5,60.0,60.0,59.2
28/09/15,3656357.0,59.95,60.0,60.25,59.9
29/09/15,2210625.5,60.4,60.0,60.4,59.8
30/09/15,6802896.0,60.0,59.6,60.0,59.5
01/10/15,5623316.0,60.4,60.0,60.4,59.8
02/10/15,114219.5,60.5,60.45,60.5,60.0
05/10/15,562244.5,60.45,61.0,61.0,60.0
06/10/15,693685.0,61.5,61.6,61.6,61.0
07/10/15,663192.0,61.7,61.9,62.0,61.0
08/10/15,1702782.0,62.1,62.6,63.0,62.1
09/10/15,2429390.0,63.0,63.0,63.4,62.6
12/10/15,7124976.5,63.25,63.0,63.4,63.0
13/10/15,2480478.5,63.0,63.55,64.4,63.0
14/10/15,1974976.5,63.6,63.5,64.6,63.45
15/10/15,1478260.0,64.0,63.5,64.0,63.45
16/10/15,6082685.0,63.5,63.0,63.75,63.0
19/10/15,1056271.0,63.0,63.3,64.3,63.0
20/10/15,848904.0,63.6,64.4,64.5,63.4
21/10/15,1735328.0,64.45,64.4,64.6,63.85
22/10/15,7225905.0,64.0,64.65,64.65,64.0
23/10/15,3551489.0,64.75,64.65,65.1,64.0
26/10/15,6905836.0,64.65,64.85,65.2,64.55
27/10/15,1488956.5,64.85,65.0,65.0,64.85
28/10/15,1871315.0,65.0,65.1,65.2,64.85
29/10/15,1203645.0,65.1,65.15,65.25,65.1
30/10/15,4736730.0,65.3,65.6,65.6,65.25
02/11/15,1044742.0,65.6,66.1,66.2,65.6
03/11/15,4230386.0,66.35,67.5,67.5,66.35
04/11/15,2701195.0,67.5,67.75,68.0,67.4
05/11/15,1113349.5,67.85,67.8,68.0,67.8
06/11/15,3696596.0,67.85,67.1,68.1,67.0
09/11/15,2377896.0,67.1,65.85,67.1,65.0
10/11/15,1589949.5,65.85,65.5,65.85,64.95
11/11/15,1871289.5,65.8,64.5,65.8,64.2
12/11/15,632043.0,65.0,64.5,66.0,64.3
13/11/15,2256579.0,64.5,63.55,64.5,63.0
16/11/15,3632494.0,62.9,62.7,63.0,62.5
17/11/15,2347790.0,62.5,62.9,64.8,62.5
20/11/15,257312.0,63.0,64.0,64.0,63.0
23/11/15,546285.5,64.0,64.0,65.0,64.0
24/11/15,2448818.5,64.0,64.0,64.3,63.5
25/11/15,529749.5,64.0,64.5,65.1,64.0
26/11/15,1025277.0,65.0,64.5,65.0,64.2
27/11/15,2767842.5,64.5,63.45,64.8,63.2
01/12/15,212770.0,63.45,64.2,64.4,63.4
02/12/15,826567.0,64.2,64.25,64.6,64.15
03/12/15,351006.5,64.3,64.45,64.6,64.3
04/12/15,940772.5,64.45,64.3,64.45,64.0
07/12/15,2654310.0,64.3,64.25,64.35,63.25
08/12/15,2097761.5,64.5,63.9,64.5,63.7
09/12/15,412602.0,63.9,64.2,64.45,63.9
10/12/15,263595.5,64.4,63.85,64.4,63.75
11/12/15,209167.0,63.85,63.7,63.85,63.5
14/12/15,799854.5,63.7,62.5,64.0,62.5
15/12/15,165999.0,62.5,62.5,64.35,62.5
16/12/15,205425.0,64.2,63.2,64.2,63.2
17/12/15,203005.5,64.0,63.4,64.0,63.4
18/12/15,352135.0,63.9,63.5,63.9,62.5
21/12/15,300813.0,63.0,63.9,63.9,62.7
22/12/15,132770.0,63.5,63.5,63.85,63.5
23/12/15,85810.0,63.45,63.9,63.9,63.45
28/12/15,5462427.0,63.9,61.9,63.9,61.55
29/12/15,1641603.0,61.95,61.9,62.3,61.8
04/01/16,478340.0,61.95,62.4,62.6,61.95
05/01/16,490214.0,62.4,62.3,62.4,62.0
06/01/16,1657411.0,62.3,62.0,62.8,61.8
07/01/16,1067032.0,62.0,61.75,62.0,61.1
08/01/16,654405.5,61.2,61.1,62.0,61.05
11/01/16,2481433.0,61.1,59.9,61.1,59.9
12/01/16,1081837.5,59.9,60.0,60.75,59.8
13/01/16,2116088.0,60.0,59.8,60.1,59.75
14/01/16,2377582.5,59.95,58.5,59.95,58.5
15/01/16,1930991.0,60.0,58.0,60.0,58.0
18/01/16,3330733.0,57.5,54.1,58.0,54.0
19/01/16,1163235.5,54.1,55.5,55.5,54.1
20/01/16,957288.0,55.5,55.0,56.0,54.7
21/01/16,531197.0,55.0,54.5,55.1,54.1
22/01/16,1036321.5,55.0,53.9,55.0,53.9
25/01/16,2984657.5,54.0,54.15,55.2,54.0
26/01/16,1412099.5,54.15,53.9,54.15,53.9
27/01/16,1487811.0,53.8,53.9,55.0,53.4
28/01/16,574764.0,53.9,55.8,56.0,53.9
29/01/16,1135737.0,55.8,55.75,56.0,55.7
01/02/16,1693460.5,55.75,55.65,56.0,55.6
02/02/16,588027.0,55.65,55.95,56.0,55.6
03/02/16,1833028.0,55.95,54.5,55.95,54.3
04/02/16,14689091.5,54.5,54.8,56.2,54.5
05/02/16,582348.0,56.2,55.5,56.2,55.0
09/02/16,10367697.5,55.5,54.9,55.5,54.8
10/02/16,3724771.0,54.9,54.5,55.0,54.4
11/02/16,977671.0,54.4,54.8,54.9,54.4
12/02/16,7507778.5,55.5,55.15,55.5,54.5
15/02/16,2236474.0,55.0,54.7,55.2,54.4
16/02/16,1902201.5,54.7,54.6,54.7,54.5
17/02/16,3227381.0,54.6,54.5,55.15,54.1
18/02/16,1923298.5,54.5,54.5,54.8,54.3
19/02/16,2908800.0,54.5,54.3,55.0,54.3
22/02/16,1346204.0,54.35,54.25,54.35,54.1
