Date,Value,Open,Close,High,Low
15/07/15,9330298.0,62.9,62.65,63.0,62.55
16/07/15,11948630.0,62.8,62.5,62.8,62.45
20/07/15,563995.0,62.75,62.0,62.75,62.0
21/07/15,316530.0,62.3,62.0,62.3,62.0
22/07/15,1975977.0,62.05,62.1,62.3,62.0
23/07/15,13930011.5,61.5,62.8,63.0,61.5
23/07/15,13930011.5,61.5,62.8,63.0,61.5
23/07/15,13930011.5,61.5,62.8,63.0,61.5
24/07/15,133782645.5,62.8,61.5,62.8,61.5
27/07/15,13232652.5,61.6,61.0,61.9,61.0
28/07/15,7819698.0,61.4,61.0,62.0,61.0
29/07/15,12319395.0,61.5,61.2,61.5,61.0
30/07/15,16981743.0,61.5,60.6,61.5,60.6
31/07/15,3647820.0,60.6,60.5,61.0,60.5
03/08/15,2619678.5,62.0,60.5,62.0,60.35
04/08/15,13298385.0,60.2,59.8,60.3,59.8
05/08/15,696030.0,60.0,60.0,61.5,60.0
06/08/15,1063649.5,61.5,61.0,61.5,60.05
07/08/15,15180397.5,61.0,63.0,63.0,61.0
10/08/15,79561944.5,62.8,67.3,68.15,62.1
11/08/15,29212013.0,64.5,67.3,67.5,64.5
12/08/15,3835705.5,63.0,64.05,66.9,63.0
13/08/15,6093970.0,66.7,64.8,67.4,63.0
14/08/15,1771550.0,64.8,64.05,64.8,63.0
17/08/15,8977747.0,63.6,61.0,63.6,61.0
18/08/15,9064006.0,61.0,59.0,61.0,59.0
19/08/15,17076327.0,59.0,59.0,63.95,58.5
20/08/15,6380399.0,59.0,59.0,60.0,59.0
24/08/15,13755681.5,57.0,55.0,57.0,55.0
25/08/15,8779520.0,55.0,55.05,55.9,55.0
26/08/15,12482265.0,55.05,57.0,57.8,55.05
27/08/15,9739266.0,57.6,58.4,59.5,57.5
28/08/15,11668208.0,59.0,63.5,63.5,59.0
01/09/15,16695941.0,62.0,61.4,62.05,61.0
02/09/15,6841520.5,60.8,59.9,60.8,59.5
03/09/15,358610.0,60.5,61.5,62.45,60.2
04/09/15,13860594.0,61.25,62.0,62.0,61.2
07/09/15,17538215.0,60.6,60.7,60.75,60.6
08/09/15,1571420.5,60.2,60.25,60.3,60.0
09/09/15,13456059.0,60.25,60.3,60.5,60.25
10/09/15,9460526.5,60.5,59.7,60.5,59.7
11/09/15,7892019.5,60.0,60.0,60.2,59.8
14/09/15,6218232.0,60.0,60.0,60.0,59.9
15/09/15,3318689.0,59.5,59.85,59.95,59.5
15/09/15,3318689.0,59.5,59.85,59.95,59.5
15/09/15,3318689.0,59.5,59.85,59.95,59.5
16/09/15,1356971.0,62.0,60.0,62.0,59.9
17/09/15,15382897.0,60.3,60.0,60.3,60.0
18/09/15,48619872.0,60.35,60.0,60.35,60.0
21/09/15,22455579.5,60.0,60.0,60.05,60.0
22/09/15,19276233.5,60.0,60.0,60.0,59.4
23/09/15,12775097.5,60.35,59.9,60.35,59.9
24/09/15,9331073.0,59.7,59.9,60.05,59.7
28/09/15,2176418.5,60.0,60.35,60.35,59.95
29/09/15,24572323.5,60.05,60.0,60.3,60.0
30/09/15,44489942.0,60.0,61.0,61.95,60.0
01/10/15,67328960.0,61.0,61.0,61.0,60.95
02/10/15,97783920.0,60.0,61.0,61.0,59.9
05/10/15,48153102.5,60.5,61.5,61.95,60.5
06/10/15,31721868.5,62.0,62.0,62.0,61.8
07/10/15,26549771.0,62.15,62.5,62.55,62.15
08/10/15,29602722.0,63.0,63.0,63.05,62.95
09/10/15,12952687.0,63.5,65.0,65.0,63.5
12/10/15,48914574.0,66.0,65.25,66.4,65.0
13/10/15,81541971.0,65.9,68.0,68.5,65.9
14/10/15,50229231.0,68.0,67.0,68.0,65.1
15/10/15,1340.0,67.0,67.0,67.0,67.0
16/10/15,23501215.5,67.0,66.95,67.45,66.95
19/10/15,719221.5,67.0,66.9,67.0,66.85
20/10/15,272574.5,67.0,66.75,68.0,66.7
21/10/15,6874946.0,65.1,67.0,67.0,65.1
22/10/15,656677.5,66.0,66.0,66.0,65.95
23/10/15,12286634.0,66.0,66.0,66.1,66.0
26/10/15,70093933.0,66.5,66.0,66.5,65.9
27/10/15,9893.0,66.0,65.95,66.0,65.95
28/10/15,5838193.5,65.95,66.0,66.0,65.95
29/10/15,33997642.5,66.0,66.0,66.0,65.9
30/10/15,10622725.0,68.0,67.6,68.0,67.25
02/11/15,310956.5,67.6,67.45,67.6,67.45
03/11/15,12560824.5,67.45,67.65,68.0,67.45
04/11/15,4701051.0,68.0,67.55,68.0,67.45
05/11/15,497292.5,67.55,67.6,67.6,67.45
06/11/15,1497711.0,68.0,67.5,68.0,67.5
09/11/15,2181940.5,67.0,65.35,67.0,65.2
10/11/15,22316459.0,65.35,65.0,65.35,65.0
11/11/15,9478492.5,65.1,64.0,67.9,62.5
12/11/15,5794840.0,64.0,66.0,66.0,64.0
13/11/15,2533917.0,65.9,64.8,65.9,63.1
16/11/15,4313030.5,63.15,64.8,64.8,61.25
17/11/15,1877925.0,64.0,62.0,64.0,62.0
20/11/15,6135377.5,64.5,64.0,64.5,63.25
23/11/15,2317014.5,65.8,63.95,65.8,63.95
24/11/15,5591851.0,63.6,65.9,65.9,63.5
25/11/15,10968798.5,65.0,65.0,65.7,64.5
26/11/15,4644069.0,64.95,65.0,65.0,64.95
27/11/15,10798089.0,64.5,63.0,64.5,62.05
01/12/15,553818.0,63.0,64.0,64.0,62.1
02/12/15,3685595.0,64.5,65.3,65.5,64.5
03/12/15,7202700.0,65.0,65.0,65.05,65.0
04/12/15,4471045.0,65.0,65.0,65.25,65.0
07/12/15,22425530.0,65.0,65.5,65.5,65.0
08/12/15,505808.0,65.6,65.0,65.6,65.0
09/12/15,613912.0,65.0,65.05,65.85,65.0
10/12/15,1014725.0,65.05,65.1,65.25,65.05
11/12/15,4494750.0,65.0,65.0,65.0,65.0
14/12/15,6427037.0,65.0,65.0,65.0,64.9
15/12/15,2405650.0,65.0,65.0,65.0,65.0
16/12/15,3108383.0,65.0,65.85,65.85,64.5
17/12/15,6992572.5,65.0,64.5,65.0,64.05
18/12/15,12110470.0,64.85,65.05,66.5,64.85
21/12/15,2890862.5,66.0,64.5,66.0,64.5
22/12/15,3257725.0,64.35,64.2,65.0,64.0
23/12/15,9993445.0,65.0,64.5,65.0,64.5
29/12/15,10989226.0,64.1,62.7,64.5,62.15
04/01/16,5528441.5,62.6,64.0,64.0,62.6
05/01/16,1996612.0,63.5,63.0,63.5,63.0
06/01/16,2001322.0,62.6,62.6,62.6,62.6
07/01/16,1989446.0,62.6,62.1,62.6,62.1
08/01/16,254406.0,62.05,62.0,62.35,62.0
11/01/16,2410250.0,61.05,60.0,61.05,60.0
12/01/16,4227663.0,62.0,59.0,62.0,59.0
