Date,Value,Open,Close,High,Low
15/07/15,515440.0,4.69,4.69,4.9,4.69
16/07/15,318550.0,4.69,4.6,4.73,4.6
20/07/15,2714310.0,4.61,5.0,5.44,4.6
21/07/15,1586964.0,5.1,4.9,5.37,4.9
22/07/15,339900.0,4.9,4.9,5.0,4.8
23/07/15,365150.0,5.0,4.9,5.0,4.75
23/07/15,365150.0,5.0,4.9,5.0,4.75
23/07/15,365150.0,5.0,4.9,5.0,4.75
24/07/15,706150.0,4.71,4.7,4.84,4.69
27/07/15,1113880.0,4.69,4.55,4.69,4.55
28/07/15,2393640.0,4.55,4.5,4.6,4.4
29/07/15,610330.0,4.75,4.5,4.75,4.45
30/07/15,887780.0,4.5,4.38,4.5,4.38
31/07/15,1509850.0,4.3,4.0,4.3,3.96
03/08/15,728600.0,4.02,3.95,4.02,3.6
04/08/15,666840.0,3.96,3.66,3.96,3.65
05/08/15,1306480.0,3.75,3.5,3.94,3.5
06/08/15,436080.0,3.5,3.64,3.71,3.45
07/08/15,5896710.0,3.5,3.9,3.93,3.5
10/08/15,2080360.0,4.0,3.75,4.2,3.7
11/08/15,1571680.0,3.54,3.5,3.75,3.5
12/08/15,641110.0,3.5,3.33,3.7,3.21
13/08/15,192030.0,3.33,3.25,3.48,3.25
14/08/15,132150.0,3.25,3.39,3.39,3.2
17/08/15,837140.0,3.39,2.93,3.39,2.9
18/08/15,313060.0,2.94,2.99,2.99,2.85
19/08/15,375280.0,2.99,2.85,3.09,2.81
20/08/15,8691620.0,2.9,2.88,3.16,2.8
24/08/15,282040.0,2.75,2.5,2.9,2.5
25/08/15,27960.0,2.33,2.33,2.33,2.33
26/08/15,259280.0,2.2,2.57,2.57,2.2
27/08/15,169120.0,2.57,2.41,2.7,2.41
28/08/15,161310.0,2.65,2.58,2.66,2.45
01/09/15,42940.0,2.58,2.57,2.58,2.33
03/09/15,367290.0,2.51,2.87,2.89,2.51
04/09/15,226640.0,2.75,2.92,2.94,2.67
07/09/15,66510.0,2.92,2.89,2.92,2.88
08/09/15,339000.0,2.89,2.82,3.0,2.82
09/09/15,261220.0,2.99,2.98,3.0,2.87
10/09/15,741790.0,3.0,2.94,3.3,2.93
11/09/15,236500.0,2.98,2.89,3.1,2.88
14/09/15,288460.0,2.7,2.75,2.8,2.65
15/09/15,191140.0,2.81,2.79,2.88,2.75
15/09/15,191140.0,2.81,2.79,2.88,2.75
15/09/15,191140.0,2.81,2.79,2.88,2.75
16/09/15,399550.0,2.79,2.83,2.99,2.79
17/09/15,274370.0,2.96,2.88,2.96,2.8
18/09/15,209060.0,2.87,2.79,2.88,2.79
21/09/15,350560.0,2.79,2.66,2.79,2.65
22/09/15,175770.0,2.66,2.6,2.66,2.6
23/09/15,53750.0,2.65,2.6,2.75,2.6
24/09/15,328080.0,2.65,2.55,2.75,2.55
28/09/15,194270.0,2.53,2.62,2.64,2.43
29/09/15,19680.0,2.46,2.46,2.46,2.46
30/09/15,95630.0,2.55,2.48,2.58,2.47
01/10/15,112380.0,2.69,2.52,2.69,2.52
02/10/15,113830.0,2.52,2.7,2.7,2.52
05/10/15,93610.0,2.69,2.64,2.69,2.5
06/10/15,5260.0,2.63,2.63,2.63,2.63
07/10/15,330830.0,2.62,2.62,2.69,2.55
08/10/15,79020.0,2.74,2.67,2.74,2.61
09/10/15,242410.0,2.67,2.6,2.67,2.56
12/10/15,103770.0,2.69,2.69,2.75,2.55
13/10/15,89880.0,2.74,2.7,2.75,2.7
14/10/15,104390.0,2.6,2.68,2.7,2.55
15/10/15,141100.0,2.65,2.68,2.7,2.61
16/10/15,159280.0,2.79,2.74,2.8,2.65
19/10/15,189230.0,2.74,2.66,2.76,2.66
20/10/15,222590.0,2.8,2.74,2.85,2.74
21/10/15,265060.0,2.74,2.84,2.89,2.56
