Date,Value,Open,Close,High,Low
15/07/15,100990.0,0.63,0.61,0.64,0.61
16/07/15,173120.0,0.64,0.65,0.65,0.63
20/07/15,206160.0,0.65,0.64,0.65,0.64
21/07/15,1861880.0,0.63,0.62,0.63,0.62
22/07/15,957440.0,0.64,0.65,0.65,0.62
23/07/15,534040.0,0.65,0.64,0.65,0.62
23/07/15,534040.0,0.65,0.64,0.65,0.62
23/07/15,534040.0,0.65,0.64,0.65,0.62
24/07/15,142990.0,0.63,0.63,0.64,0.62
27/07/15,148430.0,0.62,0.63,0.63,0.61
28/07/15,244210.0,0.62,0.62,0.63,0.61
29/07/15,766750.0,0.63,0.61,0.63,0.61
30/07/15,186410.0,0.63,0.62,0.63,0.61
31/07/15,75870.0,0.62,0.63,0.63,0.61
03/08/15,1220.0,0.61,0.61,0.61,0.61
04/08/15,1176220.0,0.62,0.61,0.62,0.61
05/08/15,64440.0,0.62,0.61,0.62,0.61
06/08/15,608090.0,0.63,0.64,0.64,0.6
07/08/15,97240.0,0.64,0.62,0.64,0.62
10/08/15,301830.0,0.62,0.65,0.65,0.61
11/08/15,317100.0,0.62,0.63,0.64,0.62
12/08/15,215700.0,0.63,0.61,0.63,0.61
13/08/15,3101780.0,0.61,0.6,0.62,0.6
14/08/15,194660.0,0.6,0.59,0.62,0.59
17/08/15,868050.0,0.59,0.58,0.59,0.58
18/08/15,474720.00000000006,0.58,0.55,0.58,0.55
19/08/15,48500.0,0.55,0.57,0.57,0.55
20/08/15,91840.00000000001,0.56,0.56,0.56,0.56
24/08/15,134790.0,0.54,0.52,0.54,0.52
25/08/15,175600.0,0.5,0.52,0.52,0.5
26/08/15,524620.0,0.5,0.51,0.52,0.5
27/08/15,320340.0,0.52,0.5,0.56,0.5
28/08/15,137520.0,0.51,0.53,0.53,0.51
01/09/15,24930.0,0.53,0.53,0.54,0.53
02/09/15,1236070.0,0.52,0.55,0.56,0.5
03/09/15,223080.0,0.55,0.51,0.55,0.51
04/09/15,20830.0,0.54,0.51,0.54,0.51
07/09/15,52180.0,0.53,0.52,0.53,0.52
08/09/15,24070.0,0.52,0.51,0.54,0.51
09/09/15,137240.0,0.52,0.52,0.53,0.52
10/09/15,30680.0,0.52,0.52,0.52,0.52
11/09/15,87400.0,0.52,0.52,0.52,0.51
14/09/15,6260.0,0.52,0.53,0.53,0.52
15/09/15,35880.0,0.52,0.52,0.52,0.52
15/09/15,35880.0,0.52,0.52,0.52,0.52
15/09/15,35880.0,0.52,0.52,0.52,0.52
16/09/15,18360.0,0.52,0.53,0.53,0.52
17/09/15,333140.0,0.55,0.55,0.58,0.55
18/09/15,85860.0,0.57,0.54,0.57,0.54
21/09/15,328900.0,0.54,0.53,0.54,0.52
22/09/15,605500.0,0.52,0.52,0.53,0.51
23/09/15,745790.0,0.51,0.58,0.6,0.51
24/09/15,2625610.0,0.59,0.56,0.61,0.55
28/09/15,167080.0,0.54,0.54,0.56,0.54
29/09/15,201120.0,0.54,0.52,0.55,0.52
30/09/15,6186680.0,0.52,0.57,0.62,0.52
01/10/15,1646270.0,0.58,0.57,0.6,0.55
02/10/15,428700.00000000006,0.57,0.56,0.57,0.54
05/10/15,1292790.0,0.54,0.53,0.55,0.51
06/10/15,379870.0,0.53,0.53,0.54,0.52
07/10/15,567660.0,0.55,0.54,0.56,0.54
08/10/15,4355800.0,0.54,0.58,0.6,0.53
09/10/15,6321490.0,0.58,0.6,0.64,0.58
12/10/15,1530950.0,0.6,0.6,0.6,0.56
13/10/15,462920.0,0.59,0.6,0.6,0.56
14/10/15,1494660.0,0.56,0.62,0.64,0.56
15/10/15,348030.0,0.61,0.62,0.62,0.59
16/10/15,1088060.0,0.6,0.6,0.64,0.59
19/10/15,974900.0,0.61,0.61,0.62,0.59
20/10/15,547370.0,0.59,0.59,0.6,0.57
21/10/15,489530.0,0.59,0.59,0.59,0.58
22/10/15,902460.0,0.59,0.58,0.6,0.57
23/10/15,180000.0,0.58,0.59,0.6,0.57
26/10/15,136300.0,0.57,0.59,0.59,0.57
27/10/15,233780.0,0.57,0.57,0.58,0.57
28/10/15,165730.0,0.57,0.57,0.58,0.56
29/10/15,778980.0,0.57,0.57,0.57,0.56
30/10/15,196490.0,0.55,0.57,0.58,0.55
02/11/15,12496580.0,0.57,0.6,0.64,0.57
03/11/15,2167030.0,0.61,0.58,0.62,0.58
04/11/15,596410.0,0.58,0.6,0.6,0.58
05/11/15,451740.0,0.61,0.59,0.62,0.59
06/11/15,458890.0,0.59,0.58,0.59,0.57
09/11/15,532810.0,0.57,0.57,0.57,0.56
10/11/15,392770.0,0.57,0.56,0.57,0.56
11/11/15,121610.0,0.55,0.56,0.56,0.55
12/11/15,65000.0,0.57,0.55,0.57,0.55
13/11/15,1185190.0,0.55,0.55,0.55,0.54
16/11/15,89180.0,0.56,0.55,0.56,0.54
17/11/15,144400.0,0.55,0.57,0.57,0.55
20/11/15,139710.0,0.55,0.55,0.56,0.55
23/11/15,287070.0,0.54,0.55,0.55,0.54
24/11/15,175800.0,0.54,0.55,0.55,0.54
25/11/15,270000.0,0.54,0.54,0.54,0.54
26/11/15,154980.0,0.54,0.54,0.54,0.54
27/11/15,3894390.0,0.54,0.51,0.54,0.5
01/12/15,12750.0,0.51,0.51,0.51,0.51
02/12/15,81090.0,0.51,0.53,0.53,0.51
03/12/15,1242020.0,0.52,0.53,0.53,0.5
04/12/15,141500.0,0.52,0.5,0.53,0.5
07/12/15,1067680.0,0.53,0.51,0.53,0.5
08/12/15,746810.0,0.51,0.5,0.51,0.5
09/12/15,750000.0,0.5,0.5,0.5,0.5
10/12/15,464500.0,0.5,0.5,0.5,0.5
11/12/15,595765.0,0.5,0.49,0.5,0.49
14/12/15,504550.0,0.48,0.49,0.49,0.47
15/12/15,105600.0,0.48,0.48,0.48,0.48
16/12/15,198150.0,0.49,0.475,0.49,0.475
17/12/15,4900.0,0.49,0.49,0.49,0.49
18/12/15,58300.0,0.485,0.49,0.49,0.485
23/12/15,14550.0,0.485,0.485,0.485,0.485
28/12/15,2002250.0,0.485,0.46,0.485,0.45
29/12/15,616500.0,0.45,0.45,0.45,0.45
04/01/16,201050.0,0.46,0.455,0.47,0.455
05/01/16,4800.0,0.48,0.48,0.48,0.48
06/01/16,300200.0,0.475,0.46,0.475,0.46
07/01/16,553750.0,0.455,0.45,0.455,0.45
08/01/16,348400.0,0.44,0.44,0.44,0.43
11/01/16,459100.0,0.43,0.41,0.43,0.41
