Date,Value,Open,Close,High,Low
15/07/15,7973250.0,0.485,0.48,0.49,0.47
16/07/15,211550.0,0.48,0.48,0.48,0.465
20/07/15,266400.0,0.47,0.48,0.48,0.47
21/07/15,229150.0,0.475,0.475,0.485,0.47
22/07/15,732250.0,0.475,0.47,0.475,0.455
23/07/15,261850.0,0.48,0.475,0.48,0.465
23/07/15,261850.0,0.48,0.475,0.48,0.465
23/07/15,261850.0,0.48,0.475,0.48,0.465
24/07/15,102600.0,0.475,0.475,0.475,0.465
27/07/15,9500.0,0.475,0.475,0.475,0.475
28/07/15,103500.0,0.475,0.47,0.475,0.47
29/07/15,409750.0,0.47,0.475,0.475,0.465
30/07/15,37550.0,0.475,0.475,0.475,0.465
31/07/15,32300.0,0.46,0.47,0.47,0.455
03/08/15,9400.0,0.47,0.47,0.47,0.47
04/08/15,149100.0,0.47,0.47,0.47,0.45
05/08/15,18450.0,0.465,0.465,0.465,0.45
06/08/15,9300.0,0.465,0.465,0.465,0.465
07/08/15,13700.0,0.45,0.46,0.46,0.45
10/08/15,40750.0,0.46,0.455,0.46,0.45
11/08/15,547500.0,0.45,0.44,0.45,0.44
12/08/15,22050.0,0.445,0.44,0.445,0.44
13/08/15,9100.0,0.455,0.455,0.455,0.455
14/08/15,101600.0,0.455,0.44,0.455,0.44
17/08/15,48600.0,0.44,0.45,0.45,0.44
18/08/15,26700.0,0.44,0.45,0.45,0.44
19/08/15,9000.0,0.45,0.45,0.45,0.45
20/08/15,26700.0,0.45,0.45,0.45,0.44
24/08/15,131050.0,0.44,0.44,0.44,0.42
25/08/15,8800.0,0.44,0.44,0.44,0.44
26/08/15,609050.0,0.395,0.435,0.435,0.395
27/08/15,96050.0,0.41,0.42,0.425,0.41
28/08/15,8700.0,0.435,0.435,0.435,0.435
01/09/15,8700.0,0.435,0.435,0.435,0.435
02/09/15,34050.0,0.435,0.435,0.435,0.42
03/09/15,38000.0,0.42,0.43,0.43,0.42
04/09/15,17200.0,0.43,0.43,0.43,0.43
07/09/15,25750.0,0.435,0.43,0.435,0.42
08/09/15,13050.0,0.435,0.435,0.435,0.435
09/09/15,17400.0,0.435,0.435,0.435,0.435
10/09/15,37950.0,0.41,0.425,0.425,0.41
11/09/15,25550.0,0.43,0.425,0.43,0.42
14/09/15,8500.0,0.425,0.425,0.425,0.425
15/09/15,57200.0,0.43,0.43,0.43,0.4
15/09/15,57200.0,0.43,0.43,0.43,0.4
15/09/15,57200.0,0.43,0.43,0.43,0.4
16/09/15,82700.0,0.43,0.43,0.43,0.4
17/09/15,34400.0,0.43,0.43,0.43,0.43
18/09/15,136850.0,0.43,0.42,0.435,0.42
21/09/15,38300.0,0.43,0.43,0.43,0.41
22/09/15,69950.0,0.43,0.43,0.43,0.4
23/09/15,12900.0,0.43,0.43,0.43,0.43
24/09/15,12900.0,0.43,0.43,0.43,0.43
28/09/15,12900.0,0.43,0.43,0.43,0.43
29/09/15,148400.0,0.43,0.42,0.43,0.4
30/09/15,12750.0,0.425,0.425,0.425,0.425
01/10/15,111200.0,0.43,0.415,0.43,0.39
02/10/15,141150.0,0.385,0.425,0.425,0.385
05/10/15,92200.0,0.425,0.415,0.425,0.385
06/10/15,254800.0,0.415,0.41,0.415,0.385
07/10/15,43950.0,0.415,0.41,0.415,0.385
08/10/15,90350.0,0.415,0.425,0.425,0.405
09/10/15,25350.0,0.425,0.42,0.425,0.42
12/10/15,12600.0,0.42,0.42,0.42,0.42
13/10/15,2028000.0,0.425,0.41,0.455,0.41
14/10/15,131750.0,0.42,0.415,0.42,0.41
15/10/15,2818850.0,0.42,0.41,0.42,0.395
16/10/15,188750.0,0.415,0.41,0.415,0.41
19/10/15,414850.0,0.415,0.41,0.415,0.395
20/10/15,358550.0,0.415,0.395,0.415,0.395
21/10/15,52300.0,0.41,0.41,0.41,0.4
22/10/15,8200.0,0.41,0.41,0.41,0.41
23/10/15,8200.0,0.41,0.41,0.41,0.41
26/10/15,205650.0,0.41,0.405,0.41,0.4
27/10/15,200250.0,0.41,0.4,0.41,0.4
28/10/15,8100.000000000001,0.405,0.405,0.405,0.405
29/10/15,31850.0,0.405,0.395,0.405,0.395
30/10/15,436800.0,0.405,0.39,0.405,0.39
02/11/15,819200.0,0.405,0.4,0.405,0.39
03/11/15,8200.0,0.41,0.41,0.41,0.41
04/11/15,170250.0,0.405,0.395,0.405,0.395
05/11/15,11950.0,0.4,0.395,0.4,0.395
06/11/15,136950.0,0.39,0.4,0.4,0.39
09/11/15,31950.0,0.41,0.4,0.41,0.395
10/11/15,249800.0,0.39,0.4,0.4,0.39
11/11/15,121250.0,0.4,0.39,0.4,0.39
12/11/15,144500.0,0.39,0.39,0.4,0.39
13/11/15,535450.0,0.39,0.39,0.39,0.385
16/11/15,2965000.0,0.39,0.395,0.395,0.385
17/11/15,184350.0,0.405,0.4,0.405,0.4
20/11/15,8100.000000000001,0.405,0.405,0.405,0.405
23/11/15,52300.0,0.405,0.395,0.405,0.39
24/11/15,58200.0,0.385,0.39,0.4,0.385
25/11/15,450700.0,0.39,0.4,0.4,0.385
26/11/15,3198950.0,0.385,0.395,0.395,0.385
27/11/15,31050.0,0.385,0.39,0.39,0.385
01/12/15,7900.0,0.395,0.395,0.395,0.395
02/12/15,7900.0,0.395,0.395,0.395,0.395
03/12/15,7900.0,0.395,0.395,0.395,0.395
04/12/15,19600.0,0.395,0.39,0.395,0.39
07/12/15,7900.0,0.395,0.395,0.395,0.395
08/12/15,7900.0,0.395,0.395,0.395,0.395
09/12/15,849450.0,0.395,0.385,0.395,0.385
10/12/15,54100.0,0.395,0.385,0.395,0.385
11/12/15,76500.0,0.385,0.385,0.385,0.38
14/12/15,7900.0,0.395,0.395,0.395,0.395
15/12/15,49700.0,0.39,0.39,0.39,0.38
16/12/15,353650.0,0.38,0.385,0.39,0.38
17/12/15,3850.0,0.385,0.385,0.385,0.385
18/12/15,26800.0,0.39,0.38,0.39,0.38
21/12/15,96400.0,0.39,0.365,0.39,0.365
22/12/15,120800.0,0.375,0.365,0.375,0.36
23/12/15,511650.0,0.37,0.37,0.37,0.365
28/12/15,7600.0,0.38,0.38,0.38,0.38
29/12/15,7600.0,0.38,0.38,0.38,0.38
04/01/16,1296300.0,0.38,0.37,0.38,0.365
05/01/16,139450.0,0.375,0.37,0.375,0.365
06/01/16,44050.0,0.375,0.365,0.375,0.365
07/01/16,18550.0,0.375,0.37,0.375,0.365
08/01/16,569500.0,0.37,0.36,0.37,0.34
11/01/16,914200.0,0.365,0.3,0.365,0.3
12/01/16,1471700.0,0.325,0.32,0.33,0.305
13/01/16,1166450.0,0.32,0.305,0.32,0.3
14/01/16,6300.0,0.315,0.315,0.315,0.315
15/01/16,9300.0,0.31,0.31,0.31,0.31
18/01/16,54800.0,0.3,0.3,0.31,0.3
19/01/16,21200.0,0.3,0.31,0.31,0.3
20/01/16,45300.0,0.315,0.3,0.315,0.3
21/01/16,90500.0,0.3,0.29,0.305,0.29
22/01/16,507200.0,0.315,0.29,0.315,0.265
25/01/16,5900.0,0.295,0.295,0.295,0.295
26/01/16,6000.0,0.3,0.3,0.3,0.3
27/01/16,25900.0,0.305,0.28,0.305,0.28
28/01/16,299300.0,0.315,0.285,0.315,0.28
29/01/16,61400.0,0.295,0.29,0.3,0.28
01/02/16,47100.0,0.295,0.295,0.295,0.29
02/02/16,78900.0,0.305,0.295,0.305,0.29
03/02/16,498350.0,0.295,0.295,0.315,0.295
04/02/16,291450.0,0.315,0.315,0.315,0.31
05/02/16,48750.0,0.325,0.325,0.325,0.325
09/02/16,39600.0,0.33,0.33,0.33,0.33
10/02/16,31100.0,0.35,0.345,0.35,0.34
11/02/16,16950.0,0.345,0.33,0.345,0.33
12/02/16,221100.0,0.33,0.32,0.335,0.32
15/02/16,72250.0,0.345,0.34,0.345,0.325
16/02/16,17000.0,0.34,0.34,0.34,0.34
17/02/16,20150.0,0.34,0.33,0.34,0.33
18/02/16,239650.0,0.335,0.33,0.34,0.33
19/02/16,94650.0,0.345,0.325,0.345,0.325
22/02/16,221750.0,0.335,0.32,0.335,0.32
23/02/16,13150.0,0.33,0.325,0.33,0.325
24/02/16,240050.0,0.335,0.32,0.335,0.32
26/02/16,32350.0,0.34,0.315,0.34,0.315
29/02/16,122050.0,0.335,0.32,0.335,0.32
01/03/16,252000.0,0.335,0.31,0.335,0.31
02/03/16,273650.0,0.31,0.335,0.335,0.31
03/03/16,43050.0,0.335,0.33,0.335,0.33
04/03/16,75550.0,0.335,0.32,0.335,0.32
07/03/16,93950.0,0.33,0.335,0.34,0.33
08/03/16,20000.0,0.335,0.335,0.335,0.33
09/03/16,1369000.0,0.335,0.38,0.38,0.335
10/03/16,642650.0,0.38,0.35,0.38,0.35
11/03/16,112050.0,0.36,0.36,0.375,0.35
14/03/16,43200.0,0.36,0.36,0.36,0.36
15/03/16,67400.0,0.355,0.37,0.37,0.35
16/03/16,14600.0,0.365,0.365,0.365,0.365
17/03/16,32050.0,0.355,0.365,0.365,0.34
18/03/16,54050.0,0.365,0.355,0.365,0.355
21/03/16,62700.0,0.365,0.35,0.365,0.34
22/03/16,7100.0,0.355,0.355,0.355,0.355
23/03/16,17850.0,0.355,0.365,0.365,0.355
28/03/16,14600.0,0.365,0.365,0.365,0.365
29/03/16,67850.0,0.365,0.365,0.365,0.355
30/03/16,161850.0,0.365,0.365,0.365,0.355
31/03/16,39400.0,0.365,0.36,0.365,0.355
01/04/16,18000.0,0.36,0.36,0.36,0.36
04/04/16,64400.0,0.365,0.36,0.365,0.34
05/04/16,39600.0,0.36,0.36,0.36,0.36
06/04/16,77300.0,0.365,0.35,0.365,0.35
07/04/16,240350.0,0.36,0.36,0.365,0.35
08/04/16,28300.0,0.35,0.36,0.36,0.35
11/04/16,76450.0,0.365,0.36,0.365,0.36
12/04/16,878900.0,0.365,0.355,0.365,0.35
13/04/16,262950.0,0.36,0.365,0.37,0.36
14/04/16,66250.0,0.37,0.365,0.37,0.365
15/04/16,65600.0,0.37,0.365,0.37,0.36
18/04/16,36350.0,0.37,0.365,0.37,0.36
19/04/16,97700.0,0.37,0.36,0.37,0.36
20/04/16,35300.0,0.36,0.36,0.36,0.35
21/04/16,22000.0,0.36,0.37,0.37,0.36
22/04/16,18250.0,0.365,0.365,0.365,0.365
25/04/16,70900.0,0.365,0.365,0.365,0.35
26/04/16,36150.0,0.365,0.365,0.365,0.36
27/04/16,3681950.0,0.365,0.35,0.365,0.35
28/04/16,5373950.0,0.355,0.365,0.39,0.35
29/04/16,6195850.0,0.36,0.34,0.38,0.34
02/05/16,4044500.0,0.36,0.355,0.365,0.35
03/05/16,142950.0,0.365,0.37,0.38,0.355
04/05/16,273200.0,0.37,0.365,0.37,0.35
05/05/16,545150.0,0.37,0.35,0.37,0.35
06/05/16,7081300.0,0.34,0.35,0.36,0.34
06/05/16,7081300.0,0.34,0.35,0.36,0.34
10/05/16,17792650.0,0.37,0.405,0.43,0.35
11/05/16,2152450.0,0.41,0.4,0.425,0.395
12/05/16,726850.0,0.4,0.405,0.41,0.39
13/05/16,2071400.0,0.4,0.405,0.435,0.4
16/05/16,909450.0,0.405,0.395,0.41,0.39
17/05/16,1785250.0,0.395,0.415,0.43,0.39
18/05/16,1820900.0,0.415,0.41,0.42,0.405
19/05/16,779050.0,0.425,0.415,0.43,0.415
20/05/16,7287050.0,0.425,0.43,0.465,0.415
23/05/16,1196300.0,0.43,0.435,0.44,0.42
24/05/16,677250.0,0.45,0.43,0.45,0.42
25/05/16,3578300.0,0.43,0.39,0.43,0.385
26/05/16,1847000.0,0.4,0.4,0.405,0.38
27/05/16,1602200.0,0.4,0.425,0.44,0.4
30/05/16,793300.0,0.425,0.42,0.43,0.41
31/05/16,611450.0,0.425,0.4,0.425,0.395
01/06/16,289700.0,0.41,0.4,0.41,0.39
02/06/16,391250.0,0.39,0.4,0.4,0.38
03/06/16,221400.0,0.39,0.39,0.4,0.38
06/06/16,219100.0,0.4,0.4,0.4,0.38
07/06/16,414600.0,0.4,0.39,0.405,0.385
08/06/16,4793600.0,0.39,0.39,0.39,0.385
09/06/16,405700.0,0.39,0.385,0.395,0.38
10/06/16,1033000.0,0.385,0.385,0.39,0.38
13/06/16,526850.0,0.385,0.385,0.39,0.375
14/06/16,147100.0,0.385,0.38,0.385,0.375
15/06/16,544750.0,0.37,0.385,0.385,0.37
16/06/16,187850.0,0.385,0.385,0.385,0.37
17/06/16,170400.0,0.385,0.385,0.385,0.375
20/06/16,129850.0,0.38,0.385,0.39,0.375
21/06/16,155000.0,0.385,0.38,0.385,0.37
22/06/16,1407300.0,0.385,0.37,0.385,0.36
23/06/16,173300.0,0.375,0.385,0.385,0.37
24/06/16,710300.0,0.38,0.37,0.38,0.36
27/06/16,63450.0,0.37,0.375,0.375,0.37
28/06/16,112450.0,0.375,0.365,0.375,0.36
29/06/16,400150.0,0.36,0.36,0.365,0.36
30/06/16,355100.0,0.36,0.38,0.385,0.36
01/07/16,139950.0,0.38,0.375,0.385,0.375
04/07/16,193550.0,0.38,0.365,0.38,0.36
05/07/16,164350.0,0.365,0.37,0.37,0.365
07/07/16,29650.0,0.375,0.37,0.375,0.37
08/07/16,7726850.0,0.37,0.39,0.395,0.37
11/07/16,3136500.0,0.405,0.415,0.42,0.395
12/07/16,1081900.0,0.42,0.4,0.42,0.39
13/07/16,321650.0,0.41,0.4,0.41,0.39
