Date,Value,Open,Close,High,Low
15/07/15,18642236.5,57.4,57.3,57.5,57.0
16/07/15,39481075.5,57.8,58.5,58.5,57.65
20/07/15,24758761.5,57.45,58.0,58.5,57.0
21/07/15,54350875.0,58.0,58.6,58.6,57.2
22/07/15,50930751.5,58.65,58.65,58.65,57.9
23/07/15,42832074.0,58.5,59.0,59.0,58.05
23/07/15,42832074.0,58.5,59.0,59.0,58.05
23/07/15,42832074.0,58.5,59.0,59.0,58.05
24/07/15,34961860.0,59.0,57.75,59.05,57.75
27/07/15,53822189.0,57.8,57.45,57.85,57.2
28/07/15,53350736.0,57.2,57.8,58.0,56.1
29/07/15,76977352.5,57.8,58.6,59.0,57.8
30/07/15,65491029.5,58.95,58.9,59.0,58.6
31/07/15,96879138.5,59.0,58.5,59.0,57.95
03/08/15,87385195.5,59.0,58.3,59.0,57.2
04/08/15,76688007.0,58.3,58.75,58.75,58.3
05/08/15,57532414.5,58.9,58.8,58.9,58.7
06/08/15,60079635.0,58.8,57.7,58.8,57.7
07/08/15,43871560.0,58.0,58.0,58.5,57.6
10/08/15,34734689.0,57.5,58.05,58.5,57.5
11/08/15,72807456.5,57.55,57.7,57.95,57.5
12/08/15,73781779.0,57.5,57.45,57.6,57.45
13/08/15,172174803.5,57.4,57.55,57.6,57.4
14/08/15,41166493.0,57.25,57.5,57.5,57.2
17/08/15,74741571.5,57.25,57.5,57.5,57.0
18/08/15,66581743.5,57.5,57.5,57.5,57.15
19/08/15,52340948.0,57.1,57.5,57.65,57.0
20/08/15,185383393.5,57.55,57.5,57.55,57.05
24/08/15,177542040.0,56.8,53.65,56.8,53.0
25/08/15,161335547.5,52.0,51.95,52.1,50.05
26/08/15,166400946.0,51.95,52.8,52.9,51.5
27/08/15,166445272.5,53.1,53.5,53.9,53.1
28/08/15,178590351.0,54.0,55.1,55.1,53.65
01/09/15,143869818.0,54.5,54.8,55.0,54.0
02/09/15,66054182.5,55.0,55.7,55.7,53.0
03/09/15,40263627.0,55.7,57.55,57.55,55.6
04/09/15,57191757.5,55.3,57.9,57.9,55.3
07/09/15,38840013.0,56.1,57.9,58.45,56.1
08/09/15,50226224.5,58.35,57.65,58.5,57.15
09/09/15,87634272.0,57.6,57.25,57.8,57.0
10/09/15,123153006.0,56.05,58.0,58.0,56.0
11/09/15,59296179.0,58.1,57.95,58.1,56.05
14/09/15,55320948.5,57.95,58.0,58.0,56.5
15/09/15,34060612.0,58.0,57.55,58.1,57.1
15/09/15,34060612.0,58.0,57.55,58.1,57.1
15/09/15,34060612.0,58.0,57.55,58.1,57.1
16/09/15,130551896.5,58.45,58.0,58.45,58.0
17/09/15,87862932.5,57.6,58.2,58.4,57.6
18/09/15,143809415.5,58.5,57.45,58.5,57.45
21/09/15,102371116.0,58.0,57.95,58.0,57.3
22/09/15,79197054.5,58.2,58.0,58.2,57.5
23/09/15,140293469.5,58.45,58.2,58.45,56.5
24/09/15,83951623.5,58.2,57.9,58.2,56.7
28/09/15,31781137.0,57.9,57.55,58.2,56.55
29/09/15,114709178.5,57.0,57.6,57.9,56.6
30/09/15,188388454.5,57.8,57.7,57.9,57.65
01/10/15,71377151.5,57.8,56.6,57.85,56.6
02/10/15,86775306.5,57.0,56.85,57.5,56.5
05/10/15,143228948.0,56.9,57.25,57.9,56.9
06/10/15,123604153.0,57.95,58.1,58.1,57.95
07/10/15,124940383.0,58.1,57.5,58.1,56.6
08/10/15,58358734.0,57.75,57.8,58.0,57.7
09/10/15,68815497.5,58.1,57.5,58.1,57.2
12/10/15,99852299.5,58.2,57.5,58.4,57.35
13/10/15,261667520.5,57.9,56.05,57.9,56.05
14/10/15,36990459.0,56.05,55.9,56.7,55.7
15/10/15,56266181.0,56.2,57.4,57.5,55.9
16/10/15,78872356.5,57.95,57.0,58.0,56.5
19/10/15,37185947.0,57.0,57.8,58.0,57.0
20/10/15,72973783.5,57.8,57.5,57.85,56.0
21/10/15,53209509.0,56.6,57.7,57.8,56.6
22/10/15,25029245.5,57.8,57.4,57.8,57.0
23/10/15,102177512.5,57.5,57.75,58.2,57.5
26/10/15,66281026.0,58.2,57.1,58.2,57.1
27/10/15,82838302.5,57.1,57.0,57.95,56.55
28/10/15,32980272.0,57.0,57.3,57.8,56.7
29/10/15,86622116.5,57.0,58.0,58.0,56.35
30/10/15,116058641.0,56.0,56.0,57.2,56.0
02/11/15,41361048.0,57.6,57.05,57.6,56.95
03/11/15,38969776.5,57.1,57.35,57.7,57.1
04/11/15,82105459.0,57.35,56.5,57.35,56.3
05/11/15,73641948.5,56.5,56.15,56.75,56.15
06/11/15,24173828.5,56.15,56.15,56.55,56.15
09/11/15,38986587.0,57.0,56.8,57.0,55.9
10/11/15,43405764.0,56.9,56.5,56.9,56.0
11/11/15,124043811.0,56.05,56.6,56.6,56.0
12/11/15,116234524.0,56.6,56.8,56.85,56.0
13/11/15,70694566.5,56.75,57.0,57.3,55.9
16/11/15,67623577.0,56.0,55.2,56.2,52.9
17/11/15,85208229.0,55.25,55.7,57.2,55.25
20/11/15,144051827.5,57.05,57.85,57.85,55.7
23/11/15,61675589.0,57.85,57.85,57.85,57.0
24/11/15,68641685.0,57.85,56.1,57.85,56.1
25/11/15,110155763.0,57.75,57.85,57.9,56.95
26/11/15,118066696.0,57.9,57.75,57.9,57.2
27/11/15,686652914.5,57.05,56.6,58.3,56.6
01/12/15,237275469.0,57.45,57.85,58.0,57.4
