Date,Value,Open,Close,High,Low
15/07/15,78713515.0,43.65,44.15,44.2,43.45
16/07/15,153709155.0,44.2,44.65,44.85,44.1
20/07/15,49221665.0,44.65,43.75,44.7,43.75
21/07/15,52524475.0,43.75,44.5,44.75,43.75
22/07/15,63216040.0,44.7,44.6,44.75,44.0
23/07/15,71778660.0,44.0,45.0,45.0,44.0
23/07/15,71778660.0,44.0,45.0,45.0,44.0
23/07/15,71778660.0,44.0,45.0,45.0,44.0
24/07/15,88841570.0,45.0,45.0,45.0,44.0
27/07/15,32955460.0,44.55,44.5,44.85,43.85
28/07/15,100719600.0,44.0,43.85,44.0,43.75
29/07/15,89120370.0,43.85,43.95,44.1,43.85
30/07/15,357508580.0,44.0,43.85,44.0,43.8
31/07/15,110833670.0,43.8,43.7,43.9,43.65
03/08/15,119107980.0,43.7,43.3,43.7,43.2
04/08/15,95816535.0,43.3,43.3,43.3,43.1
05/08/15,40122890.0,43.25,43.35,43.65,43.15
06/08/15,107078300.0,43.35,43.45,43.85,43.15
07/08/15,86858650.0,43.45,42.95,43.45,41.85
10/08/15,59255540.0,42.95,42.95,43.6,42.65
11/08/15,181827390.0,42.65,43.05,43.6,42.6
12/08/15,80132215.0,42.55,43.15,43.6,42.5
13/08/15,95145985.0,42.8,42.65,43.5,42.0
14/08/15,62239715.0,42.5,43.0,43.0,42.25
17/08/15,79591680.0,42.3,43.5,43.5,42.2
18/08/15,79589810.0,43.4,43.5,43.5,42.6
19/08/15,72144155.0,42.6,43.75,44.0,42.6
20/08/15,90243300.0,43.35,43.9,43.9,42.95
24/08/15,185801765.0,42.5,42.0,42.55,40.5
25/08/15,122548150.0,41.0,42.0,42.3,40.0
26/08/15,328927280.0,42.0,42.5,43.5,40.9
27/08/15,124673305.0,42.8,42.55,42.9,42.05
28/08/15,75924410.0,42.55,43.25,43.5,42.55
01/09/15,128451040.0,42.9,43.25,43.95,42.6
02/09/15,177270855.0,43.0,43.5,44.0,42.0
03/09/15,92205595.0,43.5,43.5,43.9,42.5
04/09/15,101967050.0,43.45,43.5,43.8,43.45
07/09/15,39665385.0,43.5,43.5,43.5,42.55
08/09/15,109794575.0,43.5,43.35,43.5,43.15
09/09/15,101768795.0,43.5,43.25,43.5,43.05
10/09/15,57673855.0,43.5,43.15,43.5,43.15
11/09/15,32431240.0,43.55,42.9,43.55,42.9
14/09/15,41350450.0,42.9,43.3,43.4,42.9
15/09/15,73412500.0,43.3,43.3,43.45,43.2
15/09/15,73412500.0,43.3,43.3,43.45,43.2
15/09/15,73412500.0,43.3,43.3,43.45,43.2
16/09/15,75546740.0,42.65,43.2,43.4,42.65
17/09/15,94429280.0,43.2,43.4,43.5,43.1
18/09/15,200627725.0,43.05,42.7,43.65,42.7
21/09/15,133163945.0,43.5,43.05,43.5,42.95
22/09/15,107000940.0,43.1,43.05,43.4,42.8
23/09/15,36869240.0,43.05,42.95,43.45,42.65
24/09/15,105739840.0,43.0,43.5,43.5,42.55
28/09/15,61050845.0,43.5,42.2,43.75,42.2
29/09/15,60069215.0,42.2,42.7,43.1,42.0
30/09/15,85249010.0,43.2,43.2,43.45,43.2
01/10/15,29733210.0,43.25,43.35,43.45,43.25
02/10/15,45653710.0,43.25,43.5,43.5,43.25
