Date,Value,Open,Close,High,Low
15/07/15,10350.0,1.15,1.15,1.15,1.15
20/07/15,19150.0,1.2,1.15,1.2,1.15
22/07/15,38670.0,1.17,1.2,1.2,1.17
23/07/15,232380.0,1.16,1.15,1.16,1.15
23/07/15,232380.0,1.16,1.15,1.16,1.15
23/07/15,232380.0,1.16,1.15,1.16,1.15
24/07/15,123050.0,1.15,1.15,1.15,1.15
27/07/15,255720.0,1.15,1.11,1.16,1.1
30/07/15,5600.000000000001,1.12,1.12,1.12,1.12
05/08/15,3440.0,1.12,1.2,1.2,1.12
06/08/15,1120.0,1.12,1.12,1.12,1.12
10/08/15,20699.999999999996,1.15,1.15,1.15,1.15
11/08/15,439540.0,1.2,1.14,1.2,1.12
12/08/15,49550.0,1.15,1.15,1.2,1.15
14/08/15,28690.0,1.15,1.15,1.15,1.14
17/08/15,310490.0,1.14,1.15,1.15,1.14
18/08/15,69000.0,1.15,1.15,1.15,1.15
19/08/15,34510.0,1.16,1.15,1.16,1.15
24/08/15,23060.0,1.11,1.04,1.11,1.04
25/08/15,260000.0,1.04,1.04,1.04,1.04
28/08/15,10910.0,1.1,1.09,1.1,1.09
02/09/15,10800.0,1.08,1.08,1.08,1.08
03/09/15,11000.0,1.1,1.1,1.1,1.1
04/09/15,11000.0,1.1,1.1,1.1,1.1
08/09/15,19800.0,1.1,1.1,1.1,1.1
09/09/15,340059.99999999994,1.13,1.06,1.13,1.06
11/09/15,66900.0,1.11,1.12,1.12,1.11
14/09/15,1080.0,1.08,1.08,1.08,1.08
16/09/15,1100.0,1.1,1.1,1.1,1.1
18/09/15,1060.0,1.06,1.06,1.06,1.06
21/09/15,9630.0,1.07,1.07,1.07,1.07
22/09/15,1120.0,1.12,1.12,1.12,1.12
24/09/15,152699.99999999997,1.14,1.11,1.14,1.11
28/09/15,3540.0,1.18,1.18,1.18,1.18
29/09/15,2190.0,1.13,1.06,1.13,1.06
30/09/15,13060.0,1.19,1.06,1.21,1.06
02/10/15,34240.0,1.07,1.07,1.07,1.07
05/10/15,1070.0,1.07,1.07,1.07,1.07
06/10/15,5400.0,1.08,1.08,1.08,1.08
09/10/15,69600.0,1.1,1.1,1.15,1.1
12/10/15,163240.0,1.15,1.12,1.15,1.12
13/10/15,89410.0,1.15,1.11,1.15,1.11
16/10/15,19160.0,1.13,1.1,1.13,1.1
19/10/15,116099.99999999999,1.15,1.1,1.15,1.1
21/10/15,5600.0,1.12,1.12,1.12,1.12
03/11/15,28249.999999999996,1.13,1.13,1.13,1.13
04/11/15,577620.0,1.15,1.09,1.16,1.06
09/11/15,119800.0,1.11,1.1,1.11,1.1
10/11/15,26880.000000000004,1.12,1.12,1.12,1.12
16/11/15,128600.0,1.17,1.12,1.17,1.12
23/11/15,220420.0,1.18,1.15,1.25,1.15
25/11/15,11480.0,1.14,1.15,1.15,1.14
26/11/15,20270.0,1.23,1.2,1.23,1.15
27/11/15,30090.0,1.23,1.16,1.27,1.16
01/12/15,11350.0,1.27,1.19,1.27,1.19
02/12/15,430560.0,1.17,1.21,1.34,1.16
03/12/15,92750.0,1.18,1.2,1.26,1.17
04/12/15,3590.0,1.16,1.2,1.23,1.16
07/12/15,19660.0,1.15,1.15,1.16,1.15
08/12/15,54050.0,1.15,1.15,1.15,1.15
09/12/15,37980.0,1.13,1.15,1.2,1.13
11/12/15,28750.0,1.15,1.15,1.15,1.15
14/12/15,75140.0,1.12,1.12,1.13,1.12
15/12/15,1110.0,1.11,1.11,1.11,1.11
16/12/15,52880.0,1.13,1.15,1.15,1.13
17/12/15,6870.0,1.12,1.15,1.15,1.12
18/12/15,1140.0,1.14,1.14,1.14,1.14
21/12/15,11480.0,1.15,1.13,1.15,1.13
22/12/15,23000.0,1.15,1.15,1.15,1.15
23/12/15,36330.0,1.2,1.12,1.23,1.12
28/12/15,5750.0,1.15,1.15,1.15,1.15
29/12/15,74560.0,1.15,1.26,1.26,1.15
06/01/16,4560.0,1.14,1.14,1.14,1.14
07/01/16,41400.0,1.15,1.15,1.15,1.15
08/01/16,128769.99999999999,1.15,1.12,1.15,1.12
