Date,Value,Open,Close,High,Low
15/07/15,9610.0,1.38,1.37,1.38,1.37
16/07/15,102000.0,1.36,1.36,1.36,1.36
20/07/15,88650.0,1.37,1.36,1.37,1.36
21/07/15,18750.0,1.36,1.31,1.36,1.31
22/07/15,2880.0,1.44,1.44,1.44,1.44
23/07/15,8500.0,1.53,1.37,1.53,1.37
23/07/15,8500.0,1.53,1.37,1.53,1.37
23/07/15,8500.0,1.53,1.37,1.53,1.37
24/07/15,4110.0,1.36,1.38,1.38,1.36
28/07/15,29770.0,1.36,1.34,1.36,1.34
29/07/15,10220.0,1.44,1.48,1.48,1.44
30/07/15,10300.0,1.48,1.47,1.48,1.47
31/07/15,744750.0,1.45,1.76,1.77,1.45
03/08/15,358920.0,1.77,1.61,1.77,1.6
04/08/15,211930.0,1.66,1.56,1.66,1.44
05/08/15,93200.0,1.51,1.5,1.51,1.5
06/08/15,10950.0,1.37,1.38,1.38,1.34
07/08/15,149720.0,1.57,1.52,1.57,1.39
10/08/15,28100.0,1.5,1.45,1.5,1.45
11/08/15,70310.0,1.44,1.39,1.44,1.39
12/08/15,56390.0,1.4,1.45,1.45,1.39
13/08/15,9860.0,1.4,1.43,1.43,1.4
14/08/15,14280.0,1.41,1.43,1.43,1.41
17/08/15,31270.0,1.35,1.44,1.45,1.34
19/08/15,7380.0,1.44,1.53,1.53,1.44
20/08/15,10080.0,1.44,1.44,1.44,1.44
24/08/15,64130.0,1.34,1.33,1.44,1.33
25/08/15,2800.0,1.4,1.4,1.4,1.4
26/08/15,104750.0,1.4,1.45,1.45,1.39
27/08/15,19640.0,1.45,1.53,1.53,1.45
01/09/15,4200.0,1.4,1.4,1.4,1.4
02/09/15,16700.0,1.2,1.54,1.54,1.2
07/09/15,18930.0,1.28,1.53,1.53,1.28
08/09/15,71060.0,1.35,1.5,1.5,1.35
09/09/15,10120.0,1.31,1.5,1.5,1.31
11/09/15,16420.0,1.31,1.41,1.41,1.31
14/09/15,28430.0,1.37,1.5,1.5,1.36
15/09/15,50630.0,1.3,1.5,1.5,1.3
15/09/15,50630.0,1.3,1.5,1.5,1.3
15/09/15,50630.0,1.3,1.5,1.5,1.3
16/09/15,9900.0,1.4,1.5,1.5,1.4
17/09/15,3000.0,1.5,1.5,1.5,1.5
21/09/15,81030.0,1.43,1.41,1.43,1.41
22/09/15,31000.0,1.51,1.49,1.51,1.4
24/09/15,13370.0,1.45,1.49,1.49,1.45
29/09/15,49170.0,1.49,1.49,1.49,1.49
30/09/15,30000.0,1.5,1.5,1.5,1.5
01/10/15,7450.0,1.49,1.49,1.49,1.49
02/10/15,22950.0,1.53,1.53,1.53,1.53
05/10/15,168650.0,1.53,1.5,1.53,1.5
06/10/15,10170.0,1.42,1.53,1.53,1.42
09/10/15,48960.0,1.53,1.53,1.53,1.53
12/10/15,9170.0,1.53,1.5,1.54,1.5
13/10/15,4500.0,1.5,1.5,1.5,1.5
15/10/15,7050.0,1.41,1.41,1.41,1.41
16/10/15,1460.0,1.46,1.46,1.46,1.46
19/10/15,47440.0,1.46,1.53,1.53,1.42
20/10/15,56200.0,1.47,1.6,1.6,1.47
21/10/15,29050.0,1.6,1.65,1.65,1.6
26/10/15,263410.0,1.65,1.66,1.79,1.65
27/10/15,377800.0,1.77,1.8,1.9,1.77
28/10/15,22130.0,1.8,1.85,1.85,1.8
29/10/15,147980.0,1.88,1.86,1.88,1.72
30/10/15,12740.0,1.8,1.84,1.84,1.8
02/11/15,114030.0,1.84,1.88,1.88,1.8
03/11/15,41030.0,1.88,1.88,1.88,1.85
04/11/15,18400.0,1.84,1.84,1.84,1.84
05/11/15,54770.0,1.84,1.81,1.86,1.8
06/11/15,415380.0,1.81,1.88,1.9,1.65
09/11/15,106680.0,1.9,1.81,1.9,1.8
10/11/15,55210.0,1.86,1.84,1.86,1.81
11/11/15,138650.0,1.83,1.9,1.9,1.66
12/11/15,2482920.0,1.89,2.29,2.29,1.89
13/11/15,831730.0,2.25,2.09,2.25,2.06
16/11/15,7995550.0,2.1,3.08,3.1,2.04
17/11/15,17971860.0,3.08,3.2,3.78,3.0
20/11/15,7897050.0,3.29,3.41,3.41,2.85
23/11/15,4371400.0,3.39,3.44,3.5,3.18
24/11/15,6313780.0,3.29,3.64,3.69,3.22
25/11/15,10862610.0,3.61,3.95,3.98,3.54
26/11/15,27949350.0,3.97,4.47,4.49,3.97
27/11/15,15766990.0,4.52,4.24,4.6,4.19
01/12/15,10534830.0,4.15,4.5,4.56,4.1
