Date,Value,Open,Close,High,Low
15/07/15,734650505.0,22.3,22.45,22.65,22.1
16/07/15,79397530.0,22.4,22.9,23.05,22.3
20/07/15,70072770.0,22.9,22.5,22.9,22.4
21/07/15,198869230.0,22.55,23.4,23.45,22.55
22/07/15,310603180.0,23.3,23.5,23.5,23.1
23/07/15,321624385.0,23.4,23.7,23.8,23.15
23/07/15,321624385.0,23.4,23.7,23.8,23.15
23/07/15,321624385.0,23.4,23.7,23.8,23.15
24/07/15,35001335.0,23.7,23.5,23.7,23.3
27/07/15,82069390.0,23.3,22.8,23.3,22.8
28/07/15,66252375.0,22.75,22.0,22.75,22.0
29/07/15,43358145.0,22.0,22.3,22.85,22.0
30/07/15,260079550.0,22.4,22.25,22.6,22.25
31/07/15,126685160.0,22.6,22.6,22.6,22.2
03/08/15,117590980.0,22.6,22.35,22.6,22.3
04/08/15,184769445.0,22.5,22.55,22.6,22.35
05/08/15,122637595.0,22.55,23.05,23.2,22.5
06/08/15,256904880.0,23.0,22.85,23.3,22.85
07/08/15,133199245.0,22.85,22.95,22.95,22.7
10/08/15,69850485.0,22.85,22.2,22.9,22.2
11/08/15,121119975.0,22.2,22.55,22.55,22.2
12/08/15,262653260.0,22.1,22.3,22.45,22.1
13/08/15,84150155.0,22.3,22.3,22.6,22.2
14/08/15,123999355.0,22.7,22.3,22.7,22.1
17/08/15,147430500.0,22.5,22.3,22.5,22.2
18/08/15,185038540.0,22.25,21.6,22.25,21.6
19/08/15,333969015.0,21.6,20.25,21.65,20.25
20/08/15,372983425.0,20.25,20.15,20.6,20.0
24/08/15,250882662.0,19.7,18.9,19.7,18.42
25/08/15,161940600.0,18.2,19.32,19.66,18.04
26/08/15,166387242.0,19.32,19.3,19.44,18.9
27/08/15,724196700.0,19.48,19.8,20.0,19.48
28/08/15,179395366.0,20.0,19.8,20.35,19.8
01/09/15,181490568.0,19.6,19.92,20.5,19.6
02/09/15,107662487.0,19.74,20.2,20.2,19.48
03/09/15,159870760.0,20.3,20.3,20.3,20.0
04/09/15,132727635.0,20.25,20.25,20.25,20.1
07/09/15,76704437.0,20.25,20.1,20.3,19.5
08/09/15,51698868.0,20.0,19.98,20.1,19.52
09/09/15,93782867.0,19.98,19.8,20.1,19.8
10/09/15,144173249.0,19.8,19.88,20.15,19.78
11/09/15,63236952.0,19.9,19.9,19.98,19.88
14/09/15,57546011.0,19.92,20.0,20.1,19.9
15/09/15,115822155.0,19.92,20.25,20.4,19.9
15/09/15,115822155.0,19.92,20.25,20.4,19.9
15/09/15,115822155.0,19.92,20.25,20.4,19.9
16/09/15,134285365.0,20.1,20.15,20.45,20.0
17/09/15,237710375.0,20.4,20.35,20.45,20.25
18/09/15,138350751.0,20.35,19.9,20.45,19.8
21/09/15,381659516.0,19.9,19.72,19.9,19.54
22/09/15,84422458.0,19.72,19.6,19.84,19.56
23/09/15,124806674.0,19.6,19.0,19.6,18.88
24/09/15,230829900.0,18.9,18.14,19.0,18.12
28/09/15,269581756.0,18.2,16.96,18.2,16.54
29/09/15,167434166.0,16.92,16.46,16.92,16.18
30/09/15,289461364.0,16.46,15.32,16.46,15.16
01/10/15,184925480.0,15.7,16.12,16.4,15.66
02/10/15,273923962.0,16.5,16.18,16.5,16.1
05/10/15,325457500.0,16.0,16.08,16.3,15.88
06/10/15,205323524.0,16.18,16.36,16.52,16.18
07/10/15,163130900.0,16.36,17.0,17.0,16.3
08/10/15,148821778.0,17.12,17.14,17.44,16.94
09/10/15,230131100.0,17.24,18.46,18.46,17.16
12/10/15,176491866.0,18.54,18.5,18.76,18.18
13/10/15,229457688.0,18.5,18.3,18.8,18.3
14/10/15,164426472.0,18.4,17.8,18.4,17.5
15/10/15,71149890.0,17.8,18.06,18.1,17.8
16/10/15,152382280.0,18.1,18.26,18.4,18.1
19/10/15,133527648.0,18.3,18.2,18.4,18.18
20/10/15,46935800.0,18.2,18.06,18.36,17.94
21/10/15,101741994.0,18.08,18.0,18.18,17.84
22/10/15,98428418.0,17.9,18.0,18.1,17.9
23/10/15,134283892.0,18.18,18.0,18.3,17.98
26/10/15,185563506.0,18.4,18.5,18.6,18.4
27/10/15,105220646.0,18.5,18.74,18.8,18.36
28/10/15,82563816.0,18.8,18.88,18.9,18.52
29/10/15,94067960.0,18.9,18.52,19.0,18.46
30/10/15,93161896.0,18.56,18.24,18.58,18.0
02/11/15,39671828.0,18.4,18.5,18.5,18.1
03/11/15,48477410.0,18.5,18.5,18.6,18.4
04/11/15,83181876.0,18.58,18.6,18.86,18.44
05/11/15,64854398.0,18.6,18.68,18.8,18.6
06/11/15,113101176.0,18.68,18.52,18.68,18.18
09/11/15,23905880.0,18.48,18.58,18.58,18.12
10/11/15,20324870.0,18.2,18.34,18.44,18.1
11/11/15,59758226.0,18.06,18.2,18.46,18.02
12/11/15,47791162.0,18.1,17.82,18.4,17.82
13/11/15,132589316.0,17.82,17.82,18.0,17.2
16/11/15,43075538.0,17.3,17.78,17.78,17.2
17/11/15,53978398.0,17.78,17.76,17.96,17.68
20/11/15,61206826.0,17.8,17.9,17.96,17.02
23/11/15,36131570.0,17.9,17.9,18.2,17.5
24/11/15,71191162.0,18.16,18.0,18.16,17.6
25/11/15,116122482.0,18.16,17.84,18.16,17.82
26/11/15,165722482.0,18.14,17.98,18.14,17.8
27/11/15,132895538.0,17.96,17.7,18.2,17.7
01/12/15,264104180.0,17.7,17.8,18.1,17.7
02/12/15,13826118.0,17.9,17.9,17.9,17.8
03/12/15,42790356.0,17.82,17.5,17.82,17.5
04/12/15,45511482.0,17.3,17.1,17.32,17.1
07/12/15,52598288.0,17.1,17.1,17.2,17.08
08/12/15,38245318.0,17.2,16.5,17.2,16.46
09/12/15,32529066.0,16.5,16.7,16.82,16.38
10/12/15,248827154.0,16.68,16.22,16.7,16.0
11/12/15,151176494.0,16.22,15.6,16.5,15.6
14/12/15,109440860.0,15.6,15.3,15.6,15.16
15/12/15,219987072.0,15.5,15.58,15.68,15.5
16/12/15,161943790.0,15.76,16.0,16.08,15.64
17/12/15,151888700.0,16.0,16.4,16.56,16.0
18/12/15,72897492.0,16.2,16.26,16.26,16.04
21/12/15,30238164.0,16.3,16.26,16.34,16.0
22/12/15,54761748.0,16.26,16.52,16.62,16.22
23/12/15,98266428.0,16.6,16.72,16.9,16.58
28/12/15,53938804.0,16.88,16.8,16.88,16.72
29/12/15,64609148.0,16.86,16.1,16.92,16.1
04/01/16,125123454.0,16.16,15.98,16.5,15.96
05/01/16,131302862.0,15.98,16.0,16.04,15.94
06/01/16,64043694.0,15.94,16.04,16.18,15.94
07/01/16,46009076.0,16.0,15.4,16.04,15.4
08/01/16,58327292.0,15.3,15.2,15.6,15.2
11/01/16,104337594.0,15.2,14.6,15.2,14.56
12/01/16,103242428.0,14.62,14.78,15.34,14.62
13/01/16,46587776.0,15.02,14.9,15.14,14.9
14/01/16,37832894.0,14.78,14.6,14.78,14.56
15/01/16,46914480.0,14.8,14.62,14.82,14.56
18/01/16,115551614.0,14.42,13.92,14.42,13.76
19/01/16,35721144.0,13.94,14.06,14.2,13.94
20/01/16,94596620.0,13.92,13.8,14.2,13.8
