Date,Value,Open,Close,High,Low
15/07/15,374280.0,1.04,1.04,1.05,1.02
16/07/15,73840.0,1.04,1.04,1.04,1.04
20/07/15,191480.0,1.03,1.04,1.05,1.03
21/07/15,408090.0,1.03,1.04,1.04,1.02
22/07/15,118560.0,1.04,1.04,1.04,1.04
24/07/15,733800.0,1.04,1.03,1.04,1.02
27/07/15,137350.0,1.03,1.04,1.04,1.03
28/07/15,324010.0,1.05,1.02,1.05,1.01
29/07/15,237670.0,1.02,1.03,1.03,1.02
30/07/15,518300.0,1.03,1.02,1.03,1.01
31/07/15,545100.0,1.01,1.03,1.03,1.0
03/08/15,187090.0,1.03,1.03,1.05,1.02
04/08/15,46350.0,1.03,1.03,1.03,1.03
05/08/15,42100.0,1.02,1.0,1.02,1.0
06/08/15,97560.0,0.92,0.96,1.0,0.92
07/08/15,372600.0,0.97,0.97,0.99,0.97
10/08/15,461360.0,0.98,0.97,1.03,0.97
11/08/15,15280.0,0.96,1.02,1.03,0.96
12/08/15,518260.0,1.02,0.95,1.02,0.95
13/08/15,1063000.0,0.95,0.94,0.95,0.94
14/08/15,126820.0,1.0,1.0,1.02,0.96
17/08/15,614330.0,1.0,0.94,1.0,0.92
18/08/15,2729010.0,0.91,0.92,0.96,0.91
19/08/15,81130.0,0.95,0.96,0.96,0.92
20/08/15,72210.0,0.96,0.97,0.97,0.96
24/08/15,155740.0,0.9,0.94,0.94,0.9
26/08/15,83140.0,0.87,0.96,0.96,0.87
27/08/15,7820.0,1.02,0.94,1.02,0.92
28/08/15,24230.0,0.95,0.99,1.0,0.94
01/09/15,990.0,0.99,0.99,0.99,0.99
02/09/15,11100.0,0.92,0.98,0.98,0.92
07/09/15,9070.0,0.9,0.97,0.97,0.9
08/09/15,75630.0,0.95,0.95,0.95,0.9
10/09/15,14730.0,0.92,0.93,0.93,0.92
11/09/15,1880.0,0.94,0.94,0.94,0.94
14/09/15,36480.0,0.92,0.96,0.96,0.91
15/09/15,230920.0,0.96,0.91,0.96,0.91
15/09/15,230920.0,0.96,0.91,0.96,0.91
15/09/15,230920.0,0.96,0.91,0.96,0.91
