Date,Value,Open,Close,High,Low
15/07/15,411640.0,1.98,1.95,1.98,1.95
16/07/15,504130.0,1.94,1.95,1.95,1.93
20/07/15,1093690.0,1.95,1.94,1.95,1.92
21/07/15,533790.0,1.93,1.92,1.95,1.92
22/07/15,1528870.0,1.93,1.92,1.95,1.9
23/07/15,1654200.0,1.93,1.93,1.93,1.91
23/07/15,1654200.0,1.93,1.93,1.93,1.91
23/07/15,1654200.0,1.93,1.93,1.93,1.91
24/07/15,767950.0,1.94,1.92,1.94,1.91
27/07/15,891290.0,1.93,1.92,1.93,1.91
28/07/15,5389690.0,1.93,1.89,1.93,1.88
29/07/15,1464130.0,1.9,1.89,1.91,1.89
30/07/15,941610.0,1.91,1.89,1.91,1.88
31/07/15,1416760.0,1.88,1.89,1.9,1.88
03/08/15,788830.0,1.9,1.88,1.9,1.88
04/08/15,771240.0,1.9,1.88,1.9,1.88
05/08/15,560390.0,1.89,1.88,1.89,1.88
06/08/15,614870.0,1.88,1.88,1.89,1.88
07/08/15,1034800.0,1.89,1.87,1.9,1.87
10/08/15,902880.0,1.86,1.88,1.9,1.86
11/08/15,1693780.0,1.9,1.88,1.93,1.87
12/08/15,1940050.0,1.86,1.88,1.88,1.85
13/08/15,1552190.0,1.88,1.87,1.88,1.85
14/08/15,626170.0,1.86,1.86,1.86,1.85
17/08/15,3429390.0,1.8,1.78,1.85,1.76
18/08/15,3233500.0,1.77,1.73,1.78,1.65
19/08/15,426820.0,1.73,1.73,1.73,1.71
20/08/15,508850.0,1.74,1.72,1.74,1.71
24/08/15,2105710.0,1.7,1.53,1.7,1.53
25/08/15,1459380.0,1.5,1.48,1.52,1.41
26/08/15,3999480.0,1.51,1.56,1.61,1.49
27/08/15,4612590.0,1.58,1.58,1.72,1.53
28/08/15,15016390.0,1.59,1.68,1.68,1.54
01/09/15,772310.0,1.68,1.6,1.68,1.59
02/09/15,1626710.0,1.58,1.59,1.59,1.51
03/09/15,409490.0,1.59,1.6,1.61,1.57
04/09/15,640390.0,1.6,1.57,1.6,1.57
07/09/15,172940.0,1.59,1.58,1.6,1.56
08/09/15,692600.0,1.56,1.56,1.58,1.53
09/09/15,9059090.0,1.58,1.59,1.63,1.56
10/09/15,80200.0,1.59,1.63,1.65,1.58
11/09/15,118580.0,1.69,1.64,1.69,1.58
14/09/15,424390.0,1.64,1.62,1.64,1.6
15/09/15,327100.0,1.63,1.6,1.63,1.56
15/09/15,327100.0,1.63,1.6,1.63,1.56
15/09/15,327100.0,1.63,1.6,1.63,1.56
16/09/15,389430.0,1.63,1.59,1.63,1.57
17/09/15,683300.0,1.6,1.59,1.6,1.58
18/09/15,2007140.0,1.6,1.7,1.71,1.59
21/09/15,3704620.0,1.71,1.67,1.77,1.67
22/09/15,2686670.0,1.67,1.64,1.68,1.59
23/09/15,355670.0,1.64,1.64,1.64,1.6
24/09/15,688170.0,1.6,1.7,1.8,1.6
28/09/15,4038500.0,1.67,1.57,1.67,1.56
29/09/15,974290.0,1.57,1.56,1.57,1.54
30/09/15,978340.0,1.55,1.54,1.56,1.53
01/10/15,821390.0,1.54,1.55,1.57,1.51
02/10/15,2575610.0,1.55,1.55,1.56,1.51
05/10/15,564860.0,1.55,1.53,1.55,1.52
06/10/15,918180.0,1.53,1.54,1.55,1.52
07/10/15,791970.0,1.54,1.58,1.58,1.53
08/10/15,932790.0,1.59,1.6,1.6,1.56
09/10/15,1498980.0,1.61,1.67,1.68,1.56
12/10/15,804890.0,1.69,1.65,1.76,1.64
13/10/15,490490.0,1.64,1.63,1.64,1.6
14/10/15,24730.0,1.67,1.66,1.67,1.64
15/10/15,41630.0,1.65,1.67,1.69,1.64
16/10/15,583970.0,1.67,1.64,1.67,1.64
19/10/15,402860.0,1.64,1.6,1.64,1.6
20/10/15,292790.0,1.61,1.65,1.66,1.59
21/10/15,1109010.0,1.61,1.6,1.65,1.56
22/10/15,189140.0,1.58,1.58,1.6,1.58
23/10/15,713730.0,1.59,1.61,1.64,1.58
26/10/15,933360.0,1.61,1.62,1.66,1.61
27/10/15,334670.0,1.61,1.59,1.61,1.59
28/10/15,191050.0,1.59,1.59,1.6,1.59
29/10/15,1044240.0,1.59,1.6,1.61,1.57
30/10/15,378750.0,1.57,1.58,1.58,1.56
02/11/15,135820.0,1.59,1.59,1.6,1.59
03/11/15,2774780.0,1.59,1.6,1.66,1.58
04/11/15,304900.0,1.59,1.6,1.6,1.59
05/11/15,3391840.0,1.6,1.56,1.6,1.54
06/11/15,82750.0,1.57,1.57,1.57,1.56
09/11/15,396820.0,1.56,1.57,1.58,1.55
10/11/15,984030.0,1.56,1.57,1.58,1.56
11/11/15,265970.0,1.6,1.57,1.6,1.57
12/11/15,213890.0,1.6,1.59,1.6,1.57
13/11/15,298550.0,1.57,1.57,1.57,1.56
16/11/15,536020.0,1.57,1.55,1.57,1.55
17/11/15,212350.0,1.55,1.55,1.55,1.55
20/11/15,586720.0,1.55,1.54,1.57,1.54
23/11/15,550050.0,1.55,1.53,1.57,1.53
24/11/15,1191140.0,1.52,1.53,1.53,1.5
25/11/15,417270.0,1.51,1.55,1.55,1.51
26/11/15,1223170.0,1.55,1.5,1.55,1.5
27/11/15,408970.0,1.5,1.5,1.53,1.49
01/12/15,6120.0,1.53,1.53,1.53,1.53
02/12/15,79470.0,1.5,1.52,1.52,1.49
03/12/15,233920.0,1.5,1.53,1.53,1.49
04/12/15,130500.0,1.5,1.5,1.5,1.5
07/12/15,186390.0,1.5,1.49,1.5,1.49
08/12/15,122490.0,1.49,1.5,1.51,1.48
09/12/15,246340.0,1.48,1.48,1.48,1.47
10/12/15,577190.0,1.47,1.45,1.48,1.44
11/12/15,297370.0,1.43,1.45,1.45,1.4
14/12/15,387770.0,1.46,1.4,1.46,1.39
15/12/15,1382940.0,1.39,1.38,1.4,1.38
16/12/15,2676680.0,1.38,1.38,1.39,1.36
17/12/15,687260.0,1.39,1.41,1.41,1.39
18/12/15,168240.0,1.41,1.4,1.45,1.4
21/12/15,1497590.0,1.39,1.37,1.39,1.33
22/12/15,616210.0,1.34,1.33,1.34,1.33
23/12/15,2384050.0,1.34,1.33,1.37,1.3
28/12/15,743930.0,1.35,1.35,1.36,1.34
29/12/15,2396980.0,1.35,1.34,1.36,1.34
04/01/16,83020.0,1.38,1.38,1.4,1.38
05/01/16,308540.0,1.37,1.37,1.37,1.34
06/01/16,415540.0,1.36,1.39,1.39,1.36
07/01/16,542670.0,1.4,1.36,1.4,1.35
08/01/16,483520.0,1.34,1.35,1.36,1.33
11/01/16,1574520.0,1.36,1.29,1.37,1.28
12/01/16,4591390.0,1.3,1.25,1.3,1.24
13/01/16,581190.0,1.28,1.24,1.28,1.23
14/01/16,2530000.0,1.24,1.21,1.32,1.2
15/01/16,2017240.0,1.27,1.2,1.27,1.2
18/01/16,319750.0,1.2,1.23,1.24,1.18
19/01/16,218850.0,1.26,1.25,1.27,1.24
20/01/16,164890.0,1.27,1.23,1.27,1.22
21/01/16,900030.0,1.25,1.2,1.25,1.18
22/01/16,804240.0,1.22,1.21,1.22,1.11
25/01/16,219480.0,1.21,1.2,1.21,1.18
26/01/16,237950.0,1.21,1.19,1.22,1.16
27/01/16,839840.0,1.21,1.22,1.22,1.17
28/01/16,324360.0,1.22,1.22,1.23,1.2
29/01/16,46637620.0,1.23,1.27,1.27,1.22
01/02/16,618740.0,1.28,1.29,1.31,1.26
02/02/16,113720.0,1.28,1.26,1.28,1.25
03/02/16,313670.0,1.26,1.27,1.29,1.24
04/02/16,565860.0,1.29,1.3,1.3,1.26
05/02/16,482620.0,1.31,1.26,1.31,1.26
09/02/16,233460.0,1.27,1.3,1.31,1.27
10/02/16,843530.0,1.31,1.3,1.32,1.28
11/02/16,560630.0,1.3,1.32,1.32,1.29
12/02/16,4381450.0,1.32,1.37,1.37,1.31
15/02/16,3304550.0,1.38,1.47,1.48,1.38
16/02/16,580760.0,1.47,1.43,1.47,1.4
17/02/16,270810.0,1.48,1.44,1.48,1.41
18/02/16,834130.0,1.44,1.46,1.47,1.44
19/02/16,614280.0,1.43,1.46,1.46,1.42
22/02/16,1293150.0,1.45,1.42,1.45,1.39
23/02/16,870730.0,1.45,1.41,1.45,1.41
24/02/16,108300.0,1.45,1.45,1.45,1.4
26/02/16,3573480.0,1.45,1.54,1.54,1.45
29/02/16,116032690.0,1.55,1.58,1.6,1.55
01/03/16,592030.0,1.58,1.55,1.58,1.52
02/03/16,733690.0,1.56,1.52,1.57,1.52
03/03/16,637030.0,1.51,1.5,1.53,1.5
04/03/16,466290.0,1.53,1.49,1.53,1.49
07/03/16,1223770.0,1.5,1.5,1.55,1.49
08/03/16,1438620.0,1.51,1.5,1.55,1.5
09/03/16,322530.0,1.5,1.51,1.53,1.5
10/03/16,340250.0,1.5,1.5,1.52,1.49
