Date,Value,Open,Close,High,Low
15/07/15,25432.5,59.15,68.0,68.0,59.15
16/07/15,72805.0,60.0,65.4,65.95,60.0
20/07/15,61038.5,60.5,65.5,65.5,60.5
21/07/15,37363.0,65.4,67.95,67.95,65.4
22/07/15,3397.5,67.95,67.95,67.95,67.95
23/07/15,6793.5,67.9,67.95,67.95,67.9
23/07/15,6793.5,67.9,67.95,67.95,67.9
23/07/15,6793.5,67.9,67.95,67.95,67.9
24/07/15,30570.0,67.9,67.95,67.95,67.9
28/07/15,4194.0,69.9,69.9,69.9,69.9
30/07/15,147932.5,69.0,68.65,69.0,65.0
04/08/15,31982.0,60.3,65.95,65.95,60.2
05/08/15,33766.0,65.9,68.5,68.5,65.9
06/08/15,6880.0,68.5,69.5,69.5,68.5
11/08/15,9730.0,69.5,69.5,69.5,69.5
13/08/15,22105.0,60.25,69.5,69.5,60.25
18/08/15,60250.0,60.25,60.25,60.25,60.25
19/08/15,52559.5,68.7,64.0,68.7,60.2
24/08/15,19100.5,58.05,58.05,58.05,57.65
25/08/15,6600.0,55.0,55.0,55.0,55.0
27/08/15,8467.5,56.45,56.45,56.45,56.45
28/08/15,9683.0,57.0,56.95,57.0,56.95
01/09/15,1100.0,55.0,55.0,55.0,55.0
02/09/15,4672.5,55.0,60.45,60.45,55.0
03/09/15,3147.5,62.95,62.95,62.95,62.95
07/09/15,8400.0,60.0,60.0,60.0,60.0
08/09/15,97104.5,60.95,55.0,61.0,55.0
09/09/15,30780.5,55.0,59.4,60.0,55.0
10/09/15,2937.5,58.75,58.75,58.75,58.75
11/09/15,4640.0,58.0,58.0,58.0,58.0
14/09/15,495550.0,55.0,56.0,56.0,53.0
15/09/15,922921.5,52.0,54.85,55.95,50.0
15/09/15,922921.5,52.0,54.85,55.95,50.0
15/09/15,922921.5,52.0,54.85,55.95,50.0
17/09/15,54239.0,36.2,52.8,53.5,36.2
18/09/15,52140.0,50.0,52.8,52.8,50.0
21/09/15,630819.0,52.8,55.25,68.0,52.8
22/09/15,8271971.5,60.0,74.9,77.5,58.0
23/09/15,625642.5,75.1,80.0,82.6,75.1
24/09/15,2091930.5,80.0,70.0,80.0,64.3
28/09/15,917242.0,70.5,62.0,71.0,60.0
29/09/15,503541.5,61.9,57.0,61.9,55.0
30/09/15,384345.0,57.0,58.0,60.0,57.0
01/10/15,494100.0,57.9,63.4,65.95,57.0
02/10/15,124177.5,63.3,67.65,67.95,63.0
05/10/15,506292.0,67.95,67.5,69.0,63.1
06/10/15,509654.5,64.6,65.0,67.2,64.0
07/10/15,111023.0,65.95,66.1,66.1,65.95
08/10/15,237665.0,66.1,64.5,66.1,64.5
09/10/15,449487.0,67.95,64.5,68.05,64.5
12/10/15,222110.0,64.5,64.4,64.5,63.4
13/10/15,119315.0,64.4,64.5,64.6,64.4
14/10/15,238230.5,63.5,63.0,64.5,62.55
15/10/15,93295.0,63.0,64.45,64.5,62.95
16/10/15,153095.0,63.0,63.0,63.1,62.95
19/10/15,122850.0,63.0,63.0,63.0,63.0
20/10/15,302271.0,63.0,64.5,64.5,62.7
21/10/15,323580.0,63.0,63.0,63.0,62.1
22/10/15,381808.0,61.0,60.0,61.95,60.0
23/10/15,174767.5,60.5,61.35,62.95,60.05
26/10/15,124201.0,60.0,60.0,60.05,60.0
27/10/15,134285.0,58.9,60.0,60.0,58.5
28/10/15,135682.5,59.6,58.5,60.75,58.5
29/10/15,211736.0,58.1,57.6,58.5,57.6
30/10/15,281353.0,57.8,56.7,60.0,56.7
02/11/15,131298.5,60.0,56.6,60.0,56.55
03/11/15,1044900.5,55.5,52.95,56.5,52.05
04/11/15,485299.5,52.95,53.05,53.05,52.3
05/11/15,1641266.0,52.75,54.6,54.6,52.45
06/11/15,431501.0,56.0,57.6,61.75,54.0
09/11/15,8303937.5,57.8,85.95,86.4,57.8
10/11/15,7777153.0,85.9,80.0,106.0,78.0
11/11/15,2213273.0,85.0,86.0,86.0,75.7
12/11/15,3525010.0,4.78,4.49,5.3,4.41
13/11/15,95210.0,4.0,4.0,4.33,3.72
16/11/15,623700.0,4.08,4.0,4.5,4.0
17/11/15,11980.0,3.99,4.0,4.0,3.99
20/11/15,184590.0,3.27,3.61,3.65,3.27
23/11/15,402270.0,3.45,3.2,3.55,3.06
24/11/15,178040.0,3.07,3.06,3.1,3.06
25/11/15,96809.99999999999,3.01,3.05,3.14,3.01
26/11/15,120800.0,3.1,3.25,3.28,3.1
27/11/15,366690.0,3.25,3.5,3.83,3.25
01/12/15,149700.0,3.61,3.68,3.88,3.6
02/12/15,288520.0,3.7,3.87,3.87,3.7
03/12/15,2026570.0,3.87,3.65,4.25,3.5
04/12/15,283070.0,3.55,3.52,3.6,3.51
07/12/15,190000.0,3.41,3.48,3.48,3.41
08/12/15,406810.0,3.79,3.36,3.79,3.36
09/12/15,179870.0,3.33,3.34,3.34,3.33
10/12/15,557200.0,3.32,3.45,3.45,3.17
11/12/15,69000.0,3.45,3.45,3.45,3.45
14/12/15,362310.0,3.5,3.47,3.5,3.3
15/12/15,85860.0,3.31,3.3,3.32,3.3
16/12/15,90400.0,3.22,3.3,3.3,3.22
17/12/15,263650.0,3.3,3.2,3.3,3.2
18/12/15,95250.0,3.19,3.16,3.19,3.16
21/12/15,19020.0,3.17,3.17,3.17,3.17
