Date,Value,Open,Close,High,Low
16/07/15,8350.0,8.35,8.35,8.35,8.35
20/07/15,5397.0,7.71,7.71,7.71,7.71
22/07/15,15990.0,7.71,8.28,8.28,7.71
23/07/15,59921.0,7.76,7.77,8.28,7.76
23/07/15,59921.0,7.76,7.77,8.28,7.76
23/07/15,59921.0,7.76,7.77,8.28,7.76
27/07/15,8049.000000000001,8.04,8.05,8.05,8.04
29/07/15,16720.0,7.9,8.03,8.03,7.9
03/08/15,24087.0,8.01,8.39,8.39,8.01
20/08/15,3120.0,7.8,7.8,7.8,7.8
24/08/15,97280.0,7.8,7.7,7.8,7.7
28/08/15,12586.0,8.39,8.4,8.4,8.39
01/09/15,1680.0,8.4,8.4,8.4,8.4
21/09/15,39520.0,7.56,8.4,8.4,7.56
24/09/15,19091.0,7.58,7.57,8.3,7.57
29/09/15,11620.000000000002,8.3,8.3,8.3,8.3
30/09/15,16696.0,8.0,7.56,8.0,7.56
01/10/15,23123.0,8.25,8.26,8.26,8.25
02/10/15,16585.0,8.29,8.3,8.3,8.29
06/10/15,11370.0,7.58,7.58,7.58,7.58
07/10/15,75960.0,7.62,7.58,7.62,7.58
08/10/15,27298.0,7.59,7.58,7.59,7.58
22/10/15,31920.0,7.6,7.6,7.6,7.6
26/10/15,24359.999999999996,8.12,8.12,8.12,8.12
27/10/15,818.0,8.18,8.18,8.18,8.18
16/11/15,102819.0,7.51,8.08,8.08,7.5
03/12/15,4027.0,8.06,8.05,8.06,8.05
04/12/15,1450.0,7.25,7.25,7.25,7.25
07/12/15,243415.0,7.26,5.72,7.26,5.72
08/12/15,13409.0,6.01,7.4,7.4,6.01
09/12/15,3685.0,7.37,7.37,7.37,7.37
10/12/15,7700.0,7.0,7.0,7.0,7.0
11/12/15,1440.0,7.2,7.2,7.2,7.2
16/12/15,720.0,7.2,7.2,7.2,7.2
17/12/15,4207.0,6.01,6.01,6.01,6.01
21/12/15,10833.0,6.12,7.78,7.78,6.12
23/12/15,9739.0,7.49,7.5,7.5,7.49
08/01/16,15177.0,6.06,7.3,7.3,6.06
11/01/16,22200.0,6.0,6.0,6.0,6.0
12/01/16,44242.0,6.0,6.25,7.28,6.0
14/01/16,21163.0,6.86,7.39,7.39,6.86
15/01/16,7380.0,7.38,7.38,7.38,7.38
21/01/16,8414.0,6.01,6.01,6.01,6.01
22/01/16,10770.0,7.18,7.18,7.18,7.18
27/01/16,700.0,7.0,7.0,7.0,7.0
10/02/16,7000.0,7.0,7.0,7.0,7.0
26/02/16,7755.0,7.05,7.05,7.05,7.05
01/03/16,23580.0,7.5,8.04,8.04,7.5
02/03/16,23580.0,8.04,7.5,8.04,7.5
03/03/16,23678.0,8.03,7.6,8.04,7.6
07/03/16,690.0,6.9,6.9,6.9,6.9
09/03/16,3120.0,7.8,7.8,7.8,7.8
10/03/16,4591.0,6.92,7.8,7.8,6.92
14/03/16,13954.0,7.78,6.96,7.78,6.96
15/03/16,1550.0,7.75,7.75,7.75,7.75
16/03/16,775.0,7.75,7.75,7.75,7.75
21/03/16,48804.0,7.7,7.76,7.76,7.7
23/03/16,7770.0,7.77,7.77,7.77,7.77
04/04/16,30634.0,7.15,7.75,7.75,7.15
06/04/16,14706.0,7.74,7.74,7.74,7.74
07/04/16,17828.0,7.74,8.0,8.0,7.74
19/04/16,22932.0,7.12,7.16,7.17,7.12
21/04/16,8664.0,7.22,7.22,7.22,7.22
25/04/16,69105.0,7.22,7.15,7.23,7.15
26/04/16,14240.0,7.12,7.12,7.12,7.12
27/04/16,21763.0,7.01,7.12,7.12,7.0
29/04/16,754.0,7.54,7.54,7.54,7.54
10/05/16,16737.0,7.97,7.97,7.97,7.97
18/05/16,28690.0,7.0,7.69,7.69,7.0
19/05/16,99408.0,7.49,7.2,7.5,7.04
24/05/16,7021.0,7.12,7.01,7.12,7.01
30/05/16,20100.0,6.7,6.7,6.7,6.7
31/05/16,7000.0,7.0,7.0,7.0,7.0
01/06/16,7000.0,7.0,7.0,7.0,7.0
07/06/16,61500.0,6.75,7.5,7.5,6.75
10/06/16,26425.0,7.55,7.55,7.55,7.55
16/06/16,740.0,7.4,7.4,7.4,7.4
21/06/16,59229.0,7.3,7.3,7.39,7.3
22/06/16,7300.0,7.3,7.3,7.3,7.3
27/06/16,5987860.0,6.01,6.32,6.4,6.01
28/06/16,6070.0,7.4,7.9,7.9,7.4
29/06/16,86740.0,7.8,7.2,7.8,7.0
30/06/16,3400.0,6.8,6.8,6.8,6.8
01/07/16,74685.0,7.49,6.76,7.49,6.71
04/07/16,1488.0,7.44,7.44,7.44,7.44
13/07/16,7390.0,7.39,7.39,7.39,7.39
