Date,Value,Open,Close,High,Low
16/07/15,54900.0,1.22,1.22,1.22,1.22
21/07/15,5000.0,1.22,1.28,1.28,1.22
24/07/15,26950.0,1.28,1.22,1.28,1.22
27/07/15,36900.0,1.23,1.23,1.23,1.23
28/07/15,12200.0,1.22,1.22,1.22,1.22
29/07/15,69060.0,1.21,1.2,1.22,1.2
30/07/15,1270.0,1.27,1.27,1.27,1.27
31/07/15,48600.0,1.26,1.2,1.26,1.2
03/08/15,2460.0,1.22,1.24,1.24,1.22
04/08/15,159600.0,1.2,1.2,1.2,1.2
05/08/15,29750.0,1.19,1.19,1.19,1.19
06/08/15,445450.0,1.18,1.2,1.2,1.18
07/08/15,40160.0,1.18,1.22,1.22,1.18
11/08/15,1200.0,1.2,1.2,1.2,1.2
13/08/15,80350.0,1.17,1.15,1.17,1.15
17/08/15,42650.0,1.16,1.15,1.16,1.15
24/08/15,22160.0,1.11,1.1,1.11,1.1
25/08/15,23100.0,1.1,1.1,1.1,1.1
26/08/15,188800.0,1.0,1.1,1.1,1.0
27/08/15,163690.0,1.1,1.09,1.1,1.0
28/08/15,9810.0,1.09,1.09,1.09,1.09
01/09/15,51700.0,1.1,1.1,1.1,1.1
02/09/15,1170.0,1.17,1.17,1.17,1.17
03/09/15,12180.0,1.1,1.18,1.18,1.1
04/09/15,6653850.0,1.05,1.11,1.11,1.02
07/09/15,2360.0,1.18,1.18,1.18,1.18
08/09/15,453990.0,1.01,1.18,1.18,1.01
14/09/15,34900.0,1.15,1.17,1.17,1.15
15/09/15,1190.0,1.19,1.19,1.19,1.19
15/09/15,1190.0,1.19,1.19,1.19,1.19
15/09/15,1190.0,1.19,1.19,1.19,1.19
16/09/15,59500.0,1.19,1.19,1.19,1.19
07/10/15,13090.0,1.05,1.12,1.12,1.05
12/10/15,13380.000000000002,1.12,1.06,1.12,1.06
14/10/15,1060.0,1.06,1.06,1.06,1.06
15/10/15,8560.0,1.07,1.07,1.07,1.07
16/10/15,47590.0,1.07,1.05,1.07,1.05
