Date,Value,Open,Close,High,Low
20/07/15,99900.0,2.7,2.7,2.7,2.7
21/07/15,210980.0,2.75,2.7,2.79,2.6
22/07/15,130100.0,2.65,2.6,2.65,2.6
23/07/15,98800.0,2.6,2.6,2.6,2.6
23/07/15,98800.0,2.6,2.6,2.6,2.6
23/07/15,98800.0,2.6,2.6,2.6,2.6
24/07/15,130000.0,2.6,2.6,2.6,2.6
27/07/15,26000.0,2.6,2.6,2.6,2.6
28/07/15,246700.0,2.52,2.52,2.6,2.5
29/07/15,1628500.0,2.5,2.5,2.6,2.5
30/07/15,350000.0,2.5,2.5,2.5,2.5
31/07/15,244600.0,2.41,2.5,2.5,2.41
03/08/15,2500.0,2.5,2.5,2.5,2.5
04/08/15,403990.0,2.41,2.4,2.43,2.4
05/08/15,67500.0,2.5,2.4,2.5,2.4
06/08/15,184000.0,2.4,2.5,2.5,2.4
07/08/15,234750.0,2.2,2.35,2.5,2.2
10/08/15,113240.0,2.35,2.4,2.49,2.35
11/08/15,98400.0,2.4,2.4,2.4,2.4
12/08/15,22130200.0,2.3,2.4,2.4,2.3
13/08/15,20725300.0,2.3,2.3,2.3,2.3
14/08/15,336850.0,2.3,2.38,2.4,2.3
17/08/15,73200.0,2.3,2.28,2.3,2.28
20/08/15,208900.0,2.38,2.5,2.5,2.38
24/08/15,46910.0,2.45,2.27,2.45,2.25
25/08/15,31780.0,2.27,2.27,2.27,2.27
26/08/15,98210.0,2.3,2.27,2.3,2.27
28/08/15,54999.99999999999,2.3,2.25,2.3,2.25
01/09/15,18550.0,2.25,2.3,2.35,2.25
03/09/15,70000.0,2.3,2.4,2.4,2.3
04/09/15,23000.0,2.3,2.3,2.3,2.3
07/09/15,20700.0,2.3,2.3,2.3,2.3
14/09/15,20250.0,2.25,2.25,2.25,2.25
15/09/15,19200.0,2.4,2.4,2.4,2.4
15/09/15,19200.0,2.4,2.4,2.4,2.4
15/09/15,19200.0,2.4,2.4,2.4,2.4
16/09/15,131420.0,2.49,2.4,2.5,2.4
17/09/15,228300.0,2.46,2.4,2.46,2.4
21/09/15,46050.0,2.3,2.31,2.31,2.3
23/09/15,46000.0,2.3,2.3,2.3,2.3
24/09/15,11550.0,2.31,2.31,2.31,2.31
28/09/15,379499.99999999994,2.3,2.3,2.3,2.3
29/09/15,65470.0,2.25,2.18,2.25,2.18
01/10/15,121970.0,2.18,2.35,2.35,2.18
02/10/15,7020.0,2.34,2.34,2.34,2.34
05/10/15,23450.0,2.34,2.35,2.35,2.34
06/10/15,39240.0,2.18,2.18,2.18,2.18
07/10/15,216120.0,2.18,2.17,2.18,2.15
08/10/15,21600.0,2.16,2.16,2.16,2.16
09/10/15,109300.0,2.15,2.15,2.35,2.15
13/10/15,116570.0,2.27,2.2,2.3,2.2
15/10/15,476930.0,2.35,2.3,2.44,2.26
16/10/15,194700.0,2.26,2.2,2.26,2.19
19/10/15,227920.0,2.18,2.13,2.18,2.13
20/10/15,109200.0,2.14,2.2,2.2,2.14
21/10/15,22473490.0,2.2,2.33,2.35,2.13
26/10/15,370300.0,2.33,2.2,2.33,2.15
27/10/15,158450.00000000003,2.25,2.2,2.25,2.2
28/10/15,1666560.0,2.3,2.34,2.39,2.29
29/10/15,515570.0,2.32,2.25,2.32,2.2
30/10/15,53190.0,2.21,2.21,2.24,2.21
02/11/15,231200.0,2.21,2.22,2.34,2.21
03/11/15,513450.0,2.21,2.2,2.21,2.2
04/11/15,1333600.0,2.2,2.3,2.3,2.2
05/11/15,293400.0,2.3,2.25,2.3,2.25
06/11/15,532050.0,2.2,2.15,2.2,2.15
09/11/15,116960.0,2.14,2.12,2.14,2.12
10/11/15,136610.0,2.11,2.1,2.11,2.09
11/11/15,66510.0,2.09,2.07,2.09,2.07
12/11/15,44130.0,2.13,2.1,2.13,2.1
13/11/15,246380.0,2.1,2.19,2.19,2.08
16/11/15,239270.0,2.19,2.2,2.2,2.19
17/11/15,759000.0,2.2,2.2,2.2,2.2
20/11/15,17400.0,2.15,2.2,2.2,2.15
23/11/15,15540.0,2.22,2.22,2.22,2.22
24/11/15,183200.0,2.16,2.05,2.16,2.05
25/11/15,4100.0,2.05,2.05,2.05,2.05
27/11/15,2050.0,2.05,2.05,2.05,2.05
04/12/15,175100.0,2.05,2.0,2.05,2.0
07/12/15,68750.0,2.0,1.95,2.0,1.95
08/12/15,210550.0,1.91,1.88,1.95,1.88
09/12/15,277750.0,1.9,1.85,1.9,1.85
10/12/15,182650.0,1.95,1.85,1.95,1.85
14/12/15,2517060.0,1.82,1.82,1.82,1.82
15/12/15,250700.0,1.82,1.8,1.82,1.8
18/12/15,614650.0,1.95,1.83,1.95,1.83
22/12/15,198000.0,1.8,1.8,1.8,1.8
23/12/15,1820.0,1.82,1.82,1.82,1.82
29/12/15,106940.0,1.9,1.8,1.9,1.8
04/01/16,372240.0,1.8,1.89,1.89,1.8
05/01/16,157220.0,1.9,1.89,1.9,1.8
06/01/16,252000.0,1.8,1.8,1.8,1.8
07/01/16,49820.0,1.82,1.6,1.82,1.6
08/01/16,36880.0,1.8,1.84,1.9,1.8
11/01/16,114140.0,1.89,1.7,1.89,1.7
13/01/16,55950.0,1.75,1.7,1.75,1.7
15/01/16,16500.0,1.65,1.65,1.65,1.65
18/01/16,102000.0,1.7,1.7,1.7,1.7
21/01/16,35200.0,1.6,1.6,1.6,1.6
22/01/16,143250.0,1.6,1.55,1.6,1.55
25/01/16,696470.0,1.5,1.68,1.68,1.44
26/01/16,119820.0,1.52,1.5,1.52,1.49
27/01/16,11200.0,1.6,1.6,1.6,1.6
28/01/16,3300.0,1.65,1.65,1.65,1.65
29/01/16,262610.0,1.52,1.65,1.65,1.52
01/02/16,24670.0,1.65,1.57,1.65,1.57
02/02/16,409250.0,1.65,1.65,1.68,1.62
03/02/16,33000.0,1.65,1.65,1.65,1.65
04/02/16,980160.0,1.7,1.9,1.9,1.7
05/02/16,333770.0,1.95,1.82,2.0,1.82
09/02/16,6725810.0,1.83,2.1,2.28,1.83
10/02/16,970510.0,2.19,1.95,2.19,1.94
11/02/16,2528750.0,2.06,2.12,2.25,2.06
