Date,Value,Open,Close,High,Low
15/07/15,137910.0,1.16,1.2,1.2,1.15
16/07/15,165860.0,1.23,1.26,1.26,1.23
20/07/15,66250.0,1.25,1.25,1.25,1.25
21/07/15,3630.0,1.21,1.21,1.21,1.21
22/07/15,32950.0,1.21,1.26,1.26,1.21
23/07/15,15120.0,1.26,1.26,1.26,1.26
23/07/15,15120.0,1.26,1.26,1.26,1.26
23/07/15,15120.0,1.26,1.26,1.26,1.26
24/07/15,61000.0,1.22,1.22,1.22,1.22
27/07/15,44220.0,1.23,1.23,1.23,1.22
28/07/15,283130.0,1.22,1.19,1.22,1.19
29/07/15,55200.0,1.2,1.2,1.2,1.2
31/07/15,1200.0,1.2,1.2,1.2,1.2
03/08/15,108690.0,1.28,1.33,1.34,1.28
04/08/15,6510.0,1.31,1.3,1.31,1.3
06/08/15,223720.0,1.29,1.28,1.29,1.28
07/08/15,24320.0,1.28,1.28,1.28,1.28
10/08/15,1280.0,1.28,1.28,1.28,1.28
13/08/15,87960.0,1.23,1.22,1.23,1.22
14/08/15,6160.0,1.21,1.2,1.3,1.2
17/08/15,128810.0,1.24,1.23,1.24,1.22
19/08/15,8600.0,1.22,1.23,1.23,1.22
20/08/15,12000.0,1.2,1.2,1.2,1.2
24/08/15,41000.0,1.18,1.16,1.18,1.16
25/08/15,81210.0,1.16,1.2,1.2,1.15
26/08/15,101640.0,1.14,1.14,1.14,1.12
27/08/15,59090.0,1.15,1.16,1.17,1.15
28/08/15,40950.0,1.17,1.17,1.17,1.17
01/09/15,115999.99999999999,1.16,1.16,1.16,1.16
02/09/15,5120.0,1.28,1.28,1.28,1.28
03/09/15,175060.0,1.28,1.15,1.28,1.15
04/09/15,156370.0,1.16,1.15,1.16,1.15
07/09/15,115180.0,1.15,1.16,1.16,1.15
08/09/15,73210.0,1.19,1.14,1.19,1.13
10/09/15,25079.999999999996,1.14,1.14,1.14,1.14
11/09/15,129940.0,1.13,1.14,1.14,1.13
14/09/15,1140.0,1.14,1.14,1.14,1.14
16/09/15,194430.0,1.14,1.11,1.14,1.11
17/09/15,22410.000000000004,1.12,1.12,1.13,1.12
21/09/15,95200.00000000001,1.12,1.12,1.12,1.12
24/09/15,141470.0,1.12,1.1,1.12,1.1
28/09/15,39600.0,1.1,1.1,1.1,1.1
29/09/15,52180.0,1.1,1.03,1.1,1.03
02/10/15,302950.0,1.2,1.04,1.2,1.04
06/10/15,6180.0,1.03,1.03,1.03,1.03
09/10/15,49460.0,1.11,1.15,1.15,1.11
12/10/15,13090.0,1.19,1.19,1.19,1.19
13/10/15,46050.0,1.16,1.15,1.16,1.15
14/10/15,169440.0,1.11,1.11,1.15,1.11
15/10/15,186480.0,1.11,1.11,1.11,1.11
16/10/15,14949.999999999998,1.15,1.15,1.15,1.15
