Date,Value,Open,Close,High,Low
15/07/15,33000.0,0.22,0.22,0.22,0.22
16/07/15,18800.0,0.235,0.235,0.235,0.235
20/07/15,9100.0,0.22,0.235,0.235,0.22
21/07/15,2400.0,0.24,0.24,0.24,0.24
31/07/15,11000.0,0.22,0.22,0.22,0.22
04/08/15,29000.0,0.235,0.22,0.235,0.22
07/08/15,9400.0,0.235,0.235,0.235,0.235
11/08/15,19890.0,0.221,0.221,0.221,0.221
12/08/15,26520.0,0.221,0.221,0.221,0.221
14/08/15,19890.0,0.221,0.221,0.221,0.221
17/08/15,2210.0,0.221,0.221,0.221,0.221
18/08/15,88400.0,0.221,0.221,0.221,0.221
19/08/15,41800.0,0.22,0.22,0.22,0.22
20/08/15,44000.0,0.22,0.22,0.22,0.22
24/08/15,88600.0,0.2,0.18,0.2,0.18
26/08/15,14650.0,0.18,0.185,0.185,0.18
28/08/15,8120.000000000001,0.203,0.203,0.203,0.203
01/09/15,16800.0,0.21,0.21,0.21,0.21
03/09/15,11000.0,0.22,0.22,0.22,0.22
04/09/15,15400.0,0.22,0.22,0.22,0.22
07/09/15,14000.0,0.2,0.2,0.2,0.2
16/09/15,2200.0,0.22,0.22,0.22,0.22
21/09/15,103900.0,0.225,0.22,0.225,0.22
22/09/15,62780.0,0.221,0.221,0.24,0.221
23/09/15,66300.0,0.22,0.25,0.25,0.22
24/09/15,50000.0,0.25,0.25,0.25,0.25
05/10/15,155700.0,0.23,0.226,0.23,0.225
06/10/15,9200.0,0.23,0.23,0.23,0.23
07/10/15,9080.0,0.227,0.227,0.227,0.227
08/10/15,54480.0,0.227,0.227,0.227,0.227
09/10/15,36990.0,0.229,0.24,0.24,0.229
15/10/15,22600.0,0.226,0.226,0.226,0.226
16/10/15,2250.0,0.225,0.225,0.225,0.225
19/10/15,27000.0,0.225,0.225,0.225,0.225
26/10/15,78200.0,0.201,0.215,0.22,0.201
27/10/15,52260.0,0.201,0.201,0.201,0.201
10/11/15,50750.0,0.203,0.203,0.203,0.203
17/11/15,20810.0,0.209,0.208,0.209,0.208
20/11/15,41800.0,0.209,0.209,0.209,0.209
23/11/15,12600.0,0.21,0.21,0.21,0.21
24/11/15,6300.0,0.21,0.21,0.21,0.21
25/11/15,6300.0,0.21,0.21,0.21,0.21
01/12/15,18810.0,0.209,0.209,0.209,0.209
07/12/15,68170.0,0.217,0.22,0.22,0.217
08/12/15,12250.0,0.245,0.245,0.245,0.245
09/12/15,4700.0,0.235,0.235,0.235,0.235
11/12/15,11000.0,0.22,0.22,0.22,0.22
15/12/15,56340.0,0.216,0.208,0.216,0.208
17/12/15,4160.0,0.208,0.208,0.208,0.208
18/12/15,2080.0,0.208,0.208,0.208,0.208
22/12/15,14560.0,0.208,0.208,0.208,0.208
28/12/15,115200.0,0.206,0.21,0.21,0.206
29/12/15,2200.0,0.22,0.22,0.22,0.22
04/01/16,219000.0,0.22,0.215,0.22,0.215
05/01/16,11000.0,0.22,0.22,0.22,0.22
06/01/16,119710.0,0.24,0.23,0.24,0.23
08/01/16,92700.0,0.24,0.21,0.24,0.21
11/01/16,22100.0,0.21,0.2,0.21,0.2
12/01/16,296300.0,0.2,0.2,0.201,0.2
13/01/16,100000.0,0.2,0.2,0.2,0.2
14/01/16,50000.0,0.2,0.2,0.2,0.2
19/01/16,2200.0,0.22,0.22,0.22,0.22
22/01/16,254900.0,0.219,0.22,0.22,0.219
26/01/16,4060.0,0.196,0.21,0.21,0.196
28/01/16,2190.0,0.219,0.219,0.219,0.219
10/02/16,10500.0,0.21,0.21,0.21,0.21
11/02/16,96750.0,0.215,0.215,0.215,0.215
12/02/16,23430.0,0.212,0.215,0.215,0.212
16/02/16,67320.0,0.202,0.219,0.219,0.202
18/02/16,2180.0,0.218,0.218,0.218,0.218
19/02/16,8680.0,0.217,0.217,0.217,0.217
24/02/16,37190.0,0.218,0.219,0.219,0.218
26/02/16,6680.0,0.219,0.23,0.23,0.219
29/02/16,2290.0,0.229,0.229,0.229,0.229
