Date,Value,Open,Close,High,Low
15/07/15,2449744.0,73.35,73.35,73.35,72.0
16/07/15,2993958.0,73.0,73.0,73.35,72.5
20/07/15,1054333.5,73.0,73.35,73.35,72.8
21/07/15,502193.0,73.0,73.3,73.35,72.8
22/07/15,1303845.0,73.3,73.0,73.3,73.0
23/07/15,954999.0,72.35,73.3,73.3,72.35
23/07/15,954999.0,72.35,73.3,73.3,72.35
23/07/15,954999.0,72.35,73.3,73.3,72.35
24/07/15,1556833.0,73.3,72.3,73.3,72.3
27/07/15,323289.5,72.0,72.5,72.5,72.0
28/07/15,1647242.0,72.0,72.3,72.35,71.5
29/07/15,668260.5,72.5,72.95,72.95,72.5
30/07/15,1459339.0,72.95,73.0,73.35,72.35
31/07/15,577017.0,73.3,73.2,73.3,72.5
03/08/15,1180041.0,73.3,73.35,73.35,73.05
04/08/15,2351872.0,73.0,71.8,73.35,71.8
05/08/15,434827.5,73.35,73.0,73.35,72.2
06/08/15,306890.0,73.3,73.0,73.3,73.0
07/08/15,1652533.0,73.3,70.8,73.3,70.8
10/08/15,657573.0,72.9,73.0,73.0,71.0
11/08/15,1675064.5,70.6,70.65,71.25,69.0
12/08/15,706569.0,69.15,71.95,71.95,69.15
13/08/15,1852453.0,71.0,70.3,71.0,70.2
14/08/15,1134323.5,70.1,70.1,70.65,70.05
17/08/15,2574920.0,68.2,70.0,70.0,68.2
18/08/15,3091010.0,70.0,69.0,70.0,68.6
19/08/15,2667987.0,68.25,69.0,69.0,68.05
20/08/15,1206840.0,69.0,69.0,69.0,68.55
24/08/15,2613170.5,69.0,65.8,69.0,65.0
25/08/15,3831895.0,65.0,64.85,65.0,64.8
26/08/15,2073869.5,64.5,66.2,66.2,64.2
27/08/15,675488.0,64.3,67.5,67.75,64.25
28/08/15,3320649.5,66.5,68.0,68.0,66.5
01/09/15,530338.0,68.05,68.1,68.1,67.2
02/09/15,1286079.0,67.0,68.0,68.0,65.85
03/09/15,1052947.0,68.0,68.15,68.2,68.0
04/09/15,677965.0,68.25,68.2,68.25,67.8
07/09/15,772996.0,66.0,67.0,68.15,66.0
08/09/15,854278.0,65.95,67.75,67.75,65.95
09/09/15,985850.0,67.8,68.3,68.3,67.8
10/09/15,1658092.0,68.3,68.3,68.4,67.8
11/09/15,1022231.5,68.45,68.6,68.6,67.8
14/09/15,725115.5,68.0,68.95,68.95,67.2
15/09/15,1063044.0,68.9,69.2,69.2,68.0
15/09/15,1063044.0,68.9,69.2,69.2,68.0
15/09/15,1063044.0,68.9,69.2,69.2,68.0
16/09/15,793859.0,68.0,68.7,69.3,68.0
17/09/15,1205420.0,69.3,68.95,69.3,68.0
18/09/15,1530016.5,69.1,69.2,69.2,66.0
21/09/15,895957.0,66.15,69.25,69.3,66.15
22/09/15,2055629.0,69.25,69.3,69.3,67.45
23/09/15,973238.0,69.35,69.0,69.35,69.0
24/09/15,865503.0,66.35,69.0,69.0,66.15
28/09/15,473268.0,69.25,69.1,69.25,69.0
29/09/15,814288.0,67.0,69.3,69.3,67.0
30/09/15,599730.5,69.3,68.9,69.4,68.9
01/10/15,367761.5,68.5,69.3,69.3,68.3
02/10/15,759625.0,69.3,69.3,69.3,68.3
05/10/15,780977.0,68.0,69.3,69.5,68.0
