Date,Value,Open,Close,High,Low
15/07/15,5210.0,10.52,10.32,10.52,10.32
16/07/15,14286.0,10.26,10.18,10.36,10.18
20/07/15,59306.0,10.2,10.18,10.5,10.18
21/07/15,442232.0,10.2,10.1,10.2,9.98
22/07/15,114116.0,10.02,10.12,10.12,9.98
23/07/15,4042.0,10.02,10.12,10.16,10.02
23/07/15,4042.0,10.02,10.12,10.16,10.02
23/07/15,4042.0,10.02,10.12,10.16,10.02
24/07/15,10156.0,10.1,10.3,10.3,10.1
27/07/15,270686.0,10.3,10.26,10.3,10.08
28/07/15,25632.0,10.1,10.2,10.3,10.1
29/07/15,3058.0,10.12,10.26,10.26,10.12
30/07/15,124770.0,10.3,10.38,10.38,10.22
31/07/15,127186.0,10.28,10.56,10.7,10.28
03/08/15,168928.0,10.5,10.62,10.8,10.5
04/08/15,198574.0,10.62,11.08,11.1,10.62
05/08/15,370782.0,11.0,11.1,11.36,10.8
06/08/15,282178.0,11.4,11.22,11.6,11.0
07/08/15,509840.0,11.22,11.0,11.5,10.8
10/08/15,14384.0,10.9,11.02,11.1,10.9
11/08/15,235206.0,11.02,10.92,11.22,10.9
12/08/15,4120108.0,10.9,11.1,11.1,9.95
13/08/15,121848.0,11.1,11.12,11.3,10.92
14/08/15,32308.0,11.12,11.18,11.18,11.12
17/08/15,31892.0,11.1,11.0,11.18,10.8
18/08/15,100912.0,10.9,10.6,11.0,10.22
19/08/15,104788.0,10.6,10.3,10.6,10.06
20/08/15,124260.0,10.3,10.02,10.3,10.0
24/08/15,59468.0,9.82,9.8,10.06,9.3
25/08/15,111300.0,9.8,9.5,9.8,9.2
26/08/15,416830.00000000006,9.2,9.88,9.88,9.2
27/08/15,88803.0,9.25,9.9,10.0,9.25
28/08/15,34992.0,9.82,9.85,10.02,9.82
01/09/15,271790.0,9.7,9.7,10.1,9.56
02/09/15,48833.0,9.5,9.75,10.1,9.5
03/09/15,11685.0,9.6,9.75,9.75,9.6
04/09/15,12490.0,9.55,9.6,9.75,9.55
07/09/15,1905.0,9.45,9.6,9.6,9.45
08/09/15,2846.0,9.36,9.5,9.6,9.36
09/09/15,14313.0,9.5,9.51,9.6,9.3
10/09/15,5635.0,9.26,9.3,9.51,9.26
11/09/15,1855.0,9.25,9.3,9.3,9.25
14/09/15,1855.0,9.3,9.25,9.3,9.25
15/09/15,12290.0,9.25,9.5,9.5,9.25
15/09/15,12290.0,9.25,9.5,9.5,9.25
15/09/15,12290.0,9.25,9.5,9.5,9.25
16/09/15,30472.0,9.5,9.52,9.9,9.5
17/09/15,5736.0,9.6,9.56,9.6,9.52
18/09/15,77948.0,9.52,9.86,10.5,9.52
21/09/15,37586.0,9.86,10.6,10.8,9.86
22/09/15,146756.0,10.6,10.82,11.5,10.5
23/09/15,29564.0,10.9,10.76,11.0,10.76
24/09/15,38300.0,10.8,10.6,10.9,10.6
28/09/15,273754.0,10.6,10.7,11.0,10.6
29/09/15,262130.0,10.7,10.7,11.2,10.5
30/09/15,94914.0,10.7,10.5,11.0,10.5
01/10/15,13680.0,10.5,10.5,10.7,10.5
02/10/15,45318.0,10.62,10.92,10.92,10.6
05/10/15,168788.0,10.92,10.86,11.08,10.52
06/10/15,82934.0,10.86,10.92,11.4,10.86
07/10/15,383850.0,11.0,11.52,12.0,11.0
08/10/15,210684.0,11.52,12.0,12.48,11.3
09/10/15,303578.0,12.0,12.2,12.9,11.62
12/10/15,338448.0,12.2,12.9,13.48,12.2
13/10/15,156612.0,12.9,12.5,12.9,12.5
14/10/15,40678.0,12.5,12.3,12.7,12.24
15/10/15,48824.0,12.3,11.8,12.4,11.52
16/10/15,102818.0,11.8,11.9,11.9,11.28
19/10/15,87334.0,11.98,11.92,12.5,11.9
20/10/15,23310.0,11.92,11.6,11.92,11.12
21/10/15,23558.0,11.6,11.62,12.1,11.12
22/10/15,77730.0,11.04,11.5,11.62,11.04
23/10/15,17158.0,11.0,11.0,11.56,11.0
26/10/15,47570.0,11.0,11.0,11.6,10.82
27/10/15,4362.0,11.0,11.0,11.0,10.62
28/10/15,35172.0,10.62,11.02,11.02,10.62
29/10/15,4336.0,11.02,10.8,11.02,10.52
30/10/15,4260.0,10.8,10.6,10.8,10.4
02/11/15,29840.0,10.6,10.8,10.8,10.3
03/11/15,68702.0,10.8,11.0,11.1,10.3
04/11/15,2172.0,10.72,11.0,11.0,10.72
05/11/15,68196.0,11.0,11.0,11.16,10.8
06/11/15,36300.0,11.0,11.0,11.1,10.8
09/11/15,13994.0,10.8,11.0,11.0,10.7
10/11/15,4350.0,11.0,11.0,11.0,10.6
11/11/15,4360.0,11.0,11.0,11.1,10.5
12/11/15,16996.0,11.0,11.0,11.0,10.28
13/11/15,2150.0,10.5,11.0,11.0,10.5
16/11/15,2190.0,11.0,10.9,11.0,10.9
17/11/15,3238.0,10.5,10.98,10.98,10.5
20/11/15,21836.0,10.98,10.98,10.98,10.3
23/11/15,3246.0,10.98,10.98,10.98,10.5
24/11/15,4350.0,10.98,10.92,11.0,10.6
25/11/15,4352.0,10.9,10.9,10.92,10.8
26/11/15,3260.0,10.9,10.9,10.9,10.8
27/11/15,67154.0,10.88,10.86,10.9,10.3
01/12/15,133748.0,10.88,10.78,10.88,10.28
02/12/15,2148.0,10.78,10.7,10.78,10.7
03/12/15,12730.0,10.7,10.6,10.7,10.6
04/12/15,4252.0,10.6,10.62,10.7,10.6
07/12/15,10670.0,10.62,10.66,10.8,10.62
08/12/15,10860.0,10.8,10.7,10.9,10.7
09/12/15,6358.0,10.8,10.68,10.8,10.18
10/12/15,4252.0,10.76,10.58,10.76,10.5
11/12/15,3158.0,10.6,10.48,10.6,10.48
14/12/15,56004.0,10.6,10.48,10.6,10.08
15/12/15,5216.0,10.6,10.38,10.6,10.2
16/12/15,19020.0,10.5,10.32,10.6,10.32
17/12/15,13252.0,10.5,10.3,10.5,10.12
18/12/15,2070.0,10.4,10.3,10.4,10.3
21/12/15,3084.0,10.36,10.28,10.36,10.2
22/12/15,33384.0,10.32,10.26,10.32,10.06
23/12/15,57496.0,10.26,10.28,10.36,10.02
28/12/15,13318.0,10.3,10.26,10.3,10.08
29/12/15,3080.0,10.32,10.28,10.32,10.2
04/01/16,3092.0,10.36,10.3,10.36,10.26
05/01/16,12320.0,10.28,10.28,10.28,10.12
06/01/16,7158.0,10.32,10.2,10.32,10.2
07/01/16,2058.0,10.36,10.22,10.36,10.22
08/01/16,145494.0,10.28,10.18,10.32,10.18
