Date,Value,Open,Close,High,Low
15/07/15,260000.0,13.0,13.0,13.0,13.0
21/07/15,5200.0,13.0,13.0,13.0,13.0
23/07/15,2600.0,13.0,13.0,13.0,13.0
23/07/15,2600.0,13.0,13.0,13.0,13.0
23/07/15,2600.0,13.0,13.0,13.0,13.0
24/07/15,1300.0,13.0,13.0,13.0,13.0
29/07/15,2330900.0,13.0,13.0,13.0,13.0
30/07/15,910000.0,13.0,13.0,13.0,13.0
04/08/15,1300.0,13.0,13.0,13.0,13.0
05/08/15,3900.0,13.0,13.0,13.0,13.0
06/08/15,4290000.0,13.0,13.0,13.0,13.0
11/08/15,2442.0,12.22,12.2,12.22,12.2
12/08/15,2444.0,12.22,12.22,12.22,12.22
17/08/15,3546.0,11.82,11.82,11.82,11.82
18/08/15,7728.0,12.88,12.88,12.88,12.88
26/08/15,2576000.0,12.88,12.88,12.88,12.88
27/08/15,648276.0,11.2,11.0,11.22,11.0
28/08/15,94540.0,11.3,11.5,11.96,11.3
01/09/15,8175920.0,11.5,11.4,11.5,11.4
02/09/15,28730.0,11.5,11.48,11.5,11.48
03/09/15,11251240.0,11.24,11.24,11.24,11.24
04/09/15,45034.0,11.24,11.7,11.7,11.22
07/09/15,11700.0,11.7,11.7,11.7,11.7
08/09/15,11240.0,11.24,11.24,11.24,11.24
09/09/15,113322.0,11.22,11.22,11.22,11.22
10/09/15,2316.0,11.58,11.58,11.58,11.58
11/09/15,12870.0,11.7,11.7,11.7,11.7
14/09/15,339286.0,11.74,11.74,11.74,11.74
18/09/15,4496.0,11.24,11.24,11.24,11.24
21/09/15,22611300.0,11.3,11.3,11.3,11.3
29/09/15,13524.0,11.3,11.24,11.3,11.24
02/10/15,2372.0,11.86,11.86,11.86,11.86
09/10/15,11240.0,11.24,11.24,11.24,11.24
14/10/15,11800.0,11.8,11.8,11.8,11.8
22/10/15,64296.0,11.28,11.28,11.28,11.28
23/10/15,7938.0,11.34,11.34,11.34,11.34
27/10/15,193528.0,11.36,11.32,11.5,11.32
28/10/15,201504.0,11.34,11.3,11.34,11.3
29/10/15,9040.0,11.3,11.3,11.3,11.3
30/10/15,266422.0,11.26,11.26,11.26,11.24
02/11/15,13560.0,11.3,11.3,11.3,11.3
04/11/15,122230.0,11.22,11.2,11.22,11.2
05/11/15,23520.0,11.2,11.2,11.2,11.2
09/11/15,996650.0000000001,11.2,11.3,11.3,11.2
11/11/15,1112.0,11.12,11.12,11.12,11.12
17/11/15,3540.0,11.8,11.8,11.8,11.8
20/11/15,1180.0,11.8,11.8,11.8,11.8
26/11/15,4792.0,11.98,11.98,11.98,11.98
03/12/15,17747672.0,11.12,11.06,11.78,11.0
04/12/15,94122080.0,11.06,11.08,11.08,11.06
07/12/15,40556.0,11.18,10.9,11.18,10.9
08/12/15,27532.0,11.4,11.5,11.66,11.4
09/12/15,8764.0,10.92,10.96,10.96,10.92
10/12/15,1096.0,10.96,10.96,10.96,10.96
11/12/15,23088.0,11.54,11.56,11.56,11.54
17/12/15,34842.0,11.5,11.78,11.78,11.5
18/12/15,13064184.0,11.76,11.76,11.76,11.76
28/12/15,21168.0,11.76,11.76,11.76,11.76
29/12/15,37400.0,11.68,11.7,11.7,11.68
04/01/16,23400.0,11.7,11.7,11.7,11.7
11/01/16,1098.0,10.98,10.98,10.98,10.98
12/01/16,1098.0,10.98,10.98,10.98,10.98
13/01/16,5532.0,11.4,10.98,11.4,10.98
14/01/16,71082.0,10.98,10.9,10.98,10.9
15/01/16,8720.0,10.9,10.9,10.9,10.9
21/01/16,25320.0,10.88,10.0,10.88,10.0
22/01/16,10500.0,10.5,10.5,10.5,10.5
25/01/16,6300.0,10.5,10.5,10.5,10.5
26/01/16,1050000.0,10.5,10.5,10.5,10.5
27/01/16,10900.0,10.9,10.9,10.9,10.9
28/01/16,61250.0,10.9,11.5,11.5,10.9
03/02/16,464634.0,10.02,10.06,11.38,10.0
04/02/16,455620.0,10.08,10.1,10.1,10.08
05/02/16,452700.0,10.06,10.06,10.06,10.06
09/02/16,452700.0,10.06,10.06,10.06,10.06
10/02/16,483980.0,10.06,10.5,10.5,10.06
11/02/16,403200.0,10.08,10.08,10.08,10.08
15/02/16,881970.0,10.1,10.06,10.1,10.06
16/02/16,1500952.0,10.06,10.06,10.06,10.06
17/02/16,404000.0,10.1,10.1,10.1,10.1
18/02/16,470400.0,10.14,10.5,10.5,10.14
23/02/16,10500.0,10.5,10.5,10.5,10.5
24/02/16,69278.0,10.3,10.06,10.3,10.06
26/02/16,1010.0,10.1,10.1,10.1,10.1
29/02/16,13490.0,10.1,10.5,10.5,10.1
01/03/16,3250.0,10.1,11.2,11.2,10.1
03/03/16,22374.0,11.2,11.18,11.2,11.18
04/03/16,16764.0,11.22,11.16,11.22,11.16
08/03/16,4240.0,10.6,10.6,10.6,10.6
09/03/16,14308.0,10.22,10.22,10.22,10.22
10/03/16,288328.0,10.22,10.3,10.3,10.22
11/03/16,14420.0,10.3,10.3,10.3,10.3
15/03/16,2196.0,10.98,10.98,10.98,10.98
16/03/16,49212.0,10.98,10.5,10.98,10.5
17/03/16,21400.0,10.7,10.7,10.7,10.7
23/03/16,3445700.0,11.0,10.7,11.0,10.7
28/03/16,69550.0,10.7,10.7,10.7,10.7
29/03/16,2124.0,10.62,10.62,10.62,10.62
30/03/16,3186.0,10.62,10.62,10.62,10.62
31/03/16,1062.0,10.62,10.62,10.62,10.62
01/04/16,74480.0,10.64,10.64,10.64,10.64
06/04/16,133016.0,10.96,11.0,11.0,10.96
12/04/16,12122.0,11.02,11.02,11.02,11.02
14/04/16,55600.0,11.12,11.12,11.12,11.12
15/04/16,9040.0,11.3,11.3,11.3,11.3
19/04/16,8928.0,11.16,11.16,11.16,11.16
21/04/16,13392.0,11.16,11.16,11.16,11.16
25/04/16,122202.0,11.16,11.1,11.16,11.1
27/04/16,135710.0,11.1,11.8,11.8,11.1
29/04/16,51204.0,11.8,11.58,11.8,11.58
02/05/16,30754.0,11.9,11.8,11.9,11.78
03/05/16,27840.0,11.6,11.6,11.6,11.6
04/05/16,107428.0,11.6,11.58,11.6,11.12
11/05/16,35718.0,11.56,11.5,11.56,11.5
12/05/16,157496.0,11.5,11.5,11.5,11.04
13/05/16,164760.0,11.7,11.38,11.7,11.38
16/05/16,26100.0,11.96,11.92,11.96,11.8
17/05/16,33434.0,11.9,11.44,11.9,11.44
20/05/16,1110.0,11.1,11.1,11.1,11.1
23/05/16,72150.0,11.1,11.1,11.1,11.1
24/05/16,44390.0,11.1,11.1,11.1,11.0
26/05/16,111000.0,11.1,11.1,11.1,11.1
27/05/16,280150.0,11.1,11.42,11.42,11.1
30/05/16,837840.0,11.1,11.0,11.1,11.0
31/05/16,6166600.0,11.0,11.0,11.0,11.0
