Date,Value,Open,Close,High,Low
15/07/15,1359735.0,5.84,5.9,5.98,5.84
16/07/15,494997.0,5.89,5.72,5.89,5.72
20/07/15,747998.0,5.8,5.69,5.8,5.69
21/07/15,669360.0,5.55,5.6,5.68,5.55
22/07/15,1666416.0,5.6,5.62,5.72,5.6
23/07/15,513864.0,5.62,5.64,5.75,5.62
23/07/15,513864.0,5.62,5.64,5.75,5.62
23/07/15,513864.0,5.62,5.64,5.75,5.62
24/07/15,2977517.0,5.87,5.6,5.87,5.6
27/07/15,520606.0,5.58,5.56,5.58,5.54
28/07/15,2104737.0,5.59,5.49,5.59,5.49
29/07/15,295870.0,5.55,5.5,5.55,5.5
30/07/15,587032.0,5.5,5.6,5.6,5.5
31/07/15,612432.0,5.53,5.5,5.6,5.5
03/08/15,873456.0,5.7,5.63,5.7,5.5
04/08/15,243554.0,5.6,5.55,5.61,5.55
05/08/15,128460.0,5.55,5.52,5.55,5.52
06/08/15,1408896.0,5.52,5.45,5.52,5.45
07/08/15,2286143.0,5.45,5.35,5.45,5.35
10/08/15,625387.0,5.35,5.33,5.45,5.33
11/08/15,4337425.0,5.33,5.11,5.35,5.11
12/08/15,3257765.0,5.1,4.97,5.1,4.94
13/08/15,1371360.0,4.9,4.93,4.99,4.9
14/08/15,166540.0,4.85,4.9,5.0,4.85
17/08/15,530940.0,4.89,4.8,4.9,4.8
18/08/15,663740.0,4.7,4.76,4.8,4.7
19/08/15,735930.0,4.61,4.62,4.87,4.61
20/08/15,615890.0,4.62,4.7,4.85,4.62
24/08/15,2304730.0,4.62,4.25,4.65,4.25
25/08/15,1079370.0,4.2,4.31,4.33,4.2
26/08/15,3267120.0,4.21,4.23,4.36,4.2
27/08/15,2442600.0,4.23,4.26,4.27,4.23
28/08/15,2926230.0,4.31,4.57,4.57,4.31
01/09/15,1483280.0,4.5,4.43,4.57,4.43
02/09/15,976730.0,4.4,4.3,4.4,4.25
03/09/15,23528470.0,4.3,4.3,4.3,4.19
04/09/15,1574470.0,4.3,4.25,4.3,4.25
07/09/15,1262200.0,4.25,4.5,4.5,4.25
08/09/15,4432650.0,4.57,4.42,4.77,4.42
09/09/15,3264560.0,4.58,4.51,4.58,4.48
10/09/15,2603190.0,4.5,4.51,4.53,4.49
11/09/15,3144980.0,4.55,4.55,4.69,4.54
14/09/15,4065760.0,4.51,4.9,4.9,4.51
15/09/15,3756430.0,4.94,5.04,5.08,4.9
15/09/15,3756430.0,4.94,5.04,5.08,4.9
15/09/15,3756430.0,4.94,5.04,5.08,4.9
16/09/15,2900137.0,5.04,5.0,5.1,4.95
17/09/15,1543531.0,5.1,5.04,5.1,4.93
18/09/15,963748.0,5.01,5.02,5.04,4.9
21/09/15,1188329.0,5.02,4.95,5.02,4.91
22/09/15,58800.0,4.9,4.9,4.9,4.9
23/09/15,351650.0,4.7,4.7,4.7,4.65
24/09/15,396130.0,4.7,4.73,4.74,4.7
28/09/15,135600.0,4.95,4.84,4.95,4.71
29/09/15,171200.0,4.65,4.64,4.65,4.6
30/09/15,140540.0,4.63,4.55,4.63,4.5
01/10/15,648530.0,4.5,4.56,4.61,4.5
05/10/15,124000.0,4.5,4.6,4.65,4.5
06/10/15,559490.0,4.6,4.9,4.91,4.6
07/10/15,37700.0,4.7,4.72,4.72,4.7
08/10/15,132200.0,4.72,4.72,4.73,4.72
09/10/15,2423110.0,4.9,4.89,4.9,4.8
12/10/15,7914380.0,4.92,4.96,5.16,4.92
13/10/15,1839640.0,5.02,5.05,5.1,5.0
14/10/15,9412976.0,5.05,5.07,5.23,5.0
15/10/15,3715290.0,5.1,5.55,5.9,5.1
16/10/15,3161646.0,5.75,5.88,6.3,5.55
19/10/15,764529.0,6.22,5.96,6.26,5.95
20/10/15,1119690.0,5.96,5.88,5.96,5.64
21/10/15,793741.0,5.6,6.08,6.1,5.6
22/10/15,925130.0,6.08,5.9,6.12,5.9
23/10/15,110510.0,6.1,5.9,6.1,5.72
26/10/15,1734580.0,6.1,6.1,6.14,6.05
27/10/15,729935.0,6.1,6.05,6.1,6.05
28/10/15,967483.0,6.0,6.11,6.19,6.0
29/10/15,1660485.0,6.2,6.1,6.23,6.0
30/10/15,1683876.0,6.1,5.65,6.1,5.65
02/11/15,216516.0,5.65,6.02,6.02,5.65
03/11/15,160662.0,6.02,5.87,6.05,5.82
04/11/15,263529.0,5.8,5.87,5.87,5.74
05/11/15,414506.0,5.88,5.65,5.88,5.64
06/11/15,1894358.0,5.65,5.85,5.85,5.6
09/11/15,1972286.0,5.9,5.49,5.9,5.4
10/11/15,1539861.0,5.38,5.18,5.55,5.18
11/11/15,561009.0,5.17,5.15,5.19,5.15
12/11/15,356505.0,5.2,5.15,5.25,5.15
13/11/15,4366261.0,5.14,4.93,5.14,4.93
16/11/15,1597470.0,4.93,4.82,5.0,4.82
17/11/15,376920.0,4.82,4.82,4.86,4.8
20/11/15,607060.0,4.82,4.78,4.82,4.75
23/11/15,727170.0,4.79,4.8,5.0,4.79
24/11/15,1345080.0,4.8,4.74,4.8,4.74
25/11/15,3521710.0,4.7,4.55,4.7,4.55
26/11/15,1288420.0,4.61,4.57,4.62,4.55
27/11/15,36055330.0,4.56,4.14,4.56,4.14
01/12/15,2056820.0,4.15,4.15,4.2,4.15
02/12/15,1137350.0,4.3,4.16,4.3,4.16
03/12/15,145100.0,4.31,4.25,4.31,4.25
04/12/15,1350030.0,4.26,4.31,4.34,4.21
07/12/15,614330.0,4.22,4.3,4.3,4.19
08/12/15,553930.0,4.22,4.18,4.22,4.18
09/12/15,109270.0,4.2,4.21,4.21,4.2
10/12/15,130180.0,4.2,4.2,4.2,4.19
11/12/15,1342200.0,4.18,4.18,4.21,4.17
14/12/15,322300.0,4.18,4.18,4.2,4.18
15/12/15,384580.0,4.18,4.18,4.2,4.18
16/12/15,708410.0,4.18,4.18,4.18,4.15
17/12/15,398670.0,4.24,4.15,4.24,4.15
18/12/15,2479130.0,4.14,4.08,4.16,4.08
21/12/15,967500.0,4.07,4.02,4.08,4.02
22/12/15,80799.99999999999,4.02,4.04,4.08,4.02
23/12/15,197700.0,4.04,4.03,4.04,4.02
28/12/15,118250.0,4.08,4.07,4.08,4.05
29/12/15,422000.0,4.04,4.07,4.08,4.04
04/01/16,8140.000000000001,4.07,4.07,4.07,4.07
05/01/16,69070.0,4.07,4.06,4.07,4.06
06/01/16,122400.0,4.08,4.08,4.08,4.08
07/01/16,745960.0,4.09,4.0,4.09,4.0
08/01/16,96160.0,4.0,4.0,4.05,4.0
11/01/16,863690.0,4.01,3.9,4.01,3.9
12/01/16,1502630.0,3.9,3.93,3.93,3.9
13/01/16,53210.0,4.22,4.0,4.22,3.99
14/01/16,652000.0,4.0,4.0,4.0,4.0
15/01/16,72180.0,4.01,4.01,4.01,4.01
18/01/16,95890.0,3.98,4.02,4.15,3.98
19/01/16,52170.0,4.0,4.02,4.02,4.0
20/01/16,68269.99999999999,4.02,4.02,4.02,4.01
21/01/16,632320.0,4.02,4.0,4.02,4.0
22/01/16,1747910.0,3.98,4.0,4.0,3.95
25/01/16,1445950.0,4.0,3.95,4.05,3.95
26/01/16,537550.0,4.0,3.92,4.0,3.92
27/01/16,817720.0,3.95,4.2,4.2,3.95
28/01/16,480600.0,4.05,4.0,4.05,4.0
29/01/16,619340.0,4.0,4.0,4.01,3.98
01/02/16,1391640.0,4.0,4.0,4.0,3.95
02/02/16,656000.0,4.0,4.0,4.0,4.0
03/02/16,4641420.0,4.0,4.0,4.09,4.0
04/02/16,20858110.0,4.01,4.3,4.49,4.01
05/02/16,6271230.0,4.5,4.32,4.64,4.27
09/02/16,6857650.0,4.46,4.74,4.75,4.4
10/02/16,2791730.0,4.74,4.45,4.79,4.36
11/02/16,4096240.0,4.48,4.51,4.64,4.45
12/02/16,3884410.0,4.63,4.45,4.64,4.45
15/02/16,2694110.0,4.45,4.59,4.67,4.45
16/02/16,3280890.0,4.45,4.34,4.5,4.34
17/02/16,17540.0,4.35,4.35,4.49,4.35
18/02/16,1069300.0,4.55,4.45,4.55,4.4
19/02/16,463640.0,4.52,4.45,4.52,4.45
22/02/16,863330.0,4.45,4.45,4.45,4.34
23/02/16,368470.0,4.51,4.49,4.51,4.31
24/02/16,406340.0,4.45,4.36,4.45,4.36
26/02/16,392100.0,4.36,4.36,4.4,4.35
29/02/16,1161870.0,4.37,4.28,4.46,4.28
01/03/16,176630.0,4.28,4.34,4.36,4.28
02/03/16,4950010.0,4.27,4.18,4.44,4.18
03/03/16,2714590.0,4.2,4.2,4.35,4.2
04/03/16,5684250.0,4.34,4.28,4.41,4.27
07/03/16,5143590.0,4.3,4.29,4.42,4.22
08/03/16,2753920.0,4.21,4.53,4.58,4.21
09/03/16,1707990.0,4.5,4.44,4.53,4.42
10/03/16,3902820.0,4.45,4.47,4.54,4.45
11/03/16,3544490.0,4.47,4.55,4.55,4.4
14/03/16,5520630.0,4.55,4.85,4.89,4.52
15/03/16,1767280.0,4.89,4.72,4.89,4.7
16/03/16,173910.0,4.71,4.7,4.71,4.7
17/03/16,259280.0,4.7,4.7,4.72,4.69
18/03/16,33749590.0,4.7,4.61,4.7,4.54
21/03/16,3014110.0,4.56,4.54,4.62,4.51
22/03/16,2256740.0,4.54,4.41,4.56,4.4
23/03/16,294670.0,4.54,4.5,4.59,4.5
28/03/16,3202690.0,4.51,4.36,4.59,4.3
29/03/16,2650490.0,4.3,4.29,4.36,4.27
30/03/16,7268400.0,4.3,4.19,4.3,4.15
31/03/16,995890.0,4.22,4.2,4.22,4.19
01/04/16,1541170.0,4.18,4.19,4.24,4.17
04/04/16,1208590.0,4.15,4.32,4.49,4.15
05/04/16,90700.0,4.32,4.3,4.33,4.3
06/04/16,835350.0,4.26,4.35,4.4,4.22
07/04/16,928870.0,4.35,4.39,4.39,4.31
08/04/16,461580.0,4.32,4.27,4.32,4.24
11/04/16,704040.0,4.26,4.37,4.4,4.26
12/04/16,2512920.0,4.33,4.23,4.33,4.23
13/04/16,1132010.0,4.23,4.26,4.42,4.23
14/04/16,1908030.0,4.26,4.26,4.26,4.25
15/04/16,798180.0,4.25,4.22,4.3,4.21
18/04/16,405280.0,4.22,4.25,4.25,4.22
19/04/16,2483980.0,4.25,4.14,4.25,4.13
20/04/16,450760.0,4.15,4.25,4.29,4.15
21/04/16,1049150.0,4.25,4.27,4.3,4.25
22/04/16,677030.0,4.18,4.23,4.28,4.18
25/04/16,190300.0,4.23,4.21,4.26,4.19
26/04/16,364820.0,4.21,4.18,4.21,4.17
27/04/16,790580.0,4.19,4.13,4.19,4.11
28/04/16,79530.0,4.14,4.2,4.2,4.14
29/04/16,1518900.0,4.2,4.18,4.2,4.1
02/05/16,612270.0,4.19,4.26,4.26,4.18
03/05/16,363690.0,4.26,4.21,4.26,4.21
04/05/16,252410.0,4.22,4.2,4.22,4.2
05/05/16,8520.0,4.26,4.26,4.26,4.26
06/05/16,97270.0,4.25,4.2,4.26,4.2
06/05/16,97270.0,4.25,4.2,4.26,4.2
10/05/16,121790.0,4.2,4.2,4.2,4.19
11/05/16,471520.0,4.21,4.21,4.21,4.21
12/05/16,367990.0,4.21,4.29,4.29,4.21
13/05/16,586390.0,4.27,4.2,4.27,4.2
16/05/16,1529920.0,4.21,4.2,4.23,4.17
17/05/16,3970360.0,4.2,4.67,4.78,4.2
18/05/16,14918750.0,4.67,5.0,5.22,4.67
19/05/16,3533470.0,5.0,4.58,5.0,4.5
20/05/16,881620.0,4.56,4.53,4.56,4.3
23/05/16,635280.0,4.53,4.38,4.53,4.38
24/05/16,1145200.0,4.38,4.31,4.38,4.22
25/05/16,165510.0,4.26,4.5,4.5,4.21
26/05/16,546870.0,4.25,4.31,4.47,4.25
27/05/16,61700.0,4.4,4.42,4.42,4.4
30/05/16,216640.0,4.4,4.4,4.48,4.4
31/05/16,965110.0,4.41,4.38,4.5,4.36
01/06/16,34510.0,4.41,4.3,4.41,4.3
02/06/16,241030.0,4.3,4.35,4.4,4.3
03/06/16,368980.0,4.3,4.3,4.31,4.27
06/06/16,495300.0,4.29,4.26,4.3,4.25
07/06/16,906310.0,4.28,4.38,4.38,4.26
08/06/16,153020.0,4.45,4.35,4.45,4.34
09/06/16,716500.0,4.31,4.41,4.45,4.31
10/06/16,1316010.0,4.48,4.52,4.79,4.48
13/06/16,1460830.0,4.5,4.52,4.6,4.35
14/06/16,912160.0,4.55,4.4,4.55,4.4
15/06/16,104720.0,4.32,4.46,4.46,4.32
16/06/16,3555480.0,4.48,4.65,4.8,4.48
17/06/16,370700.0,4.77,4.58,4.77,4.55
20/06/16,1520060.0,4.67,4.47,4.69,4.45
21/06/16,1741180.0,4.47,4.38,4.47,4.38
22/06/16,2065560.0,4.37,4.45,4.47,4.25
23/06/16,862880.0,4.45,4.28,4.47,4.27
24/06/16,1388930.0,4.31,4.25,4.4,4.24
27/06/16,591030.0,4.43,4.3,4.44,4.28
28/06/16,1053490.0,4.3,4.3,4.3,4.29
29/06/16,591240.0,4.3,4.47,4.5,4.3
30/06/16,273650.0,4.39,4.4,4.45,4.36
01/07/16,350660.0,4.45,4.38,4.45,4.37
04/07/16,1879760.0,4.4,4.55,4.61,4.4
