Date,Value,Open,Close,High,Low
16/07/15,17772.0,11.0,11.56,11.58,11.0
27/07/15,6624.0,10.8,11.52,11.52,10.8
28/07/15,29300.0,10.8,11.5,11.5,10.8
03/08/15,41246.0,10.8,11.5,11.5,10.8
04/08/15,2334.0,11.5,11.84,11.84,11.5
07/08/15,63634.0,10.7,11.84,11.84,10.7
11/08/15,6620.0,10.62,11.86,11.86,10.62
12/08/15,1180.0,11.8,11.8,11.8,11.8
13/08/15,129408.0,10.62,11.78,11.78,10.0
14/08/15,39508.0,10.0,11.74,11.74,10.0
17/08/15,1150.0,11.5,11.5,11.5,11.5
24/08/15,22048.0,10.0,11.74,11.74,10.0
26/08/15,15672.0,10.0,11.86,11.86,10.0
23/09/15,176558.0,10.5,10.3,11.0,10.3
28/09/15,8428.0,10.0,10.7,10.96,10.0
30/09/15,91750.0,10.0,10.8,10.9,9.0
07/10/15,17220.0,9.8,10.8,10.8,9.8
09/10/15,23216.0,9.0,10.58,10.58,9.0
12/10/15,2440.0,12.2,12.2,12.2,12.2
13/10/15,17542.0,9.5,11.96,11.96,9.5
22/10/15,4356.0,10.0,11.78,11.78,10.0
30/10/15,1178.0,11.78,11.78,11.78,11.78
04/11/15,9344.0,11.68,11.68,11.68,11.68
10/11/15,4712.0,11.78,11.78,11.78,11.78
19/01/16,14700.0,10.5,10.5,10.5,10.5
20/01/16,130044.0,11.72,12.5,12.5,11.7
21/01/16,5000.0,12.5,12.5,12.5,12.5
22/01/16,1400.0,14.0,14.0,14.0,14.0
25/01/16,31800.0,14.0,14.0,14.0,13.8
26/01/16,31799.0,9.01,13.5,14.0,9.01
27/01/16,129400.0,13.4,13.4,13.4,11.5
28/01/16,14430.0,11.5,13.4,13.4,11.5
02/02/16,87960.0,11.0,10.98,11.0,10.98
03/02/16,3650.0,12.5,11.5,12.5,11.5
04/02/16,112360.0,11.8,12.5,12.5,10.5
05/02/16,158220.0,11.88,11.98,13.4,10.52
09/02/16,29000.0,12.0,11.5,12.0,11.5
12/02/16,26602.0,10.06,12.0,12.0,10.06
18/02/16,48350.0,11.9,11.3,13.0,11.3
19/02/16,4840.0,13.0,11.3,13.0,11.3
23/02/16,9136.0,10.06,12.78,12.78,10.06
29/02/16,17892.0,12.78,12.78,12.78,12.78
02/03/16,126100.0,10.02,12.5,12.5,10.0
03/03/16,11780.0,11.0,12.0,12.5,11.0
04/03/16,231138.0,11.0,12.8,12.8,10.0
07/03/16,30480.0,12.0,12.8,12.8,11.0
08/03/16,35020.0,12.2,12.8,12.8,12.2
11/03/16,3760.0,12.0,12.8,12.8,12.0
21/03/16,37528.0,11.0,12.76,12.76,11.0
22/03/16,16476.0,11.52,12.68,12.68,11.52
23/03/16,8404.0,11.5,12.68,12.68,11.5
28/03/16,25200.0,12.6,12.6,12.6,12.6
31/03/16,16384.0,12.58,12.78,12.78,12.58
05/04/16,118810.0,11.5,12.7,12.7,11.5
19/04/16,20500.0,11.98,12.58,12.58,11.98
21/04/16,438356.0,10.24,12.56,12.58,10.24
02/05/16,17096.0,10.32,12.5,12.5,10.32
03/05/16,105012.0,10.38,12.38,12.38,10.38
04/05/16,10106.0,10.72,12.3,12.3,10.68
11/05/16,21144.0,10.42,12.18,12.18,10.42
12/05/16,336780.0,12.1,13.0,13.5,12.1
13/05/16,110730.0,13.3,14.0,14.5,11.8
16/05/16,17810.0,13.5,14.0,14.0,13.1
17/05/16,20468.0,14.0,13.96,14.0,12.0
18/05/16,21270.0,12.0,13.9,14.0,12.0
19/05/16,12264.0,12.02,13.88,13.88,12.02
20/05/16,9168.0,12.02,13.88,13.88,12.02
23/05/16,133122.0,12.04,13.48,13.5,12.02
24/05/16,54854.0,13.18,13.48,13.48,13.18
25/05/16,67312.0,12.3,13.2,13.84,12.3
26/05/16,59434.0,12.06,12.98,13.18,12.02
27/05/16,73638.0,12.96,12.96,12.96,12.02
30/05/16,43542.0,12.02,12.8,12.8,12.02
06/06/16,4940.0,12.02,12.68,12.68,12.02
07/06/16,65334.0,12.02,12.66,12.96,12.02
08/06/16,3796.0,12.64,12.66,12.66,12.64
09/06/16,36316.0,12.0,12.5,12.54,12.0
10/06/16,44244.0,11.52,12.46,12.46,11.52
14/06/16,1264072.0,11.52,10.38,11.86,10.38
15/06/16,176402.0,11.3,11.0,11.3,10.3
16/06/16,319052.0,10.98,11.82,12.0,10.5
17/06/16,8250.0,11.78,11.8,11.8,11.78
20/06/16,72964.0,10.32,11.7,11.7,10.32
21/06/16,115362.0,10.6,11.6,11.68,10.6
22/06/16,18204.0,11.62,11.64,11.64,10.64
24/06/16,45234.0,11.48,11.8,11.8,11.48
28/06/16,35192.0,10.52,11.8,11.8,10.52
29/06/16,24762.0,11.8,11.8,11.8,11.78
04/07/16,15040.0,11.0,11.8,11.8,11.0
05/07/16,36678.0,11.2,11.8,11.8,11.2
07/07/16,4604.0,11.22,11.8,11.8,11.22
11/07/16,133696.0,11.2,11.8,11.8,11.0
12/07/16,118022.0,11.16,11.8,11.8,11.16
