Date,Value,Open,Close,High,Low
15/07/15,229717520.0,770.0,768.0,772.0,767.0
16/07/15,176826385.0,768.0,763.0,769.0,762.0
20/07/15,423571480.0,768.0,758.0,769.0,755.5
21/07/15,161658840.0,765.0,780.0,780.0,761.0
22/07/15,333923160.0,780.0,781.0,782.0,774.0
23/07/15,117607040.0,768.0,777.0,780.0,768.0
23/07/15,117607040.0,768.0,777.0,780.0,768.0
23/07/15,117607040.0,768.0,777.0,780.0,768.0
24/07/15,400350375.0,777.0,787.0,792.0,775.0
27/07/15,119213360.0,787.0,775.0,787.0,771.0
28/07/15,239045695.0,773.0,771.0,774.0,769.5
29/07/15,207687520.0,771.0,771.0,774.0,768.0
30/07/15,190376505.0,767.0,767.0,774.0,767.0
31/07/15,337063835.0,770.5,780.0,800.0,770.0
03/08/15,259944415.0,787.0,795.0,795.0,777.0
04/08/15,179898130.0,781.0,785.0,788.0,780.0
05/08/15,109255870.0,786.0,794.0,795.0,785.0
06/08/15,89986685.0,794.0,789.0,799.0,787.0
07/08/15,211891110.0,790.5,769.5,790.5,769.5
10/08/15,174489070.0,769.5,770.0,780.0,768.0
11/08/15,85802710.0,772.0,776.0,784.0,769.0
12/08/15,207495335.0,769.5,763.5,771.0,761.0
13/08/15,325910780.0,763.0,755.0,765.0,751.0
14/08/15,150819130.0,759.0,759.0,767.0,754.0
17/08/15,98070500.0,761.0,760.0,767.0,756.5
18/08/15,109279720.0,761.0,770.0,770.0,761.0
19/08/15,98831935.0,769.0,771.0,774.0,765.0
20/08/15,213115530.0,767.5,755.0,772.0,755.0
24/08/15,717205325.0,744.0,704.5,744.0,700.0
25/08/15,561922535.0,699.0,717.0,724.0,695.0
26/08/15,579694510.0,720.5,709.0,730.0,695.0
27/08/15,478260620.0,730.0,725.0,730.0,717.0
28/08/15,371503995.0,730.0,738.0,745.0,727.5
01/09/15,646752950.0,725.0,755.0,756.0,725.0
02/09/15,276576015.0,740.0,760.0,760.0,725.0
03/09/15,188591245.0,760.0,760.0,760.0,752.5
04/09/15,138200665.0,750.0,748.5,756.0,745.5
07/09/15,109484220.0,748.5,725.0,748.5,725.0
08/09/15,247141595.0,725.0,727.5,735.0,720.0
09/09/15,424317865.0,731.0,742.0,745.0,731.0
10/09/15,214164395.0,745.0,730.0,748.0,726.0
11/09/15,83482810.0,743.0,728.0,743.0,728.0
14/09/15,224865825.0,740.0,749.5,749.5,730.0
15/09/15,250407620.0,749.5,749.0,750.0,746.0
15/09/15,250407620.0,749.5,749.0,750.0,746.0
15/09/15,250407620.0,749.5,749.0,750.0,746.0
16/09/15,434294385.0,752.0,761.0,767.0,752.0
17/09/15,223322660.0,761.0,770.0,770.0,761.0
18/09/15,297044660.0,773.0,782.0,783.5,771.0
21/09/15,100570555.0,787.0,779.0,787.0,770.0
