Date,Value,Open,Close,High,Low
15/07/15,211968555.0,38.5,38.3,38.5,37.95
16/07/15,352503820.0,38.3,38.3,38.35,38.0
20/07/15,127181135.0,38.2,38.0,38.3,37.85
21/07/15,449021975.0,38.0,38.5,38.5,37.8
22/07/15,186436540.0,38.5,38.9,39.0,38.35
23/07/15,225356890.0,38.05,38.5,38.9,38.05
23/07/15,225356890.0,38.05,38.5,38.9,38.05
23/07/15,225356890.0,38.05,38.5,38.9,38.05
24/07/15,194128570.0,38.5,38.9,39.05,38.1
27/07/15,267906440.0,38.9,37.8,38.9,37.8
28/07/15,309926010.0,37.75,37.45,37.85,37.3
29/07/15,256314610.0,37.5,37.0,38.0,37.0
30/07/15,283130200.0,37.3,37.2,37.8,37.05
31/07/15,529798200.0,37.5,37.4,37.5,36.8
03/08/15,484824005.0,37.55,37.05,37.55,36.9
04/08/15,598835790.0,37.05,36.85,37.2,36.75
05/08/15,402256890.0,36.8,37.9,38.25,36.75
06/08/15,352502775.0,38.0,38.15,38.65,37.95
07/08/15,292101995.0,38.1,38.7,38.7,37.5
10/08/15,121084445.0,38.5,38.15,38.65,38.15
11/08/15,484650150.0,38.3,39.0,39.3,38.2
12/08/15,328196750.0,39.0,38.3,39.0,38.3
13/08/15,411923605.0,38.5,38.0,38.55,37.6
14/08/15,343403345.0,38.0,37.5,38.05,37.5
17/08/15,177628380.0,37.5,37.65,38.0,37.4
18/08/15,209799770.0,37.65,38.0,38.1,37.55
19/08/15,256840860.0,37.85,37.8,37.85,37.55
20/08/15,568286495.0,37.8,37.1,37.8,37.1
24/08/15,1167716370.0,36.0,33.75,36.0,32.5
25/08/15,898400065.0,33.5,33.5,35.2,33.2
26/08/15,884293755.0,33.8,34.4,34.95,33.5
27/08/15,1004600790.0,35.2,34.8,35.7,34.6
28/08/15,640272815.0,35.4,35.95,36.25,35.4
01/09/15,753241845.0,36.0,36.65,36.95,36.0
02/09/15,460799105.0,35.9,36.4,36.6,35.1
03/09/15,174041510.0,36.4,36.0,36.8,35.85
04/09/15,404680820.0,36.0,35.8,36.1,35.0
