Date,Value,Open,Close,High,Low
15/07/15,20240.0,2.53,2.53,2.53,2.53
21/07/15,45460.0,2.53,2.53,2.53,2.5
22/07/15,7530.0,2.53,2.5,2.53,2.5
23/07/15,10080.0,2.52,2.52,2.52,2.52
23/07/15,10080.0,2.52,2.52,2.52,2.52
23/07/15,10080.0,2.52,2.52,2.52,2.52
24/07/15,15120.0,2.52,2.52,2.52,2.52
27/07/15,9770.0,2.45,2.45,2.45,2.42
28/07/15,7290.000000000001,2.43,2.43,2.43,2.43
29/07/15,77820.0,2.5,2.52,2.52,2.5
30/07/15,32760.0,2.52,2.52,2.52,2.52
05/08/15,116379.99999999999,2.53,2.53,2.53,2.53
06/08/15,4990.0,2.45,2.54,2.54,2.45
07/08/15,86330.0,2.54,2.51,2.54,2.51
10/08/15,10080.0,2.51,2.52,2.53,2.51
11/08/15,36870.0,2.52,2.45,2.52,2.45
12/08/15,2470.0,2.47,2.47,2.47,2.47
13/08/15,2440.0,2.44,2.44,2.44,2.44
14/08/15,56820.0,2.44,2.51,2.51,2.44
17/08/15,36750.0,2.45,2.45,2.45,2.45
18/08/15,5080.0,2.54,2.54,2.54,2.54
19/08/15,12210.0,2.42,2.53,2.53,2.42
20/08/15,92500.0,2.5,2.5,2.5,2.5
24/08/15,771300.0,2.42,2.41,2.42,2.41
25/08/15,832420.0,2.41,2.45,2.45,2.41
26/08/15,1057600.0,2.41,2.41,2.41,2.34
27/08/15,2510.0,2.51,2.51,2.51,2.51
01/09/15,7550.0,2.51,2.52,2.52,2.51
02/09/15,341090.0,2.41,2.38,2.41,2.3
03/09/15,141040.0,2.36,2.35,2.36,2.35
04/09/15,460970.0,2.15,2.49,2.49,2.15
07/09/15,21950.0,2.48,2.41,2.48,2.41
08/09/15,79200.0,2.4,2.4,2.4,2.4
09/09/15,2170.0,2.17,2.17,2.17,2.17
10/09/15,141600.0,2.4,2.4,2.4,2.4
11/09/15,26850.0,2.45,2.44,2.45,2.44
15/09/15,50520.0,2.42,2.38,2.42,2.38
15/09/15,50520.0,2.42,2.38,2.42,2.38
15/09/15,50520.0,2.42,2.38,2.42,2.38
17/09/15,16900.0,2.22,2.45,2.45,2.22
18/09/15,245050.00000000003,2.45,2.5,2.5,2.45
24/09/15,39190.0,2.47,2.4,2.48,2.4
28/09/15,124700.0,2.48,2.5,2.5,2.48
29/09/15,7020.0,2.27,2.47,2.47,2.27
01/10/15,12250.0,2.45,2.45,2.45,2.45
06/10/15,17010.0,2.43,2.43,2.43,2.43
07/10/15,113000.0,2.4,2.42,2.42,2.4
08/10/15,4900.0,2.45,2.45,2.45,2.45
09/10/15,4900.0,2.45,2.45,2.45,2.45
12/10/15,152810.0,2.35,2.38,2.38,2.35
13/10/15,303040.0,2.38,2.35,2.38,2.3
14/10/15,32900.0,2.35,2.35,2.35,2.35
15/10/15,327520.0,2.43,2.44,2.44,2.3
16/10/15,579560.0,2.45,2.52,2.52,2.45
19/10/15,52180.0,2.48,2.53,2.53,2.48
20/10/15,24720.0,2.48,2.46,2.48,2.46
21/10/15,65210.0,2.5,2.5,2.54,2.5
22/10/15,70000.0,2.5,2.5,2.5,2.5
26/10/15,41700.0,2.46,2.46,2.46,2.4
27/10/15,209650.0,2.42,2.44,2.5,2.4
29/10/15,5000.0,2.51,2.49,2.51,2.49
03/11/15,4820.0,2.41,2.41,2.41,2.41
04/11/15,107800.0,2.45,2.45,2.45,2.45
05/11/15,24500.0,2.45,2.45,2.45,2.45
06/11/15,222840.0,2.5,2.51,2.51,2.5
09/11/15,22570.0,2.51,2.5,2.51,2.5
11/11/15,7500.0,2.5,2.5,2.5,2.5
12/11/15,14690.0,2.51,2.39,2.51,2.39
13/11/15,4960.0,2.48,2.48,2.48,2.48
26/11/15,22050.0,2.45,2.45,2.45,2.45
01/12/15,7480.0,2.5,2.48,2.5,2.48
02/12/15,19880.0,2.49,2.48,2.49,2.48
03/12/15,19920.0,2.49,2.49,2.49,2.49
04/12/15,2490.0,2.49,2.49,2.49,2.49
07/12/15,2500.0,2.5,2.5,2.5,2.5
08/12/15,31750.0,2.44,2.45,2.45,2.44
09/12/15,2490.0,2.49,2.49,2.49,2.49
10/12/15,27280.0,2.48,2.48,2.48,2.48
11/12/15,52410.0,2.46,2.51,2.51,2.46
14/12/15,39710.0,2.46,2.5,2.5,2.45
17/12/15,41650.0,2.45,2.45,2.45,2.45
