Date,Value,Open,Close,High,Low
15/07/15,832237650.0,104.0,105.0,105.1,103.5
16/07/15,305555764.0,104.0,105.0,105.2,104.0
20/07/15,7196293690.0,105.0,103.5,105.1,103.2
21/07/15,452576561.0,103.6,105.0,105.5,103.6
22/07/15,205506521.0,105.0,105.1,105.1,104.4
23/07/15,317156417.0,105.0,105.0,105.2,104.0
23/07/15,317156417.0,105.0,105.0,105.2,104.0
23/07/15,317156417.0,105.0,105.0,105.2,104.0
24/07/15,170125393.0,105.0,104.9,105.0,104.5
27/07/15,577024152.0,104.9,101.5,104.9,101.1
28/07/15,346498278.5,101.0,98.6,101.1,98.6
29/07/15,508390103.0,98.9,99.5,99.5,98.2
30/07/15,129180479.0,100.0,99.5,100.2,99.5
31/07/15,330872109.0,99.95,100.4,100.4,99.45
03/08/15,156622607.0,100.9,100.6,102.2,100.2
04/08/15,176376679.0,100.6,102.5,103.9,100.2
05/08/15,475608862.0,102.5,104.0,104.9,102.5
06/08/15,301528505.0,104.0,103.6,104.2,102.0
07/08/15,98019438.0,103.6,102.0,103.9,101.0
10/08/15,249305994.0,102.0,103.6,104.1,102.0
11/08/15,381785555.0,102.0,104.0,104.0,102.0
12/08/15,412748679.0,103.9,102.0,103.9,101.1
13/08/15,559556953.5,103.0,103.0,103.0,99.5
14/08/15,187484088.0,101.0,103.0,103.2,100.0
17/08/15,309737829.5,103.0,99.9,103.0,99.4
18/08/15,217408479.5,99.9,101.0,101.0,99.7
19/08/15,271561019.0,99.7,100.0,100.9,99.5
20/08/15,261199462.5,99.8,98.95,99.95,98.0
24/08/15,588498183.5,97.5,95.0,97.5,90.9
25/08/15,596413689.0,91.0,94.1,95.0,91.0
26/08/15,621769404.0,92.5,93.0,93.15,91.65
27/08/15,960724163.5,93.5,97.0,97.0,93.5
28/08/15,452161019.0,97.5,98.5,98.9,97.25
01/09/15,485668351.5,97.0,97.65,98.45,96.6
02/09/15,248354874.5,97.0,98.0,98.1,95.0
03/09/15,306292394.5,98.4,97.0,98.55,96.0
04/09/15,248353362.5,96.95,94.4,97.1,94.15
07/09/15,277025898.5,94.4,93.5,94.4,93.0
08/09/15,264231755.5,93.5,93.5,94.0,90.5
09/09/15,204300851.5,95.0,94.65,95.55,93.85
10/09/15,287261044.0,95.8,96.95,96.95,94.55
11/09/15,132755758.0,96.95,96.1,96.95,95.6
14/09/15,250571044.5,96.25,97.2,97.9,96.25
15/09/15,384862852.5,98.0,98.5,99.25,97.3
15/09/15,384862852.5,98.0,98.5,99.25,97.3
15/09/15,384862852.5,98.0,98.5,99.25,97.3
16/09/15,249883262.5,99.45,99.85,100.5,99.4
17/09/15,317714518.5,100.2,101.6,101.6,99.85
18/09/15,253443437.0,102.0,103.0,103.4,101.8
21/09/15,889862382.0,103.2,103.0,103.2,102.1
22/09/15,303079725.0,103.2,103.6,104.7,103.2
23/09/15,454776395.0,102.0,102.0,103.5,101.0
24/09/15,251268741.0,103.1,103.0,103.6,99.95
28/09/15,288362568.0,103.2,102.0,103.3,101.0
29/09/15,391182229.5,100.0,102.0,102.0,98.0
30/09/15,326889663.0,102.8,103.5,103.5,101.4
01/10/15,292524948.0,103.5,105.0,105.0,102.9
02/10/15,336082827.0,105.0,105.0,105.9,104.0
05/10/15,361629311.0,104.9,106.0,106.6,104.0
06/10/15,319214262.0,106.5,108.9,108.9,106.4
07/10/15,249377938.0,106.7,109.0,109.0,106.0
08/10/15,97322493.0,109.0,109.0,109.0,107.9
09/10/15,72676152.0,109.0,108.5,109.0,107.0
12/10/15,179053623.0,108.6,106.5,109.0,105.8
13/10/15,256546459.0,106.5,103.0,106.5,103.0
14/10/15,107514552.0,103.1,103.0,104.7,102.8
15/10/15,174635709.0,103.5,104.8,105.5,103.0
16/10/15,256759028.0,105.5,103.1,105.8,102.1
19/10/15,250876870.0,104.0,103.7,104.6,103.1
20/10/15,232955534.0,102.8,102.7,103.4,102.2
21/10/15,292201520.0,102.7,102.8,103.4,102.5
22/10/15,236107896.0,103.0,104.0,104.3,102.5
23/10/15,301358300.0,105.5,107.5,108.5,105.0
26/10/15,308080737.0,108.8,103.8,109.0,103.5
27/10/15,295572177.0,103.8,104.0,106.0,103.1
28/10/15,302615276.0,104.0,104.0,104.5,103.2
29/10/15,356523158.0,104.0,101.9,105.0,101.5
30/10/15,357245878.0,102.0,101.7,102.5,100.8
02/11/15,260879850.0,101.7,103.0,103.0,101.7
03/11/15,201353748.0,103.0,103.0,103.5,102.5
04/11/15,457393676.5,102.6,101.4,102.6,99.8
05/11/15,757494242.0,101.6,100.2,101.7,99.6
06/11/15,240146291.0,100.8,102.0,103.1,100.7
09/11/15,140908224.0,102.5,102.0,102.5,101.0
10/11/15,272345139.0,101.1,100.5,101.2,100.2
11/11/15,304875214.0,100.5,100.5,101.0,99.5
12/11/15,202696038.0,101.2,100.0,102.0,100.0
13/11/15,299838016.0,100.0,101.5,101.5,99.45
16/11/15,257520448.0,100.0,99.15,100.4,99.0
17/11/15,253868356.0,100.5,99.5,101.4,99.2
20/11/15,219789604.0,101.0,99.25,101.0,99.25
23/11/15,277072425.0,99.25,99.3,99.9,99.2
