Date,Value,Open,Close,High,Low
15/07/15,87944065.5,94.5,94.55,95.0,93.8
16/07/15,98777652.0,94.6,95.0,95.0,94.6
20/07/15,70185974.0,96.0,95.85,96.5,95.45
21/07/15,77231710.0,95.85,94.5,95.85,93.2
22/07/15,81328263.0,94.0,94.5,94.5,93.75
23/07/15,72770229.0,94.5,96.25,96.25,94.0
23/07/15,72770229.0,94.5,96.25,96.25,94.0
23/07/15,72770229.0,94.5,96.25,96.25,94.0
24/07/15,196185001.0,96.25,96.55,96.6,95.55
27/07/15,61417489.0,95.6,94.0,95.9,93.95
28/07/15,77154599.5,94.0,94.1,95.0,93.5
29/07/15,104454767.0,94.1,96.0,96.25,94.1
30/07/15,106903496.0,96.0,96.3,96.4,96.0
31/07/15,161128834.0,96.3,95.0,96.4,95.0
03/08/15,77601963.0,96.2,95.65,96.2,95.1
04/08/15,218106220.5,95.7,95.6,95.7,95.0
05/08/15,85170936.5,96.5,95.95,96.5,95.0
06/08/15,117104793.5,95.95,92.95,96.0,92.5
07/08/15,123523771.0,92.95,92.1,93.2,91.3
10/08/15,73822417.5,92.5,92.8,93.4,92.4
11/08/15,104207756.0,92.8,92.4,93.0,91.9
12/08/15,78457821.0,92.2,91.65,92.75,91.65
13/08/15,70170416.5,92.35,92.5,92.5,90.0
14/08/15,82909843.5,92.6,93.0,93.0,90.65
17/08/15,59905080.5,93.0,91.1,93.35,91.1
18/08/15,90491752.5,91.0,91.0,91.0,89.2
19/08/15,86064977.5,91.0,91.25,91.25,90.0
20/08/15,218967117.5,91.7,89.95,91.7,89.7
24/08/15,225666626.0,89.5,85.35,89.5,85.0
25/08/15,139959574.0,85.0,85.35,85.5,83.8
26/08/15,278093176.5,85.35,85.1,85.45,84.7
27/08/15,367322367.0,85.2,85.5,86.75,84.95
28/08/15,278359073.0,85.6,84.6,86.75,84.1
01/09/15,374500996.5,85.0,84.5,86.5,84.45
02/09/15,134949459.5,84.5,84.5,84.5,83.35
03/09/15,107627100.0,86.0,85.0,86.0,84.55
04/09/15,79485097.0,86.0,85.85,86.0,85.5
07/09/15,186792115.0,85.95,85.1,85.95,84.8
08/09/15,76134517.0,85.1,84.0,85.1,84.0
09/09/15,99222821.5,85.35,85.95,85.95,84.5
10/09/15,91055657.5,86.0,84.2,86.0,83.0
11/09/15,85115951.0,85.5,83.5,85.5,83.4
14/09/15,79977459.0,83.55,85.0,85.5,83.55
15/09/15,94232059.5,85.0,84.3,85.0,83.9
15/09/15,94232059.5,85.0,84.3,85.0,83.9
15/09/15,94232059.5,85.0,84.3,85.0,83.9
