Date,Value,Open,Close,High,Low
15/07/15,92250.0,0.225,0.225,0.225,0.225
16/07/15,222640.0,0.224,0.225,0.225,0.224
20/07/15,2250.0,0.225,0.225,0.225,0.225
21/07/15,176100.0,0.223,0.22,0.223,0.22
22/07/15,57200.0,0.22,0.22,0.22,0.22
24/07/15,63430.0,0.219,0.219,0.219,0.218
27/07/15,19750.0,0.215,0.22,0.22,0.215
03/08/15,26160.0,0.218,0.218,0.218,0.218
04/08/15,97110.0,0.218,0.215,0.218,0.215
05/08/15,10850.0,0.215,0.22,0.22,0.215
06/08/15,6790.0,0.229,0.225,0.229,0.225
10/08/15,84950.0,0.215,0.228,0.228,0.21
12/08/15,46410.0,0.211,0.22,0.22,0.21
13/08/15,10600.0,0.21,0.21,0.22,0.21
14/08/15,77510.0,0.211,0.208,0.211,0.208
17/08/15,18530.0,0.206,0.21,0.21,0.2
19/08/15,24000.0,0.2,0.2,0.2,0.2
20/08/15,199390.0,0.201,0.21,0.21,0.188
26/08/15,3780.0,0.189,0.189,0.189,0.189
27/08/15,4000.0,0.2,0.2,0.2,0.2
02/09/15,12880.0,0.19,0.183,0.19,0.183
03/09/15,36700.0,0.183,0.184,0.184,0.183
04/09/15,84650.0,0.184,0.185,0.185,0.18
07/09/15,24050.0,0.185,0.185,0.185,0.185
08/09/15,5550.0,0.185,0.185,0.185,0.185
09/09/15,11250.0,0.19,0.185,0.19,0.185
10/09/15,5550.0,0.185,0.185,0.185,0.185
11/09/15,1900.0,0.19,0.19,0.19,0.19
14/09/15,16220.0,0.181,0.18,0.181,0.18
15/09/15,623740.0,0.19,0.19,0.2,0.186
15/09/15,623740.0,0.19,0.19,0.2,0.186
15/09/15,623740.0,0.19,0.19,0.2,0.186
16/09/15,24700.0,0.19,0.19,0.19,0.19
17/09/15,7750.0,0.191,0.198,0.198,0.191
21/09/15,4180.0,0.209,0.209,0.209,0.209
22/09/15,8240.0,0.209,0.205,0.209,0.205
23/09/15,74930.0,0.205,0.19,0.205,0.19
24/09/15,58290.0,0.189,0.188,0.189,0.188
28/09/15,7480.0,0.187,0.187,0.187,0.187
29/09/15,1860.0,0.186,0.186,0.186,0.186
01/10/15,92700.0,0.186,0.185,0.186,0.185
05/10/15,5550.0,0.185,0.185,0.185,0.185
07/10/15,11160.0,0.186,0.186,0.186,0.186
08/10/15,3750.0,0.187,0.188,0.188,0.187
09/10/15,11340.0,0.189,0.189,0.189,0.189
12/10/15,38200.0,0.19,0.2,0.205,0.19
13/10/15,20000.0,0.2,0.2,0.2,0.2
14/10/15,437590.0,0.2,0.205,0.21,0.2
15/10/15,357690.0,0.205,0.211,0.24,0.204
16/10/15,31560.0,0.211,0.21,0.211,0.21
19/10/15,14900.0,0.215,0.21,0.215,0.21
21/10/15,2070.0,0.207,0.207,0.207,0.207
22/10/15,20100.0,0.201,0.201,0.201,0.201
23/10/15,24430.0,0.204,0.205,0.205,0.203
26/10/15,10420.0,0.206,0.21,0.21,0.206
27/10/15,126360.0,0.21,0.211,0.249,0.21
