Date,Value,Open,Close,High,Low
15/07/15,3670640.0,3.32,3.36,3.36,3.28
16/07/15,5937140.0,3.36,3.38,3.41,3.35
20/07/15,2138150.0,3.37,3.4,3.4,3.35
21/07/15,3113940.0,3.41,3.47,3.49,3.41
22/07/15,39476340.0,3.47,3.69,3.73,3.47
23/07/15,16336160.0,3.72,3.74,3.78,3.68
23/07/15,16336160.0,3.72,3.74,3.78,3.68
23/07/15,16336160.0,3.72,3.74,3.78,3.68
24/07/15,21185990.0,3.77,3.7,3.81,3.69
27/07/15,6278490.0,3.69,3.56,3.69,3.42
28/07/15,6487340.0,3.55,3.46,3.55,3.4
29/07/15,6233360.0,3.48,3.55,3.58,3.48
30/07/15,7056510.0,3.58,3.54,3.61,3.53
31/07/15,10495610.0,3.6,3.7,3.7,3.52
03/08/15,11727520.0,3.7,3.68,3.7,3.64
04/08/15,11117130.0,3.69,3.66,3.7,3.62
05/08/15,6339300.0,3.66,3.7,3.75,3.66
06/08/15,4761800.0,3.75,3.66,3.75,3.66
07/08/15,22971970.0,3.66,3.75,3.78,3.66
10/08/15,17594250.0,3.8,3.8,3.81,3.77
11/08/15,11082760.0,3.7,3.52,3.74,3.51
12/08/15,4919600.0,3.54,3.38,3.54,3.32
13/08/15,13707090.0,3.38,3.37,3.45,3.3
14/08/15,1004970.0,3.35,3.35,3.36,3.3
17/08/15,5115090.0,3.34,3.16,3.34,3.15
18/08/15,8522350.0,3.16,3.2,3.29,3.16
19/08/15,4320500.0,3.2,3.2,3.22,3.15
20/08/15,8169090.0,3.2,3.2,3.24,3.19
24/08/15,9150850.0,3.15,3.04,3.15,3.0
25/08/15,4244560.0,3.0,3.02,3.03,2.99
26/08/15,18449330.0,3.01,3.04,3.1,3.01
27/08/15,20800440.0,3.11,3.07,3.11,3.05
28/08/15,20280840.0,3.1,3.09,3.18,3.09
01/09/15,2064210.0,3.09,3.07,3.1,3.06
02/09/15,10543920.0,3.07,3.06,3.1,3.02
03/09/15,11082000.0,3.06,3.14,3.14,3.06
04/09/15,2147610.0,3.14,3.07,3.15,3.07
07/09/15,3974190.0,3.07,3.02,3.07,3.02
08/09/15,1628780.0,3.03,3.04,3.06,3.03
09/09/15,12353520.0,3.09,3.08,3.09,3.06
10/09/15,1506620.0,3.05,3.04,3.1,3.04
11/09/15,12452380.0,3.04,3.04,3.07,3.03
14/09/15,19183140.0,3.03,3.03,3.05,3.02
15/09/15,8563530.0,3.02,3.02,3.05,3.02
15/09/15,8563530.0,3.02,3.02,3.05,3.02
15/09/15,8563530.0,3.02,3.02,3.05,3.02
16/09/15,4205430.0,3.05,3.06,3.08,3.03
17/09/15,11756700.0,3.06,3.04,3.1,3.04
18/09/15,9777700.0,3.06,3.01,3.08,3.01
21/09/15,2752480.0,3.03,3.06,3.06,3.01
22/09/15,2553140.0,3.02,3.02,3.04,3.01
23/09/15,2071860.0,3.02,3.01,3.04,3.01
24/09/15,2731590.0,3.01,3.03,3.05,3.0
28/09/15,2593530.0,3.03,3.02,3.03,3.0
29/09/15,3920220.0,3.0,3.02,3.03,3.0
30/09/15,2086930.0,3.01,3.04,3.04,3.01
01/10/15,5024390.0,3.02,3.0,3.05,3.0
02/10/15,10864010.0,3.0,2.98,3.01,2.92
05/10/15,9733870.0,2.98,3.03,3.04,2.98
06/10/15,12845690.0,3.03,3.04,3.07,3.02
07/10/15,11246000.0,3.01,3.04,3.06,3.01
08/10/15,3155410.0,3.06,3.05,3.07,3.04
09/10/15,7428890.0,3.06,3.06,3.06,3.03
12/10/15,5421560.0,3.07,3.08,3.15,3.06
13/10/15,20201250.0,3.08,3.08,3.08,3.06
14/10/15,18838930.0,3.08,3.08,3.08,3.04
15/10/15,23165160.0,3.07,3.28,3.28,3.07
16/10/15,7922110.0,3.3,3.28,3.5,3.24
19/10/15,21048420.0,3.28,3.38,3.38,3.27
20/10/15,2928120.0,3.4,3.35,3.42,3.25
21/10/15,6533560.0,3.38,3.46,3.48,3.37
22/10/15,2244740.0,3.46,3.44,3.47,3.42
23/10/15,3544260.0,3.45,3.49,3.49,3.42
26/10/15,9511740.0,3.5,3.56,3.58,3.5
27/10/15,4399330.0,3.57,3.54,3.58,3.53
28/10/15,2234670.0,3.54,3.58,3.58,3.43
29/10/15,2898040.0,3.57,3.45,3.57,3.44
30/10/15,10057220.0,3.45,3.46,3.48,3.43
02/11/15,2706460.0,3.44,3.5,3.5,3.4
03/11/15,3504940.0,3.5,3.58,3.58,3.5
04/11/15,1567270.0,3.58,3.57,3.6,3.52
05/11/15,1688480.0,3.51,3.48,3.55,3.42
06/11/15,406350.0,3.46,3.44,3.46,3.42
09/11/15,374760.0,3.44,3.43,3.46,3.42
10/11/15,2823350.0,3.38,3.21,3.42,3.2
11/11/15,2141860.0,3.21,3.14,3.21,3.1
12/11/15,1835360.0,3.14,3.17,3.21,3.14
13/11/15,2461240.0,3.17,3.35,3.35,3.17
16/11/15,6144960.0,3.18,3.1,3.19,3.1
17/11/15,1863860.0,3.26,3.13,3.26,3.13
20/11/15,3806030.0,3.14,3.2,3.25,3.14
23/11/15,543560.0,3.25,3.24,3.28,3.2
24/11/15,2193150.0,3.24,3.25,3.25,3.18
25/11/15,1049180.0,3.27,3.24,3.27,3.22
26/11/15,2119720.0,3.16,3.16,3.19,3.16
27/11/15,10353900.0,3.15,3.18,3.23,3.11
01/12/15,2624140.0,3.18,3.22,3.22,3.18
02/12/15,3837510.0,3.22,3.2,3.22,3.17
03/12/15,2313750.0,3.18,3.21,3.21,3.18
04/12/15,3663430.0,3.18,3.16,3.22,3.16
07/12/15,14249450.0,3.2,3.16,3.2,3.13
08/12/15,1405090.0,3.14,3.14,3.15,3.12
09/12/15,6445440.0,3.12,3.18,3.18,3.11
10/12/15,13849540.0,3.12,3.08,3.17,3.06
11/12/15,7078120.0,3.06,3.04,3.08,3.03
14/12/15,12953630.0,3.03,3.02,3.03,2.99
15/12/15,7822340.0,3.03,3.0,3.04,2.99
16/12/15,5337600.0,3.0,3.0,3.03,3.0
17/12/15,6247170.0,3.03,3.03,3.07,3.0
18/12/15,8997310.0,3.03,2.94,3.03,2.94
21/12/15,7480330.0,2.94,2.82,2.99,2.82
22/12/15,24559400.0,2.83,2.7,2.87,2.64
23/12/15,15902740.0,2.79,2.7,2.8,2.7
28/12/15,5221080.0,2.71,2.8,2.8,2.71
29/12/15,8864890.0,2.8,2.91,2.93,2.8
04/01/16,4523270.0,2.87,2.82,2.87,2.75
05/01/16,6753590.0,2.82,2.82,2.85,2.72
06/01/16,4665830.0,2.82,2.77,2.82,2.76
07/01/16,3971240.0,2.75,2.66,2.75,2.66
08/01/16,6004190.0,2.66,2.7,2.74,2.64
11/01/16,12501450.0,2.68,2.47,2.68,2.4
12/01/16,5340290.0,2.47,2.49,2.54,2.46
13/01/16,16997090.0,2.49,2.42,2.49,2.4
14/01/16,12894240.0,2.4,2.3,2.4,2.25
15/01/16,4149230.0,2.37,2.3,2.37,2.29
18/01/16,4354680.0,2.29,2.23,2.3,2.15
19/01/16,3538480.0,2.25,2.23,2.26,2.16
20/01/16,4795910.0,2.23,2.21,2.23,2.19
21/01/16,6297170.0,2.21,2.11,2.21,2.08
