Date,Value,Open,Close,High,Low
21/07/15,700.0,7.0,7.0,7.0,7.0
22/07/15,5607.0,7.01,7.0,7.01,7.0
23/07/15,8400.0,7.0,7.0,7.0,7.0
23/07/15,8400.0,7.0,7.0,7.0,7.0
23/07/15,8400.0,7.0,7.0,7.0,7.0
24/07/15,7000.0,7.0,7.0,7.0,7.0
28/07/15,56000.0,7.0,7.0,7.0,7.0
29/07/15,57400.0,7.0,7.0,7.0,7.0
30/07/15,88400.0,6.8,6.8,6.8,6.8
31/07/15,60550.0,6.75,6.7,6.75,6.7
03/08/15,147400.0,6.7,6.7,6.7,6.7
04/08/15,47970.0,7.5,6.6,7.5,6.6
05/08/15,87124.0,6.62,6.6,6.62,6.6
07/08/15,76325.0,6.55,6.65,6.65,6.55
11/08/15,39900.0,6.65,6.65,6.65,6.65
12/08/15,228249.0,6.56,6.5,6.56,6.5
13/08/15,18705.0,6.45,6.45,6.45,6.45
14/08/15,143085.0,6.45,6.45,6.45,6.4
20/08/15,6500.0,6.5,6.5,6.5,6.5
24/08/15,25217.0,6.01,6.01,6.01,6.0
26/08/15,103220.0,6.02,6.9,6.9,6.02
27/08/15,167548.0,4.29,6.68,6.68,3.5
28/08/15,74029.0,6.02,6.2,6.29,6.0
01/09/15,20469.0,6.2,6.29,6.29,6.2
03/09/15,4874162.0,5.36,5.7,5.7,5.36
04/09/15,620.0,6.2,6.2,6.2,6.2
07/09/15,12400.0,6.2,6.2,6.2,6.2
08/09/15,122586.0,5.71,5.9,5.9,5.62
09/09/15,5620.0,5.62,5.62,5.62,5.62
10/09/15,1862.0,6.21,6.2,6.21,6.2
21/09/15,16361.0,5.66,5.62,6.19,5.6
22/09/15,55607.0,6.2,6.95,6.99,6.2
23/09/15,36383.0,6.95,6.95,6.95,6.8
28/09/15,34572.0,6.89,6.94,6.94,6.89
09/10/15,252025.0,5.67,5.8,6.49,5.66
12/10/15,37408.0,6.14,6.1,6.14,5.8
13/10/15,2905.0,5.81,5.81,5.81,5.81
14/10/15,17004.0,6.08,6.07,6.08,6.07
15/10/15,5915.0,6.08,5.75,6.08,5.75
16/10/15,17400.0,5.8,5.8,5.8,5.8
20/10/15,2900.0,5.8,5.8,5.8,5.8
21/10/15,13920.0,5.8,5.8,5.8,5.8
22/10/15,29000.0,5.8,5.8,5.8,5.8
23/10/15,27840.0,5.8,5.8,5.8,5.8
27/10/15,16800.0,6.0,6.0,6.0,6.0
02/11/15,24562.0,5.81,5.85,5.85,5.81
03/11/15,2905.0,5.81,5.81,5.81,5.81
06/11/15,36046.0,5.81,5.7,5.81,5.7
11/11/15,7258.0,6.09,6.0,6.09,6.0
13/11/15,570.0,5.7,5.7,5.7,5.7
20/11/15,1140.0,5.7,5.7,5.7,5.7
24/11/15,571.0,5.71,5.71,5.71,5.71
