Date,Value,Open,Close,High,Low
31/07/15,5400.0,27.0,27.0,27.0,27.0
14/08/15,2700.0,27.0,27.0,27.0,27.0
27/08/15,2700.0,27.0,27.0,27.0,27.0
28/08/15,5400.0,27.0,27.0,27.0,27.0
30/09/15,2700.0,27.0,27.0,27.0,27.0
05/10/15,35100.0,27.0,27.0,27.0,27.0
06/10/15,210600.0,27.0,27.0,27.0,27.0
09/10/15,69500.0,30.0,29.0,30.0,27.0
12/10/15,26100.0,29.0,29.0,29.0,29.0
14/10/15,5800.0,29.0,29.0,29.0,29.0
16/10/15,794500.0,26.0,29.0,29.0,26.0
19/10/15,31900.0,29.0,29.0,29.0,29.0
21/10/15,5030.0,25.15,25.15,25.15,25.15
22/10/15,29000.0,29.0,29.0,29.0,29.0
23/10/15,48960.0,26.2,28.0,28.0,26.2
26/10/15,16800.0,28.0,28.0,28.0,28.0
27/10/15,2800.0,28.0,28.0,28.0,28.0
29/10/15,275600.0,26.5,26.5,26.5,26.5
30/10/15,8100.0,27.0,27.0,27.0,27.0
02/11/15,26860.0,27.0,25.6,27.0,25.6
04/11/15,7660.0,25.6,25.5,25.6,25.5
06/11/15,2700.0,27.0,27.0,27.0,27.0
09/11/15,2650.0,26.5,26.5,26.5,26.5
10/11/15,17850.0,25.5,25.5,25.5,25.5
27/11/15,5400.0,27.0,27.0,27.0,27.0
08/12/15,130000.0,26.0,26.0,26.0,26.0
09/12/15,16000.0,27.0,25.0,27.0,25.0
10/12/15,6780.0,22.6,22.6,22.6,22.6
15/12/15,4520.0,22.6,22.6,22.6,22.6
17/12/15,151000500.0,24.75,25.5,25.5,24.75
18/12/15,102712500.0,24.75,24.75,24.75,24.75
22/12/15,13000.0,26.0,26.0,26.0,26.0
29/12/15,59850.0,28.5,28.5,28.5,28.5
05/01/16,24000.0,20.0,20.0,20.0,20.0
06/01/16,5600.0,28.0,28.0,28.0,28.0
08/01/16,2700.0,27.0,27.0,27.0,27.0
11/01/16,24290.0,26.9,27.0,27.0,26.9
28/01/16,2020.0,20.2,20.2,20.2,20.2
29/01/16,10400.0,26.0,26.0,26.0,26.0
03/02/16,10025.0,20.05,20.05,20.05,20.05
04/02/16,51215.0,28.45,28.45,28.5,28.45
15/02/16,59850.0,28.5,28.5,28.5,28.5
18/02/16,2850.0,28.5,28.5,28.5,28.5
29/02/16,13795.0,27.0,28.5,28.5,27.0
14/03/16,4500.0,22.5,22.5,22.5,22.5
15/03/16,2830.0,28.3,28.3,28.3,28.3
28/03/16,11070.0,27.4,28.45,28.45,27.4
29/03/16,2840.0,28.4,28.4,28.4,28.4
31/03/16,2850.0,28.5,28.5,28.5,28.5
06/04/16,14250.0,28.5,28.5,28.5,28.5
15/04/16,2845.0,28.45,28.45,28.45,28.45
29/04/16,5700.0,28.5,28.5,28.5,28.5
06/05/16,11020.0,25.0,28.4,28.4,25.0
06/05/16,11020.0,25.0,28.4,28.4,25.0
13/05/16,2850.0,28.5,28.5,28.5,28.5
31/05/16,2840.0,28.4,28.4,28.4,28.4
01/06/16,25560.0,28.4,28.4,28.4,28.4
02/06/16,82360.0,28.4,28.4,28.4,28.4
09/06/16,564440.0,28.4,28.4,28.5,28.0
10/06/16,11380.0,28.4,28.5,28.5,28.4
13/06/16,630355.0,28.5,28.6,28.75,25.0
14/06/16,148975.0,28.6,28.6,28.75,28.6
15/06/16,118040.0,28.8,29.0,29.0,28.4
16/06/16,332590.0,29.0,30.3,30.5,29.0
17/06/16,606340.0,30.3,31.5,32.95,30.0
20/06/16,3524515.0,38.0,34.0,38.0,34.0
21/06/16,2848136.0,7.09,9.05,9.5,7.09
22/06/16,1254411.0,9.05,7.6,9.05,7.0
23/06/16,1653462.0,7.61,7.7,8.05,7.61
24/06/16,342345.0,7.5,7.4,7.95,7.4
27/06/16,160172.0,7.4,7.25,7.4,7.25
28/06/16,98009.0,7.8,7.22,7.8,7.22
29/06/16,229027.0,7.2,7.1,7.2,7.0
30/06/16,807653.0,7.5,7.3,8.4,7.3
01/07/16,167807.0,7.3,7.3,8.0,7.0
04/07/16,136770.0,7.3,7.2,7.3,7.2
05/07/16,303156.0,7.2,7.06,7.2,7.01
07/07/16,456616.0,7.1,6.88,7.1,6.85
08/07/16,16177.0,7.04,7.04,7.05,6.88
11/07/16,429049.0,7.05,6.86,7.05,6.85
12/07/16,404322.0,7.0,6.75,7.0,6.7
13/07/16,277628.0,6.6,6.5,6.74,6.41
14/07/16,525360.0,6.41,6.7,6.75,6.41
