Date,Value,Open,Close,High,Low
15/07/15,206083231.0,9.25,9.29,9.4,9.15
16/07/15,149185225.0,9.33,9.5,9.56,9.28
20/07/15,89073476.0,9.51,9.41,9.55,9.3
21/07/15,135929213.0,9.41,9.9,9.9,9.32
22/07/15,307445166.0,9.9,10.22,10.3,9.8
23/07/15,114485486.0,10.3,10.12,10.38,10.1
23/07/15,114485486.0,10.3,10.12,10.38,10.1
23/07/15,114485486.0,10.3,10.12,10.38,10.1
24/07/15,35022731.0,10.12,9.94,10.14,9.88
27/07/15,70272489.0,9.94,9.65,9.94,9.55
28/07/15,59907506.0,9.56,9.4,9.65,9.4
29/07/15,98028403.0,9.42,9.8,9.93,9.42
30/07/15,50393849.0,9.86,9.9,10.1,9.7
31/07/15,25041873.0,9.9,9.7,9.9,9.65
03/08/15,83835117.0,9.71,9.69,9.77,9.64
04/08/15,87192966.0,9.66,9.75,9.76,9.61
05/08/15,88600677.0,9.75,9.65,9.92,9.64
06/08/15,31312277.0,9.7,9.6,10.0,9.6
07/08/15,66630186.0,9.55,9.55,9.59,9.53
10/08/15,31989654.0,9.53,9.4,9.66,9.3
11/08/15,160273459.0,9.4,9.28,9.4,9.21
12/08/15,33082719.0,9.21,8.95,9.21,8.94
13/08/15,496800229.0,8.93,7.98,9.05,7.98
14/08/15,627162137.0,7.98,7.4,7.98,7.21
17/08/15,263139981.0,7.41,6.99,7.55,6.98
18/08/15,211380320.0,7.01,7.19,7.36,7.01
19/08/15,172938324.0,7.2,7.4,7.43,7.18
20/08/15,54502711.0,7.49,7.18,7.52,7.15
24/08/15,122344737.0,6.95,6.5,6.95,6.3
25/08/15,135667291.0,6.4,6.85,6.85,6.29
26/08/15,84405618.0,6.85,6.59,6.98,6.52
27/08/15,143368397.0,6.8,6.99,7.0,6.65
28/08/15,59246195.0,7.06,7.02,7.2,6.99
01/09/15,102622393.0,7.04,6.85,7.06,6.85
02/09/15,122835890.0,6.75,6.84,6.86,6.62
03/09/15,56071511.0,6.84,6.78,6.91,6.75
04/09/15,71930930.0,6.78,6.9,7.0,6.75
07/09/15,90487907.0,6.87,6.6,6.87,6.38
08/09/15,23641244.0,6.64,6.62,6.65,6.43
09/09/15,38121895.0,6.72,6.55,6.8,6.55
10/09/15,7043222.0,6.55,6.59,6.7,6.54
11/09/15,4550306.0,6.56,6.6,6.65,6.56
14/09/15,23054330.0,6.6,6.63,6.76,6.59
15/09/15,26094954.0,6.68,6.59,6.85,6.59
15/09/15,26094954.0,6.68,6.59,6.85,6.59
15/09/15,26094954.0,6.68,6.59,6.85,6.59
16/09/15,24040087.0,6.68,6.6,6.86,6.55
17/09/15,43294704.0,6.66,6.61,6.73,6.56
18/09/15,71235508.0,6.62,6.37,6.7,6.37
21/09/15,40609106.0,6.4,6.4,6.5,6.36
22/09/15,43886640.0,6.4,6.27,6.4,6.18
23/09/15,66718597.0,6.24,6.0,6.24,5.9
24/09/15,8899672.0,6.02,5.98,6.1,5.94
28/09/15,95043881.0,5.95,5.51,5.95,5.47
29/09/15,34699856.0,5.52,5.6,5.7,5.36
30/09/15,67430604.0,5.6,5.21,5.6,5.2
01/10/15,75124811.0,5.21,5.19,5.38,5.12
02/10/15,50953418.0,5.22,4.87,5.22,4.83
05/10/15,108198410.0,5.07,5.31,5.33,5.0
06/10/15,114074935.0,5.42,5.7,5.76,5.4
07/10/15,159514204.0,5.79,6.05,6.1,5.7
08/10/15,56837337.0,6.16,5.95,6.25,5.9
09/10/15,39099259.0,5.95,5.95,6.08,5.82
12/10/15,33941881.0,5.95,5.8,6.03,5.75
13/10/15,39877085.0,5.79,5.82,6.04,5.73
14/10/15,141609219.0,5.99,5.91,6.19,5.9
15/10/15,154611617.0,6.0,6.55,6.57,6.0
16/10/15,118585961.0,6.6,6.64,6.76,6.5
19/10/15,14787787.0,6.68,6.5,6.7,6.42
20/10/15,11709306.0,6.5,6.48,6.5,6.36
21/10/15,41049027.0,6.47,6.71,6.75,6.35
22/10/15,42521455.0,6.7,6.59,6.85,6.59
23/10/15,21278253.0,6.64,6.69,6.74,6.55
26/10/15,58741832.0,6.82,6.86,7.0,6.82
27/10/15,48056733.0,6.86,6.69,6.86,6.68
28/10/15,45114679.0,6.7,6.5,6.72,6.44
29/10/15,55446030.0,6.45,6.2,6.48,6.2
30/10/15,25876763.0,6.2,6.15,6.2,6.11
02/11/15,46329029.0,6.15,5.98,6.15,5.95
03/11/15,110597896.0,6.0,6.4,6.47,6.0
04/11/15,15761531.0,6.4,6.2,6.42,6.17
05/11/15,89804448.0,6.2,5.78,6.2,5.73
06/11/15,34678937.0,5.8,5.79,5.93,5.79
09/11/15,44940629.0,5.79,5.63,5.79,5.62
10/11/15,24758980.0,5.63,5.48,5.63,5.46
11/11/15,44950613.0,5.46,5.25,5.46,5.25
12/11/15,48854263.0,5.25,5.03,5.4,5.03
13/11/15,24177866.0,5.06,5.1,5.27,5.03
16/11/15,56206755.0,5.05,4.94,5.06,4.94
17/11/15,19014100.0,4.95,5.05,5.2,4.95
20/11/15,18683768.0,5.15,5.11,5.2,5.08
23/11/15,28776116.0,5.19,5.49,5.5,5.19
24/11/15,15861993.0,5.42,5.24,5.42,5.24
25/11/15,5811531.0,5.25,5.32,5.38,5.25
