Date,Value,Open,Close,High,Low
15/07/15,32618.5,50.0,53.95,53.95,50.0
16/07/15,4591.0,50.1,54.3,54.3,50.0
22/07/15,6022.0,50.1,50.6,50.6,50.1
28/07/15,2024.0,50.6,50.6,50.6,50.6
05/08/15,10586.0,50.6,50.2,50.6,50.2
11/08/15,13564.5,53.0,51.95,53.0,51.95
24/08/15,11028.0,50.2,50.1,50.2,50.1
04/09/15,5200.0,52.0,52.0,52.0,52.0
01/10/15,515.0,51.5,51.5,51.5,51.5
06/10/15,7199.5,51.5,51.3,51.5,51.3
07/10/15,5628.0,51.2,51.2,51.2,51.1
08/10/15,15360.0,51.2,51.2,51.2,51.2
09/10/15,7680.0,51.2,51.2,51.2,51.2
12/10/15,22976.0,51.2,53.6,53.6,51.2
13/10/15,35355.0,51.0,51.0,51.0,50.0
15/10/15,20525.0,50.1,50.0,50.1,50.0
16/10/15,15000.0,50.0,50.0,50.0,50.0
21/10/15,10020.0,50.1,50.1,50.1,50.1
22/10/15,988.0,49.4,49.4,49.4,49.4
13/01/16,30910.0,38.6,38.65,38.65,38.6
26/01/16,3910.0,39.1,39.1,39.1,39.1
24/02/16,9740.0,48.7,48.7,48.7,48.7
15/03/16,48940.0,49.9,43.2,50.0,40.0
16/03/16,71780.0,47.85,47.85,47.9,47.85
17/03/16,53700.0,43.2,47.8,47.9,43.2
18/03/16,4700.0,47.0,47.0,47.0,47.0
21/03/16,13050.0,43.5,43.5,43.5,43.5
28/03/16,73360.0,48.35,64.0,65.0,48.35
29/03/16,714010.5,59.0,72.0,86.0,59.0
30/03/16,217923.5,72.0,56.0,72.0,51.0
31/03/16,188496.0,60.0,62.0,62.9,58.0
01/04/16,57115.0,62.0,55.05,62.0,55.05
04/04/16,28069.0,55.05,55.05,55.05,55.0
05/04/16,1101.0,55.05,55.05,55.05,55.05
06/04/16,1734.0,56.0,58.7,58.7,56.0
07/04/16,19083.0,58.7,56.05,58.7,56.0
11/04/16,32394.5,54.05,52.0,54.05,52.0
12/04/16,154756.5,52.0,62.0,74.0,52.0
13/04/16,8012.5,64.9,51.65,64.9,51.65
14/04/16,30393.0,58.0,55.0,60.0,55.0
15/04/16,44533.0,55.0,59.0,62.9,53.0
18/04/16,39020.0,60.0,60.0,60.1,60.0
20/04/16,34517.0,51.8,56.0,59.9,51.8
21/04/16,16985.0,63.0,61.0,63.0,61.0
22/04/16,31070.0,63.0,61.0,64.0,61.0
25/04/16,36005.0,52.3,59.8,59.8,52.25
26/04/16,19570.5,52.3,57.9,57.9,52.25
28/04/16,1593.0,53.0,53.15,53.15,53.0
02/05/16,11915.0,53.15,55.0,55.0,53.15
03/05/16,91060.0,54.5,56.0,56.0,54.5
04/05/16,551.5,55.15,55.15,55.15,55.15
05/05/16,32380.0,56.0,57.0,57.0,55.45
11/05/16,27685.0,56.5,56.5,56.5,56.5
16/05/16,23435.0,54.5,54.5,54.5,54.5
17/05/16,91988.5,54.5,73.95,73.95,54.5
18/05/16,287407.5,73.95,67.1,73.95,59.0
19/05/16,127509.0,67.1,63.95,70.0,60.0
20/05/16,22601.0,60.0,55.6,63.9,55.1
23/05/16,18900.0,63.0,63.0,63.0,63.0
24/05/16,97148.0,63.85,57.05,63.85,57.05
25/05/16,116798.5,57.05,55.55,57.05,55.0
26/05/16,3888.5,55.55,55.55,55.55,55.55
03/06/16,13900.0,55.6,55.6,55.6,55.6
06/06/16,4452.0,55.65,55.65,55.65,55.65
08/06/16,5505.0,55.05,55.05,55.05,55.05
09/06/16,23932.0,55.05,59.9,61.6,55.0
16/06/16,53235.0,58.5,58.5,58.5,58.5
17/06/16,585.0,58.5,58.5,58.5,58.5
20/06/16,31464.0,57.0,55.1,57.0,55.1
21/06/16,7163.0,55.1,55.1,55.1,55.1
23/06/16,19265.5,55.05,55.0,55.05,55.0
24/06/16,22040.0,55.1,55.1,55.1,55.1
28/06/16,1101.0,55.05,55.05,55.05,55.05
01/07/16,550.5,55.05,55.05,55.05,55.05
05/07/16,33590.0,55.05,55.0,57.0,55.0
11/07/16,10500.0,52.5,52.5,52.5,52.5
13/07/16,525.0,52.5,52.5,52.5,52.5
