Date,Value,Open,Close,High,Low
15/07/15,1046900.0,0.082,0.084,0.084,0.082
16/07/15,793580.0,0.084,0.08,0.084,0.08
20/07/15,653080.0,0.08,0.08,0.082,0.08
21/07/15,946660.0,0.082,0.08,0.082,0.08
22/07/15,641000.0,0.08,0.081,0.081,0.08
23/07/15,1838260.0,0.08,0.082,0.083,0.078
23/07/15,1838260.0,0.08,0.082,0.083,0.078
23/07/15,1838260.0,0.08,0.082,0.083,0.078
24/07/15,246980.0,0.081,0.081,0.082,0.08
27/07/15,937960.0,0.081,0.079,0.081,0.079
28/07/15,1011650.0,0.079,0.081,0.082,0.079
29/07/15,1429370.0,0.081,0.08,0.083,0.08
30/07/15,1545410.0,0.08,0.079,0.081,0.079
31/07/15,836070.0,0.079,0.079,0.08,0.079
03/08/15,780140.0,0.078,0.079,0.08,0.078
04/08/15,1116940.0,0.079,0.08,0.081,0.078
05/08/15,1315790.0,0.081,0.081,0.081,0.079
06/08/15,580000.0,0.081,0.08,0.081,0.079
07/08/15,1350090.0,0.08,0.079,0.08,0.078
10/08/15,324480.0,0.078,0.078,0.078,0.078
11/08/15,832340.0,0.079,0.077,0.079,0.077
12/08/15,272370.0,0.078,0.077,0.078,0.077
13/08/15,796810.0,0.078,0.075,0.078,0.075
14/08/15,583390.0,0.075,0.074,0.076,0.074
17/08/15,896270.0,0.073,0.071,0.073,0.07
18/08/15,488860.0,0.072,0.071,0.073,0.07
19/08/15,1545910.0,0.071,0.069,0.072,0.069
20/08/15,532860.0,0.072,0.069,0.072,0.069
24/08/15,2658540.0,0.065,0.061,0.065,0.06
25/08/15,10200.0,0.06,0.06,0.06,0.06
26/08/15,1124010.0,0.06,0.061,0.063,0.06
27/08/15,1120370.0,0.061,0.061,0.062,0.059
28/08/15,1716760.0,0.062,0.061,0.062,0.06
01/09/15,227050.0,0.061,0.061,0.063,0.06
02/09/15,1073820.0,0.061,0.061,0.063,0.06
03/09/15,1502340.0,0.061,0.06,0.061,0.06
04/09/15,700670.0,0.06,0.062,0.063,0.06
07/09/15,1651920.0,0.062,0.057,0.062,0.055
08/09/15,1478240.0,0.057,0.059,0.06,0.057
09/09/15,2295740.0,0.06,0.066,0.066,0.059
10/09/15,5673750.0,0.067,0.065,0.072,0.064
11/09/15,933410.0,0.065,0.061,0.065,0.061
14/09/15,2982850.0,0.06,0.062,0.066,0.059
15/09/15,6306950.0,0.064,0.064,0.069,0.063
15/09/15,6306950.0,0.064,0.064,0.069,0.063
15/09/15,6306950.0,0.064,0.064,0.069,0.063
16/09/15,1096100.0,0.065,0.065,0.065,0.063
17/09/15,2812490.0,0.065,0.061,0.066,0.061
18/09/15,1914870.0,0.062,0.061,0.064,0.061
21/09/15,2748960.0,0.061,0.06,0.061,0.06
22/09/15,4051620.0,0.06,0.059,0.061,0.059
23/09/15,448360.0,0.059,0.06,0.06,0.058
24/09/15,817630.0,0.06,0.058,0.06,0.058
28/09/15,2470110.0,0.06,0.055,0.06,0.055
29/09/15,1269710.0,0.057,0.057,0.058,0.056
30/09/15,2760200.0,0.056,0.052,0.057,0.052
01/10/15,731990.0,0.053,0.052,0.054,0.052
02/10/15,639070.0,0.052,0.052,0.053,0.052
05/10/15,1063920.0,0.052,0.054,0.055,0.052
06/10/15,4054460.0,0.055,0.059,0.06,0.054
07/10/15,12462800.0,0.06,0.062,0.067,0.06
08/10/15,1745700.0,0.063,0.06,0.063,0.06
09/10/15,2987510.0,0.06,0.057,0.06,0.056
12/10/15,3811270.0,0.058,0.055,0.058,0.055
13/10/15,4283700.0,0.056,0.053,0.056,0.052
14/10/15,3001230.0,0.055,0.052,0.055,0.052
15/10/15,9079230.0,0.054,0.053,0.057,0.053
16/10/15,1221330.0,0.054,0.054,0.056,0.054
19/10/15,1365070.0,0.057,0.055,0.057,0.054
20/10/15,2188270.0,0.056,0.054,0.056,0.054
21/10/15,1496050.0,0.054,0.057,0.058,0.054
22/10/15,503740.0,0.056,0.056,0.057,0.056
23/10/15,1820910.0,0.056,0.054,0.057,0.054
26/10/15,1265240.0,0.054,0.056,0.057,0.054
27/10/15,896970.0,0.056,0.056,0.057,0.055
28/10/15,2539330.0,0.056,0.055,0.058,0.055
29/10/15,5791660.0,0.056,0.057,0.06,0.056
30/10/15,3359000.0,0.058,0.056,0.059,0.056
02/11/15,1571550.0,0.057,0.056,0.058,0.056
03/11/15,1139490.0,0.058,0.056,0.058,0.056
04/11/15,857880.0,0.056,0.056,0.057,0.056
05/11/15,2037110.0,0.057,0.056,0.059,0.056
06/11/15,1515960.0,0.056,0.056,0.058,0.056
09/11/15,5024130.0,0.056,0.053,0.057,0.053
10/11/15,2748210.0,0.053,0.052,0.055,0.052
11/11/15,1802530.0,0.053,0.052,0.053,0.051
12/11/15,354430.0,0.052,0.054,0.054,0.052
13/11/15,1971080.0,0.053,0.052,0.053,0.051
16/11/15,3104780.0,0.051,0.048,0.051,0.048
17/11/15,943200.0,0.05,0.05,0.051,0.049
20/11/15,946560.0,0.05,0.049,0.05,0.047
23/11/15,1010400.0,0.049,0.047,0.05,0.047
24/11/15,1885000.0,0.048,0.043,0.048,0.043
25/11/15,849400.0,0.044,0.044,0.047,0.044
26/11/15,538300.0,0.044,0.042,0.044,0.042
27/11/15,288099.99999999994,0.043,0.043,0.043,0.043
01/12/15,688200.0,0.043,0.044,0.044,0.043
02/12/15,597100.0,0.044,0.044,0.044,0.043
03/12/15,1042800.0,0.044,0.044,0.044,0.044
04/12/15,661600.0,0.044,0.043,0.044,0.043
07/12/15,1216800.0,0.043,0.045,0.046,0.043
08/12/15,1545500.0,0.044,0.045,0.045,0.044
09/12/15,171600.0,0.044,0.044,0.044,0.044
10/12/15,1345100.0,0.045,0.044,0.045,0.043
11/12/15,989900.0,0.044,0.043,0.045,0.043
14/12/15,371400.0,0.042,0.042,0.043,0.042
15/12/15,1199700.0,0.042,0.041,0.043,0.041
16/12/15,281900.0,0.041,0.042,0.042,0.041
17/12/15,80400.0,0.042,0.043,0.043,0.042
18/12/15,409400.0,0.042,0.041,0.042,0.041
21/12/15,546900.0,0.041,0.041,0.041,0.04
22/12/15,97000.0,0.041,0.04,0.041,0.04
23/12/15,372000.0,0.041,0.04,0.041,0.04
28/12/15,537900.0,0.042,0.041,0.042,0.04
29/12/15,434100.0,0.04,0.041,0.041,0.04
04/01/16,782400.0,0.041,0.04,0.042,0.04
05/01/16,611800.0,0.04,0.04,0.04,0.039
06/01/16,316600.0,0.041,0.04,0.041,0.039
07/01/16,207400.0,0.038,0.039,0.039,0.038
08/01/16,316200.0,0.038,0.038,0.039,0.038
11/01/16,681300.0,0.038,0.037,0.038,0.036
12/01/16,678500.0,0.037,0.04,0.04,0.037
13/01/16,195100.0,0.039,0.04,0.04,0.039
14/01/16,229200.0,0.039,0.038,0.039,0.038
15/01/16,439600.0,0.038,0.037,0.039,0.036
18/01/16,194300.0,0.037,0.037,0.037,0.036
19/01/16,56600.0,0.038,0.037,0.038,0.037
20/01/16,613200.0,0.038,0.038,0.039,0.038
21/01/16,370200.0,0.038,0.038,0.038,0.037
22/01/16,178600.0,0.038,0.038,0.038,0.038
25/01/16,38100.0,0.037,0.038,0.039,0.037
26/01/16,144400.0,0.038,0.038,0.038,0.038
27/01/16,191200.0,0.037,0.038,0.038,0.037
28/01/16,2505700.0,0.037,0.041,0.041,0.037
29/01/16,1048800.0,0.042,0.041,0.042,0.041
01/02/16,566900.0,0.041,0.041,0.041,0.04
02/02/16,327600.0,0.041,0.041,0.042,0.04
03/02/16,176600.0,0.041,0.041,0.041,0.04
04/02/16,344400.0,0.041,0.041,0.041,0.041
05/02/16,4706500.0,0.041,0.043,0.045,0.041
09/02/16,1546100.0,0.044,0.042,0.045,0.041
10/02/16,16255000.0,0.042,0.047,0.05,0.042
11/02/16,2829000.0,0.048,0.046,0.048,0.045
12/02/16,2506100.0,0.046,0.045,0.046,0.045
15/02/16,1696000.0,0.045,0.046,0.046,0.044
16/02/16,259500.0,0.046,0.046,0.046,0.045
17/02/16,16289900.0,0.046,0.051,0.053,0.046
18/02/16,10111260.0,0.053,0.051,0.055,0.05
19/02/16,1835320.0,0.051,0.051,0.051,0.049
22/02/16,959550.0,0.05,0.052,0.052,0.05
23/02/16,14165250.0,0.052,0.054,0.057,0.052
24/02/16,1270110.0,0.054,0.053,0.055,0.053
26/02/16,745330.0,0.054,0.054,0.055,0.053
29/02/16,1854300.0,0.054,0.053,0.054,0.052
01/03/16,1332470.0,0.053,0.052,0.054,0.052
02/03/16,2439470.0,0.052,0.052,0.053,0.051
03/03/16,1884080.0,0.052,0.051,0.052,0.05
04/03/16,2235040.0,0.05,0.051,0.051,0.05
07/03/16,7143850.0,0.051,0.055,0.056,0.051
08/03/16,17561930.0,0.056,0.061,0.063,0.055
09/03/16,7037040.0,0.062,0.058,0.063,0.057
10/03/16,3747990.0,0.059,0.058,0.061,0.058
11/03/16,4778020.0,0.058,0.058,0.061,0.058
14/03/16,2574030.0,0.058,0.06,0.061,0.058
15/03/16,2037570.0,0.061,0.06,0.061,0.059
16/03/16,11016410.0,0.061,0.066,0.066,0.059
17/03/16,14336880.0,0.068,0.063,0.069,0.063
18/03/16,5408590.0,0.064,0.065,0.066,0.063
21/03/16,1823180.0,0.065,0.066,0.067,0.065
22/03/16,18126120.0,0.067,0.073,0.075,0.066
23/03/16,7312370.0,0.072,0.074,0.074,0.07
28/03/16,9538270.0,0.074,0.07,0.074,0.07
