Date,Value,Open,Close,High,Low
15/07/15,21000.0,1.58,1.44,1.58,1.44
16/07/15,32470.0,1.58,1.53,1.58,1.53
20/07/15,65220.0,1.54,1.58,1.58,1.53
21/07/15,119750.0,1.46,1.57,1.57,1.46
22/07/15,214610.0,1.58,1.55,1.58,1.5
23/07/15,202230.0,1.55,1.49,1.55,1.49
23/07/15,202230.0,1.55,1.49,1.55,1.49
23/07/15,202230.0,1.55,1.49,1.55,1.49
24/07/15,35650.0,1.55,1.55,1.55,1.55
28/07/15,222630.0,1.59,1.6,1.69,1.58
29/07/15,92350.0,1.6,1.55,1.6,1.55
30/07/15,21140.0,1.51,1.51,1.51,1.51
31/07/15,588580.0,1.51,1.47,1.51,1.47
03/08/15,6000.0,1.5,1.5,1.5,1.5
04/08/15,38250.0,1.47,1.48,1.48,1.47
06/08/15,26460.0,1.47,1.47,1.47,1.47
10/08/15,64240.0,1.46,1.46,1.46,1.46
11/08/15,32120.0,1.46,1.46,1.46,1.46
12/08/15,169360.0,1.46,1.46,1.46,1.46
13/08/15,13130.0,1.45,1.46,1.46,1.45
17/08/15,557640.0,1.45,1.37,1.45,1.37
19/08/15,81200.0,1.36,1.35,1.36,1.35
20/08/15,59400.0,1.35,1.35,1.35,1.35
24/08/15,121340.0,1.34,1.32,1.34,1.32
26/08/15,13100.0,1.31,1.31,1.31,1.31
27/08/15,1310.0,1.31,1.31,1.31,1.31
28/08/15,225920.0,1.32,1.34,1.34,1.32
01/09/15,13120.0,1.31,1.32,1.32,1.31
02/09/15,13010.0,1.31,1.3,1.31,1.3
07/09/15,30020.0,1.31,1.3,1.31,1.3
21/09/15,33450.0,1.29,1.28,1.29,1.28
22/09/15,68890.0,1.28,1.29,1.36,1.28
28/09/15,1370.0,1.37,1.37,1.37,1.37
29/09/15,701040.0,1.29,1.24,1.29,1.2
02/10/15,4020.0,1.35,1.33,1.35,1.33
05/10/15,1350.0,1.35,1.35,1.35,1.35
06/10/15,29590.0,1.34,1.35,1.35,1.34
07/10/15,25400.0,1.29,1.25,1.29,1.25
08/10/15,18500.0,1.22,1.24,1.24,1.22
09/10/15,43400.0,1.24,1.24,1.24,1.24
12/10/15,292680.0,1.33,1.43,1.43,1.33
13/10/15,163360.0,1.25,1.28,1.4,1.2
14/10/15,56300.0,1.3,1.3,1.32,1.3
15/10/15,244520.0,1.3,1.32,1.38,1.3
19/10/15,11880.0,1.32,1.32,1.32,1.32
20/10/15,28430.0,1.29,1.3,1.3,1.29
21/10/15,1280.0,1.28,1.28,1.28,1.28
22/10/15,143250.0,1.28,1.3,1.3,1.27
23/10/15,22740.0,1.27,1.26,1.27,1.26
26/10/15,4548560.0,1.3,1.46,1.68,1.3
27/10/15,18259450.0,1.47,2.19,2.19,1.4
28/10/15,18775640.0,2.25,1.95,2.4,1.95
29/10/15,1946550.0,1.95,1.84,1.95,1.82
30/10/15,4812100.0,1.87,1.96,2.12,1.87
02/11/15,945150.0,1.91,1.87,2.0,1.84
03/11/15,2314080.0,1.86,1.85,2.0,1.84
04/11/15,3174290.0,1.84,1.8,1.9,1.79
05/11/15,2683130.0,1.77,1.77,1.9,1.76
06/11/15,986590.0,1.75,1.77,1.88,1.75
09/11/15,392800.0,1.77,1.7,1.79,1.7
10/11/15,512500.0,1.7,1.59,1.7,1.58
11/11/15,73830.0,1.58,1.57,1.6,1.55
12/11/15,26650.0,1.55,1.7,1.7,1.55
17/11/15,58530.0,1.65,1.6,1.65,1.6
20/11/15,46910.0,1.6,1.57,1.6,1.56
23/11/15,551380.0,1.57,1.48,1.59,1.41
24/11/15,231270.0,1.41,1.5,1.51,1.36
25/11/15,672940.0,1.41,1.42,1.51,1.35
26/11/15,366640.0,1.34,1.39,1.4,1.34
27/11/15,188690.0,1.4,1.4,1.43,1.35
01/12/15,60560.0,1.4,1.43,1.43,1.38
02/12/15,88960.0,1.38,1.47,1.48,1.36
03/12/15,157470.0,1.37,1.43,1.48,1.36
04/12/15,52620.0,1.41,1.49,1.5,1.41
07/12/15,64480.0,1.48,1.4,1.48,1.4
08/12/15,404850.0,1.36,1.3,1.36,1.3
09/12/15,230980.0,1.35,1.32,1.35,1.28
10/12/15,227210.0,1.29,1.3,1.32,1.25
11/12/15,25800.0,1.29,1.29,1.29,1.29
14/12/15,111470.0,1.3,1.3,1.3,1.24
15/12/15,43000.0,1.25,1.3,1.3,1.25
16/12/15,70840.0,1.32,1.32,1.32,1.28
17/12/15,25570.0,1.28,1.34,1.34,1.25
18/12/15,320470.0,1.26,1.32,1.32,1.25
21/12/15,3750.0,1.25,1.25,1.25,1.25
22/12/15,102500.0,1.25,1.25,1.25,1.25
28/12/15,21430.0,1.26,1.27,1.27,1.26
29/12/15,47520.0,1.32,1.32,1.32,1.32
04/01/16,316410.0,1.34,1.29,1.4,1.29
05/01/16,13020.0,1.36,1.37,1.38,1.27
06/01/16,20480.0,1.28,1.28,1.28,1.28
07/01/16,683300.0,1.26,1.18,1.27,1.15
11/01/16,142460.0,1.18,1.15,1.18,1.15
12/01/16,85000.0,1.14,1.12,1.14,1.12
14/01/16,26000.000000000004,1.12,1.2,1.2,1.12
15/01/16,1190.0,1.19,1.19,1.19,1.19
18/01/16,471700.0,1.11,1.26,1.26,1.11
19/01/16,16520.0,1.18,1.18,1.18,1.18
21/01/16,846160.0,1.18,1.35,1.59,1.18
22/01/16,64450.0,1.23,1.24,1.25,1.23
25/01/16,20220.0,1.26,1.26,1.27,1.26
26/01/16,50200.0,1.26,1.24,1.26,1.24
27/01/16,481780.0,1.22,1.45,1.45,1.21
28/01/16,13080.0,1.45,1.45,1.46,1.45
29/01/16,25560.0,1.42,1.42,1.42,1.42
01/02/16,257090.0,1.45,1.4,1.45,1.4
02/02/16,398540.0,1.4,1.4,1.4,1.25
03/02/16,14970.0,1.37,1.35,1.37,1.35
