Date,Value,Open,Close,High,Low
15/07/15,752980.0,3.39,3.43,3.57,3.39
16/07/15,693550.0,3.54,3.49,3.58,3.48
20/07/15,648620.0,3.5,3.46,3.5,3.41
21/07/15,830250.0,3.46,3.4,3.47,3.4
22/07/15,661060.0,3.39,3.45,3.47,3.38
23/07/15,829420.0,3.58,3.4,3.58,3.4
23/07/15,829420.0,3.58,3.4,3.58,3.4
23/07/15,829420.0,3.58,3.4,3.58,3.4
24/07/15,237630.0,3.39,3.45,3.46,3.39
27/07/15,361480.0,3.43,3.37,3.43,3.37
28/07/15,326650.0,3.35,3.39,3.39,3.31
29/07/15,423150.0,3.4,3.33,3.4,3.32
30/07/15,288840.0,3.32,3.32,3.32,3.32
31/07/15,1363760.0,3.31,3.35,3.38,3.2
03/08/15,231870.0,3.26,3.28,3.3,3.23
04/08/15,290070.0,3.23,3.22,3.28,3.22
05/08/15,564970.0,3.22,3.24,3.24,3.19
06/08/15,1894530.0,3.22,3.44,3.58,3.22
07/08/15,11465180.0,3.47,3.75,3.8,3.31
10/08/15,7312710.0,3.84,3.94,3.96,3.8
11/08/15,13178490.0,4.0,4.15,4.24,3.6
12/08/15,6218600.0,4.02,4.07,4.1,3.97
13/08/15,1042000.0,4.05,4.05,4.1,3.9
14/08/15,4031060.0,4.14,4.18,4.24,3.89
17/08/15,1116780.0,4.23,4.11,4.23,3.92
18/08/15,1206330.0,4.1,4.06,4.1,3.89
19/08/15,590620.0,4.0,4.07,4.07,3.95
20/08/15,40796840.0,4.0,4.04,4.04,4.0
24/08/15,1713170.0,3.98,3.8,4.09,3.5
25/08/15,1412250.0,3.8,4.07,4.07,3.56
26/08/15,678860.0,4.03,3.93,4.03,3.9
27/08/15,791810.0,3.91,3.9,4.1,3.9
28/08/15,937920.0,4.0,4.0,4.0,3.88
01/09/15,1486160.0,4.0,3.95,4.0,3.87
02/09/15,483520.0,3.89,3.94,3.94,3.88
03/09/15,518410.0,3.86,3.86,3.94,3.86
04/09/15,810850.0,3.86,4.0,4.0,3.86
08/09/15,860790.0,3.96,3.73,3.96,3.73
09/09/15,121870.0,3.73,3.9,3.9,3.73
10/09/15,4500000.0,3.75,3.75,3.75,3.75
11/09/15,1098470.0,3.89,3.72,3.89,3.69
14/09/15,619480.0,3.68,3.8,3.8,3.55
15/09/15,1581620.0,3.75,3.62,3.75,3.61
15/09/15,1581620.0,3.75,3.62,3.75,3.61
15/09/15,1581620.0,3.75,3.62,3.75,3.61
16/09/15,1378820.0,3.74,3.62,3.74,3.58
17/09/15,4734680.0,3.59,3.67,3.67,3.58
18/09/15,1375300.0,3.67,3.7,3.89,3.64
21/09/15,3120900.0,3.7,3.52,3.7,3.52
22/09/15,1153700.0,3.67,3.7,3.87,3.65
23/09/15,36510.0,3.64,3.75,3.75,3.64
24/09/15,3753120.0,3.62,3.6,3.67,3.6
28/09/15,322150.0,3.6,3.6,3.6,3.5
29/09/15,919430.0,3.51,3.6,3.74,3.51
30/09/15,1425700.0,3.68,3.52,3.72,3.5
01/10/15,2813090.0,3.53,3.88,3.96,3.53
02/10/15,1069790.0,3.9,3.88,3.9,3.8
05/10/15,461850.0,3.89,3.8,3.89,3.7
06/10/15,352270.0,3.7,3.74,3.8,3.67
07/10/15,617200.0,3.74,3.76,3.9,3.65
08/10/15,2002550.0,3.74,3.8,3.9,3.73
09/10/15,450020.0,3.75,3.8,3.88,3.72
12/10/15,53280.0,3.72,3.84,3.84,3.72
13/10/15,372020.0,3.74,3.66,3.74,3.65
14/10/15,5456800.0,3.65,3.86,3.89,3.65
15/10/15,5250750.0,3.86,3.93,3.95,3.86
16/10/15,7416890.0,3.9,3.89,3.95,3.89
19/10/15,8930040.0,3.93,3.95,3.99,3.88
20/10/15,6306470.0,3.86,3.8,3.97,3.8
21/10/15,5239480.0,3.8,3.89,3.92,3.76
22/10/15,4709860.0,3.85,3.82,3.89,3.82
23/10/15,6637340.0,3.82,3.75,3.87,3.75
26/10/15,4298350.0,3.8,3.85,3.86,3.7
27/10/15,308920.0,3.75,3.7,3.75,3.7
28/10/15,705890.0,3.68,3.66,3.73,3.66
29/10/15,664460.0,3.65,3.58,3.65,3.58
30/10/15,3392920.0,3.61,3.62,3.62,3.58
02/11/15,54170.0,3.62,3.61,3.62,3.61
03/11/15,3508500.0,3.61,3.5,3.61,3.5
04/11/15,147590.0,3.64,3.6,3.64,3.59
05/11/15,290650.0,3.5,3.51,3.52,3.49
06/11/15,569150.0,3.5,3.5,3.59,3.5
09/11/15,206590.0,3.58,3.55,3.58,3.52
10/11/15,34472260.0,3.53,3.59,3.75,3.49
11/11/15,1156370.0,3.6,3.56,3.62,3.4
12/11/15,3433750.0,3.48,3.68,3.73,3.48
13/11/15,11522790.0,3.74,3.69,3.74,3.6
16/11/15,15749860.0,3.7,3.56,3.71,3.55
17/11/15,11768120.0,3.65,3.52,3.66,3.5
