Date,Value,Open,Close,High,Low
15/07/15,29659014.5,89.0,87.9,89.0,87.9
16/07/15,49532272.0,88.25,88.25,88.5,87.9
20/07/15,43424186.5,88.25,88.6,89.0,88.0
21/07/15,133734302.0,88.8,90.4,91.1,88.8
22/07/15,96001694.0,90.4,90.0,91.1,90.0
23/07/15,121555408.0,90.2,91.8,93.0,89.4
23/07/15,121555408.0,90.2,91.8,93.0,89.4
23/07/15,121555408.0,90.2,91.8,93.0,89.4
24/07/15,77170589.0,92.5,92.25,92.7,91.85
27/07/15,30059597.5,92.0,91.55,92.25,91.4
28/07/15,58520308.0,91.75,92.0,92.5,90.5
29/07/15,166643685.0,92.0,94.1,94.1,92.0
30/07/15,70645067.0,93.0,92.5,94.0,92.1
31/07/15,85887451.5,92.7,93.0,93.75,92.6
03/08/15,77474775.5,93.0,94.0,94.8,92.9
04/08/15,272082924.0,94.05,96.35,96.85,94.05
05/08/15,163524235.5,96.35,97.0,98.6,96.35
06/08/15,87550494.0,97.3,96.55,98.8,96.55
07/08/15,63712779.5,96.55,96.6,96.9,95.2
10/08/15,162866344.0,96.6,98.0,99.5,96.6
11/08/15,48449446.5,98.0,97.15,99.0,96.8
12/08/15,136383458.0,97.2,93.5,97.3,93.5
13/08/15,59970978.5,94.25,93.95,95.45,93.5
14/08/15,101075406.0,93.95,94.15,96.25,93.9
17/08/15,178031217.5,95.0,88.0,95.3,87.8
18/08/15,67768022.5,88.2,90.5,90.8,88.2
19/08/15,113812780.0,90.65,90.3,91.35,89.9
20/08/15,71340981.5,90.3,90.05,92.7,90.05
24/08/15,224236040.5,88.0,85.1,88.0,84.8
25/08/15,47104529.5,84.95,87.0,88.0,83.95
26/08/15,142873056.5,87.0,88.85,89.1,87.0
27/08/15,118009816.0,89.3,89.5,90.0,88.6
28/08/15,142296701.5,89.65,89.45,90.8,88.5
01/09/15,39741403.5,89.45,87.0,89.45,86.5
02/09/15,89821121.5,86.9,88.0,88.2,85.3
03/09/15,28790876.0,88.2,88.3,88.8,88.0
04/09/15,91869754.0,88.8,86.1,88.8,86.1
07/09/15,32662094.5,86.1,85.9,86.1,85.0
08/09/15,20668926.0,85.9,86.15,87.95,85.8
09/09/15,26897295.0,86.45,88.3,88.3,86.45
10/09/15,18017102.5,88.25,86.2,88.25,86.2
11/09/15,18588425.5,86.2,87.0,87.0,86.2
14/09/15,92142241.0,87.3,88.35,89.6,87.3
15/09/15,102751870.0,89.0,90.15,90.8,89.0
15/09/15,102751870.0,89.0,90.15,90.8,89.0
15/09/15,102751870.0,89.0,90.15,90.8,89.0
16/09/15,43490187.0,90.2,89.1,90.8,89.1
17/09/15,68733034.5,90.0,90.2,90.95,89.1
18/09/15,105337413.5,90.7,91.75,92.4,90.7
21/09/15,25020848.0,91.75,89.5,91.75,89.05
22/09/15,22004491.5,90.0,88.9,90.1,88.5
23/09/15,29616760.5,89.0,88.3,89.1,87.5
24/09/15,43240806.0,88.3,86.5,88.35,86.5
28/09/15,9720375.0,86.5,87.2,88.5,86.5
29/09/15,47681462.5,87.2,85.9,87.2,84.85
30/09/15,28459772.5,85.9,86.55,87.0,85.5
01/10/15,13345686.0,87.4,87.75,88.0,87.3
02/10/15,18394582.0,87.85,87.35,87.85,86.0
05/10/15,21763346.5,87.35,88.35,89.0,87.35
06/10/15,23907502.0,88.7,87.85,89.35,87.3
07/10/15,40691161.0,87.85,86.8,87.85,86.8
08/10/15,51607647.5,87.4,85.4,87.4,85.4
09/10/15,80266845.5,85.75,84.6,85.75,84.35
12/10/15,17882213.5,84.8,85.9,86.2,84.8
13/10/15,10349539.5,85.9,85.75,85.9,84.8
14/10/15,14899856.0,85.75,85.5,86.35,85.5
15/10/15,19256335.0,85.5,85.6,86.5,84.8
16/10/15,68666211.5,85.6,82.9,85.6,82.9
19/10/15,13343607.0,82.9,83.35,83.5,82.75
20/10/15,20046887.5,83.5,84.0,84.3,83.5
21/10/15,28649922.5,84.0,84.5,84.8,83.95
22/10/15,24322032.5,84.8,86.8,86.8,84.75
23/10/15,35130414.5,87.0,86.75,87.4,86.35
26/10/15,62566879.0,86.75,87.4,88.1,86.75
27/10/15,36191997.0,87.4,87.0,87.8,86.0
28/10/15,20840669.5,87.0,87.0,87.25,86.5
29/10/15,44700487.0,87.0,86.4,87.5,85.5
30/10/15,105679909.5,86.9,89.2,89.2,86.9
02/11/15,74649217.5,89.3,90.6,90.8,88.05
03/11/15,53927281.0,91.0,90.85,91.0,90.5
04/11/15,24378376.5,91.0,88.4,91.0,88.0
05/11/15,14931287.0,88.8,88.75,89.25,88.4
06/11/15,27802920.0,88.0,88.95,89.4,87.05
09/11/15,9361670.5,88.9,88.3,88.9,87.75
10/11/15,45369082.5,88.3,85.85,88.3,85.85
11/11/15,20098901.5,85.85,86.4,87.0,85.5
12/11/15,14576490.5,86.4,86.3,87.4,86.2
13/11/15,100651852.0,86.3,84.9,86.75,84.0
16/11/15,56125917.0,84.0,84.75,84.75,81.7
17/11/15,29400466.0,83.5,84.1,84.75,83.5
20/11/15,5978645.5,84.1,84.4,84.5,84.1
