Date,Value,Open,Close,High,Low
15/07/15,97417.0,5.2,5.15,5.23,5.15
16/07/15,162073.0,5.15,5.15,5.29,5.15
20/07/15,577339.0,5.15,5.08,5.15,5.08
21/07/15,153269.0,5.1,5.09,5.1,5.09
22/07/15,794151.0,5.2,5.07,5.2,5.06
23/07/15,448381.0,5.17,5.07,5.17,5.06
23/07/15,448381.0,5.17,5.07,5.17,5.06
23/07/15,448381.0,5.17,5.07,5.17,5.06
24/07/15,301222.0,5.1,5.06,5.1,5.06
27/07/15,17710.0,5.06,5.06,5.06,5.06
28/07/15,99358.0,5.05,5.06,5.1,5.05
29/07/15,846320.0,5.06,5.08,5.08,5.06
30/07/15,5150.0,5.15,5.15,5.15,5.15
03/08/15,1030.0,5.15,5.15,5.15,5.15
04/08/15,309513.0,5.06,5.15,5.15,5.06
05/08/15,50425.0,5.15,5.15,5.15,5.08
06/08/15,187220.0,5.06,5.06,5.06,5.06
07/08/15,52532.0,5.06,5.13,5.14,5.06
10/08/15,20771.0,5.13,5.06,5.13,5.06
11/08/15,9689.999999999998,5.1,5.1,5.1,5.1
12/08/15,24288.0,5.06,5.06,5.06,5.06
13/08/15,92143.0,5.07,5.06,5.07,5.06
17/08/15,1331358.0,5.06,5.13,5.14,5.0
18/08/15,931900.0,5.0,5.0,5.0,4.9
19/08/15,669425.0,5.0,5.04,5.1,4.91
20/08/15,91000.0,5.0,5.0,5.0,5.0
24/08/15,114194.0,4.9,4.9,5.14,4.9
26/08/15,52330230.0,4.9,4.72,5.0,4.6
27/08/15,145900.0,4.7,4.9,4.9,4.7
28/08/15,94400.0,4.72,4.72,4.72,4.72
01/09/15,602420.0,4.75,4.95,4.95,4.75
02/09/15,24750.0,4.95,4.95,4.95,4.95
03/09/15,321200.0,4.95,5.05,5.05,4.95
04/09/15,426825.0,4.77,4.85,4.85,4.77
07/09/15,14280.0,4.76,4.76,4.76,4.76
08/09/15,202580.0,4.8,4.83,4.83,4.8
09/09/15,130390.0,4.82,4.83,4.84,4.82
10/09/15,96200.0,4.81,4.81,4.81,4.81
11/09/15,4850.0,4.85,4.85,4.85,4.85
14/09/15,1245330.0,4.8,4.77,4.8,4.77
15/09/15,130230.0,4.77,4.8,4.86,4.77
15/09/15,130230.0,4.77,4.8,4.86,4.77
15/09/15,130230.0,4.77,4.8,4.86,4.77
16/09/15,1367480.0,4.8,4.78,4.8,4.78
18/09/15,482080.0,4.79,4.87,4.87,4.76
22/09/15,38670.0,4.8,4.9,4.9,4.8
23/09/15,19280.0,4.77,4.91,4.91,4.77
24/09/15,57390.0,4.77,4.8,4.8,4.77
28/09/15,14850.0,4.95,4.95,4.95,4.95
29/09/15,114900.0,4.96,5.0,5.0,4.96
30/09/15,239741.0,5.0,5.0,5.1,4.99
01/10/15,212810.0,5.03,5.05,5.05,4.98
02/10/15,100300.0,5.03,5.0,5.03,5.0
05/10/15,301000.0,5.0,5.0,5.0,5.0
06/10/15,240000.0,5.0,5.0,5.0,4.8
08/10/15,273483.0,4.9,5.03,5.03,4.9
09/10/15,113000.0,5.0,5.0,5.0,5.0
12/10/15,180892.0,5.0,5.03,5.03,5.0
13/10/15,1008.0,5.04,5.04,5.04,5.04
14/10/15,189000.0,5.04,5.04,5.04,5.04
15/10/15,816147.0,5.0,5.02,5.11,5.0
16/10/15,51704.0,5.01,5.02,5.02,5.01
19/10/15,233578.0,5.02,5.06,5.06,5.0
20/10/15,1003.9999999999999,5.02,5.02,5.02,5.02
21/10/15,584886.0,5.05,5.06,5.06,5.05
22/10/15,507.0,5.07,5.07,5.07,5.07
23/10/15,796391.0,5.07,5.05,5.11,5.05
26/10/15,641257.0,5.1,5.15,5.15,5.1
27/10/15,115316.0,5.15,5.05,5.16,5.05
28/10/15,18254.0,5.06,5.16,5.16,5.06
29/10/15,17860.0,5.16,5.08,5.16,5.08
30/10/15,2056.0,5.16,5.08,5.16,5.08
02/11/15,310896.0,5.08,5.08,5.08,5.08
03/11/15,191877.0,5.07,5.13,5.13,5.07
04/11/15,187655.0,5.13,5.13,5.16,5.13
05/11/15,74915.0,5.15,5.1,5.15,5.07
06/11/15,209432854.0,5.1,5.1,5.1,5.08
09/11/15,2535.0,5.07,5.07,5.07,5.07
10/11/15,77840.0,5.07,5.1,5.1,5.07
11/11/15,325098.0,5.07,5.1,5.1,5.07
12/11/15,26520.0,5.1,5.1,5.1,5.1
13/11/15,167474822.0,5.1,5.1,5.12,5.1
17/11/15,1530.0,5.1,5.1,5.1,5.1
20/11/15,55880.0,5.08,5.08,5.08,5.08
23/11/15,28280.0,5.05,5.05,5.05,5.05
24/11/15,22950.0,5.1,5.1,5.1,5.1
26/11/15,27540.0,5.1,5.1,5.1,5.1
27/11/15,42696.0,5.06,5.1,5.1,5.06
01/12/15,18685.0,5.05,5.05,5.05,5.05
07/12/15,163614920.0,5.11,5.15,5.15,5.1
08/12/15,29698.000000000004,5.15,5.11,5.15,5.11
09/12/15,5060.0,5.06,5.06,5.06,5.06
10/12/15,26570.0,5.06,5.12,5.12,5.06
11/12/15,13640.0,4.2,5.12,5.12,4.2
15/12/15,258849.0,4.85,4.83,5.0,4.82
16/12/15,10300.0,5.15,5.15,5.15,5.15
17/12/15,26780.0,5.15,5.15,5.15,5.15
18/12/15,4470.0,4.82,5.15,5.15,4.82
21/12/15,1533.0000000000002,5.11,5.11,5.11,5.11
22/12/15,303126.0,5.04,4.65,5.06,4.65
23/12/15,229620.0,5.0,5.0,5.0,4.9
29/12/15,153670.0,5.0,5.18,5.2,5.0
04/01/16,57932.0,5.18,4.9,5.18,4.9
05/01/16,10000.0,5.0,5.0,5.0,5.0
06/01/16,239800.0,5.0,4.8,5.0,4.8
07/01/16,9800.0,4.8,5.0,5.0,4.8
08/01/16,19400.0,4.8,5.0,5.0,4.8
11/01/16,82530.0,4.8,4.75,4.8,4.75
12/01/16,224980.0,4.75,4.76,4.8,4.75
13/01/16,5000.0,5.0,5.0,5.0,5.0
15/01/16,27325.0,4.75,5.0,5.0,4.75
18/01/16,9940.0,4.6,5.0,5.0,4.6
19/01/16,176550.0,4.95,5.0,5.0,4.7
20/01/16,759747.0,4.9,4.6,4.9,4.6
21/01/16,3365100.0,4.5,4.3,4.5,4.3
22/01/16,331630.0,4.2,4.6,4.6,4.2
26/01/16,13800.0,4.6,4.6,4.6,4.6
27/01/16,59500.0,4.6,4.5,4.6,4.5
28/01/16,288610.0,4.55,4.41,4.6,4.41
29/01/16,531700.0,4.6,4.6,4.6,4.45
01/02/16,276000.0,4.6,4.6,4.6,4.6
03/02/16,73260.0,4.6,4.43,4.6,4.43
04/02/16,265800.0,4.43,4.43,4.43,4.43
05/02/16,54000.0,4.5,4.5,4.5,4.5
10/02/16,4194690.0,4.5,4.75,4.75,4.5
11/02/16,57600.0,4.8,4.8,4.8,4.8
15/02/16,60050.0,4.6,4.75,4.75,4.5
16/02/16,1068640.0,4.62,4.5,4.62,4.5
17/02/16,567450.0,4.5,4.45,4.5,4.45
18/02/16,1246150.0,4.45,4.45,4.46,4.45
19/02/16,98730.0,4.75,4.7,4.75,4.69
22/02/16,443690.0,4.6,4.75,4.75,4.6
23/02/16,8119850.0,4.75,5.0,5.0,4.75
24/02/16,5650972.0,5.05,5.2,5.2,4.65
26/02/16,6956215.0,5.2,5.29,5.29,5.2
29/02/16,1768088.0,5.29,5.3,5.3,5.27
01/03/16,1288216.0,5.3,5.31,5.31,5.25
02/03/16,911894.0,5.31,5.27,5.32,5.27
03/03/16,273382.0,5.3,5.3,5.3,5.27
04/03/16,1108530.0,5.33,5.26,5.33,5.1
