Date,Value,Open,Close,High,Low
27/08/15,72754.0,6.48,6.5,6.5,6.48
18/09/15,1240.0,6.4,6.0,6.4,6.0
05/11/15,9583.0,6.0,5.83,6.0,5.83
09/11/15,117000.0,5.85,5.85,5.85,5.85
08/12/15,65520.0,5.85,5.85,5.85,5.85
11/12/15,34569.0,5.01,5.01,5.01,5.01
29/12/15,60000.0,6.0,6.0,6.0,6.0
19/01/16,1200.0,6.0,6.0,6.0,6.0
02/02/16,54765.0,5.6,5.5,5.6,5.5
22/02/16,1797.0,5.99,5.99,5.99,5.99
04/04/16,551195.0,5.64,5.51,5.64,5.51
19/04/16,551.0,5.51,5.51,5.51,5.51
22/04/16,23971.0,5.99,6.0,6.0,5.99
25/04/16,54300.0,5.43,5.43,5.43,5.43
26/04/16,55000.0,5.5,5.5,5.5,5.5
27/04/16,1800.0,6.0,6.0,6.0,6.0
05/05/16,1082.0,5.41,5.41,5.41,5.41
16/05/16,5610.0,5.61,5.61,5.61,5.61
31/05/16,326610.0,5.73,5.73,5.73,5.73
06/06/16,573.0,5.73,5.73,5.73,5.73
07/06/16,598.0,5.98,5.98,5.98,5.98
13/06/16,79088.0,5.74,5.73,5.74,5.73
23/06/16,545.0,5.45,5.45,5.45,5.45
