Date,Value,Open,Close,High,Low
23/07/15,914.0,91.4,91.4,91.4,91.4
23/07/15,914.0,91.4,91.4,91.4,91.4
23/07/15,914.0,91.4,91.4,91.4,91.4
27/07/15,71550.0,71.55,71.55,71.55,71.55
28/07/15,9200.0,92.0,92.0,92.0,92.0
29/07/15,1820.0,91.0,91.0,91.0,91.0
30/07/15,43923880.0,91.0,91.0,91.0,91.0
31/07/15,1600.0,80.0,80.0,80.0,80.0
04/08/15,16210.0,81.05,81.05,81.05,81.05
06/08/15,10224.5,92.95,92.95,92.95,92.95
07/08/15,929.5,92.95,92.95,92.95,92.95
13/08/15,171898.5,92.5,92.95,92.95,92.5
14/08/15,111900.0,109.9,93.0,109.9,93.0
18/08/15,930.0,93.0,93.0,93.0,93.0
26/08/15,45990.0,91.95,92.0,92.0,91.95
28/08/15,60345.0,92.95,90.0,93.0,90.0
02/09/15,900.0,90.0,90.0,90.0,90.0
03/09/15,16155.0,81.05,80.5,81.05,80.5
07/09/15,21969.0,87.0,95.9,95.95,87.0
08/09/15,178824.0,92.45,95.95,95.95,92.45
09/09/15,498327.5,95.9,98.0,98.0,95.9
10/09/15,808.5,80.85,80.85,80.85,80.85
17/09/15,836.0,83.6,83.6,83.6,83.6
18/09/15,832.0,83.2,83.2,83.2,83.2
01/10/15,1663.0,83.15,83.15,83.15,83.15
12/10/15,14144.0,83.2,83.2,83.2,83.2
13/10/15,261405.0,83.25,83.25,83.25,83.25
15/10/15,137663.0,83.15,85.0,85.0,83.15
16/10/15,125632.0,83.2,83.2,83.2,83.2
22/10/15,9879.5,98.95,98.75,98.95,98.75
23/10/15,18087.5,98.75,95.0,98.75,95.0
26/10/15,12863.5,98.95,98.95,98.95,98.95
28/10/15,4500.0,90.0,90.0,90.0,90.0
29/10/15,52290.0,95.1,95.0,95.1,95.0
11/11/15,1900.0,95.0,95.0,95.0,95.0
13/11/15,1900.0,95.0,95.0,95.0,95.0
16/11/15,4949.5,99.0,98.95,99.0,98.95
20/11/15,98950.0,98.95,98.95,98.95,98.95
07/12/15,4750.0,95.0,95.0,95.0,95.0
08/12/15,167551.5,98.0,100.0,100.0,90.0
11/12/15,36400.0,91.0,91.0,91.0,91.0
14/12/15,9500.0,95.0,95.0,95.0,95.0
15/12/15,91100.0,91.1,91.1,91.1,91.1
16/12/15,39980.0,99.95,99.95,99.95,99.95
17/12/15,43200.0,90.0,90.0,90.0,90.0
23/12/15,103948.0,99.95,99.95,99.95,99.95
04/01/16,65967.0,99.95,99.95,99.95,99.95
05/01/16,60974.5,99.95,100.0,100.0,99.95
07/01/16,270630.0,100.0,99.0,100.0,99.0
12/01/16,9500.0,95.0,95.0,95.0,95.0
13/01/16,100000.0,100.0,100.0,100.0,100.0
15/01/16,10000.0,100.0,100.0,100.0,100.0
18/01/16,15750.0,105.0,105.0,105.0,105.0
20/01/16,35000.0,100.0,105.0,110.0,100.0
21/01/16,106100.0,105.0,110.0,110.0,105.0
