Date,Value,Open,Close,High,Low
15/07/15,3879.9999999999995,9.7,9.7,9.7,9.7
16/07/15,4160.0,10.4,10.4,10.4,10.4
20/07/15,1036.0,10.36,10.36,10.36,10.36
22/07/15,30982.0,10.3,10.32,10.34,10.3
23/07/15,1032.0,10.32,10.32,10.32,10.32
23/07/15,1032.0,10.32,10.32,10.32,10.32
23/07/15,1032.0,10.32,10.32,10.32,10.32
28/07/15,6357000.0,9.78,9.78,9.78,9.78
29/07/15,23744.0,10.32,10.36,10.36,10.32
03/08/15,15400.0,10.0,10.4,10.4,10.0
05/08/15,1046.0,10.46,10.46,10.46,10.46
06/08/15,9420.0,10.46,10.48,10.48,10.46
07/08/15,13730.0,10.0,9.79,10.0,9.79
10/08/15,4178.0,10.46,10.4,10.46,10.4
11/08/15,1962.0,9.81,9.81,9.81,9.81
12/08/15,26000.0,10.0,10.0,10.0,10.0
13/08/15,3000.0,10.0,10.0,10.0,10.0
14/08/15,15150.0,10.1,10.1,10.1,10.1
18/08/15,14280.0,8.0,9.9,9.9,8.0
19/08/15,5928.000000000001,9.88,9.88,9.88,9.88
24/08/15,6920.0,9.88,9.9,9.9,9.88
26/08/15,31402.0,10.0,9.5,10.0,9.5
27/08/15,9518.0,9.52,9.51,9.52,9.51
01/09/15,2011.0,9.75,10.36,10.36,9.75
02/09/15,16000.0,10.0,10.0,10.0,10.0
03/09/15,958.0,9.58,9.58,9.58,9.58
07/09/15,24844.0,10.36,10.26,10.36,10.26
08/09/15,4118.0,10.3,10.28,10.3,10.28
17/09/15,7060.0,10.1,10.0,10.1,10.0
18/09/15,9000.0,10.0,10.0,10.0,10.0
21/09/15,3922.0,10.1,10.0,10.1,9.55
22/09/15,40000.0,10.0,10.0,10.0,10.0
23/09/15,10957.0,9.57,10.0,10.0,9.57
28/09/15,35000.0,10.0,10.0,10.0,10.0
01/10/15,18964.0,10.0,9.96,10.0,9.96
08/10/15,1000.0,10.0,10.0,10.0,10.0
09/10/15,78560.0,9.82,9.82,9.82,9.82
13/10/15,317752.0,9.6,9.6,9.6,9.58
14/10/15,48960.0,9.6,9.6,9.6,9.6
15/10/15,171792.0,9.6,9.66,9.66,9.6
19/10/15,6665.0,9.55,9.51,9.55,9.51
21/10/15,12363.0,9.51,9.51,9.51,9.51
26/10/15,95000.0,9.5,9.5,9.5,9.5
27/10/15,9990.0,9.99,9.99,9.99,9.99
02/11/15,4995.0,9.99,9.99,9.99,9.99
05/11/15,8954.0,9.95,9.94,9.95,9.94
11/11/15,9510.0,9.51,9.51,9.51,9.51
12/11/15,19020.0,9.51,9.51,9.51,9.51
13/11/15,992.0,9.92,9.92,9.92,9.92
23/11/15,9920.0,9.92,9.92,9.92,9.92
25/11/15,4965.0,9.93,9.93,9.93,9.93
27/11/15,6903.0,9.5,9.92,9.93,9.5
01/12/15,12609.0,9.93,9.93,9.93,9.63
02/12/15,32766.0,9.93,9.99,9.99,9.0
03/12/15,100899.0,9.99,9.99,9.99,9.99
04/12/15,9992.0,9.99,10.0,10.0,9.99
07/12/15,3924.0,9.81,9.81,9.81,9.81
08/12/15,10000.0,10.0,10.0,10.0,10.0
10/12/15,1000.0,10.0,10.0,10.0,10.0
15/12/15,4940.000000000001,9.88,9.88,9.88,9.88
16/12/15,11416.0,9.51,9.51,9.53,9.51
23/12/15,55451.0,9.53,9.53,9.97,9.53
28/12/15,45014.0,9.53,9.93,9.93,9.51
29/12/15,2967.0,9.89,9.89,9.89,9.89
04/01/16,307570.0,9.84,9.56,9.84,9.56
05/01/16,26040.0,9.56,9.75,9.75,9.56
07/01/16,12394.0,9.5,9.75,9.75,9.5
08/01/16,5784.0,9.64,9.64,9.64,9.64
11/01/16,6451.0,8.33,9.57,9.57,8.33
12/01/16,34248.0,9.5,9.5,9.56,9.5
13/01/16,10457.0,9.5,9.57,9.57,9.5
14/01/16,82186.0,8.4,9.48,9.48,8.4
15/01/16,18932.0,9.46,9.48,9.48,9.46
19/01/16,7584.0,9.48,9.48,9.48,9.48
20/01/16,5662.0,9.45,9.42,9.45,9.42
21/01/16,31892.000000000004,9.38,9.38,9.38,9.38
25/01/16,1900.0,9.5,9.5,9.5,9.5
26/01/16,16150.0,9.5,9.5,9.5,9.5
