Date,Value,Open,Close,High,Low
15/07/15,4454400.0,18.32,18.3,18.32,18.0
16/07/15,5449950.0,18.2,18.36,18.36,18.2
20/07/15,1378984.0,18.4,18.36,18.4,18.3
21/07/15,5487020.0,18.32,18.3,18.4,18.26
22/07/15,2177938.0,18.34,18.26,18.34,18.26
23/07/15,3144546.0,18.26,18.24,18.4,18.24
23/07/15,3144546.0,18.26,18.24,18.4,18.24
23/07/15,3144546.0,18.26,18.24,18.4,18.24
24/07/15,3641235.9999999995,18.24,18.38,18.4,18.24
27/07/15,5245158.0,18.4,18.0,18.4,17.98
28/07/15,1606012.0,18.0,18.14,18.4,18.0
29/07/15,20649680.0,18.14,18.14,18.3,18.0
30/07/15,7528243.999999999,17.98,18.3,18.3,17.98
31/07/15,18705000.0,18.28,18.1,18.28,18.04
03/08/15,9490120.0,18.04,18.0,18.3,17.98
04/08/15,37889916.0,18.0,18.0,18.0,17.98
05/08/15,2400640.0,18.0,18.08,18.48,18.0
06/08/15,43191580.0,18.38,18.52,18.7,18.2
07/08/15,5457498.0,18.7,18.64,18.7,18.56
10/08/15,2940086.0,18.6,18.62,18.82,18.6
11/08/15,8030658.0,17.5,18.38,18.7,17.5
12/08/15,8677748.0,18.36,18.16,18.36,18.0
13/08/15,3548466.0,18.02,18.1,18.1,17.9
14/08/15,19386596.0,18.0,18.0,18.1,17.8
17/08/15,19107650.0,17.9,17.88,18.0,17.74
18/08/15,12210826.0,17.88,17.52,17.88,17.52
19/08/15,12224416.0,17.5,17.5,17.52,17.44
20/08/15,1637950.0,17.52,17.5,17.6,17.48
24/08/15,18241150.0,17.3,16.5,17.3,16.3
25/08/15,3805234.0,16.44,16.2,16.44,15.98
26/08/15,12355418.0,16.22,16.9,16.9,16.22
27/08/15,15485808.0,17.0,17.0,17.1,16.9
28/08/15,27884978.0,17.0,17.1,17.28,17.0
01/09/15,26020922.0,17.1,16.98,17.6,16.8
02/09/15,15837036.0,16.62,16.98,17.0,16.62
03/09/15,3489450.0,17.0,17.0,17.62,16.96
04/09/15,14858090.0,17.0,16.9,17.2,16.9
07/09/15,40894946.0,17.0,16.6,17.0,16.6
08/09/15,1239396.0,16.68,16.58,17.0,16.5
09/09/15,2800262.0,16.56,17.02,17.18,16.56
10/09/15,413296.0,17.02,16.98,17.04,16.98
11/09/15,163056.0,16.98,17.04,17.04,16.98
14/09/15,193224.0,16.96,16.98,16.98,16.84
15/09/15,13241652.0,17.1,17.0,17.1,16.98
15/09/15,13241652.0,17.1,17.0,17.1,16.98
15/09/15,13241652.0,17.1,17.0,17.1,16.98
16/09/15,2968318.0,17.0,17.0,17.0,16.96
17/09/15,6953674.0,17.0,17.0,17.0,16.96
18/09/15,2717900.0,17.0,17.0,17.0,16.98
21/09/15,1108354.0,17.0,16.98,17.0,16.9
22/09/15,6319736.0,16.96,16.86,17.0,16.5
23/09/15,699080.0,16.96,16.76,16.96,16.76
24/09/15,5464886.0,16.82,16.76,16.82,16.76
28/09/15,5681558.0,16.64,16.62,16.8,16.56
29/09/15,679674.0,16.6,16.6,16.66,16.6
30/09/15,4184062.0,16.86,16.48,16.86,16.48
01/10/15,6610312.0,16.5,16.4,16.58,16.4
02/10/15,194782.0,16.7,16.62,16.7,16.62
05/10/15,2057396.0,16.62,16.74,16.76,16.58
06/10/15,23083784.0,16.76,16.72,16.8,16.72
07/10/15,45774216.0,16.7,16.72,16.74,16.7
08/10/15,1791704.0,16.74,16.9,16.9,16.72
09/10/15,503626.0,16.9,16.82,16.9,16.82
12/10/15,29435906.0,16.86,16.8,16.86,16.8
13/10/15,8357042.0,16.8,16.78,16.8,16.76
14/10/15,13654894.0,16.78,16.7,16.78,16.68
15/10/15,27215924.0,16.7,16.7,16.8,16.52
16/10/15,1351030.0,16.5,16.76,16.78,16.5
19/10/15,4566110.0,16.6,16.9,16.9,16.6
20/10/15,9095158.0,16.9,16.98,16.98,16.84
21/10/15,3145536.0,16.98,17.0,17.0,16.86
22/10/15,39710588.0,17.0,17.0,17.02,16.96
23/10/15,7005288.0,17.0,16.98,17.02,16.94
26/10/15,495614.0,16.98,16.9,16.98,16.86
28/10/15,14289402.0,17.2,17.34,17.5,17.1
29/10/15,43407600.0,17.4,17.32,17.46,17.0
30/10/15,24346842.0,17.3,17.3,17.32,17.26
02/11/15,15433950.0,17.3,17.3,18.0,17.3
03/11/15,2358388.0,17.3,17.5,17.5,17.3
04/11/15,5499466.0,17.98,17.52,17.98,17.48
05/11/15,13391916.0,17.5,18.0,18.0,17.5
06/11/15,18481840.0,18.0,17.9,18.0,17.76
09/11/15,59543260.0,17.8,17.74,17.84,17.72
10/11/15,32724580.0,17.74,17.7,17.78,17.66
11/11/15,1896830.0,17.5,18.0,18.0,17.5
12/11/15,3192380.0,18.0,17.98,18.0,17.7
13/11/15,5575808.0,17.98,18.32,18.36,17.7
16/11/15,9937728.0,18.32,17.7,18.32,17.7
17/11/15,8287428.0,17.64,17.66,18.2,17.64
20/11/15,4865588.0,17.7,17.6,17.7,17.6
23/11/15,1173738.0,17.54,17.52,17.54,17.46
24/11/15,549510.0,17.6,17.62,17.98,17.1
25/11/15,5396965.999999999,17.58,17.56,17.58,17.56
26/11/15,131214.0,17.56,17.46,17.56,17.42
27/11/15,2749370.0,17.4,17.2,17.4,17.18
01/12/15,791534.0,17.02,17.4,17.6,17.02
02/12/15,13249130.0,17.4,17.28,17.5,17.2
03/12/15,2577686.0,17.28,17.2,17.28,17.2
04/12/15,652698.0,17.2,17.18,17.2,17.16
07/12/15,4371314.0,17.2,17.2,17.26,17.12
08/12/15,4611702.0,17.2,17.0,17.2,16.9
09/12/15,9823242.0,17.02,16.78,17.02,16.7
10/12/15,3542624.0,16.78,16.64,16.8,16.62
11/12/15,1615620.0,16.8,16.78,16.8,16.74
14/12/15,1291818.0,16.8,16.6,16.8,16.6
15/12/15,6692650.0,16.6,16.24,16.6,16.24
16/12/15,14343388.0,16.48,16.5,16.5,16.36
17/12/15,6298168.0,16.48,16.78,16.86,16.48
18/12/15,7841584.0,16.78,16.62,16.78,16.6
21/12/15,3004296.0,16.7,16.5,16.7,16.4
22/12/15,2696798.0,16.6,16.32,16.6,16.28
23/12/15,1392726.0,16.6,16.54,16.64,16.4
28/12/15,837976.0,16.56,16.5,16.6,16.48
29/12/15,2357290.0,16.6,16.48,16.64,16.48
04/01/16,1930716.0,16.48,16.44,16.56,16.44
05/01/16,5910742.0,16.44,16.38,16.44,16.32
06/01/16,8597976.0,16.4,16.28,16.42,16.28
07/01/16,31893468.0,16.26,16.0,16.26,16.0
08/01/16,7247300.0,16.0,16.0,16.2,15.9
11/01/16,3459858.0,16.0,15.48,16.0,15.4
12/01/16,9377440.0,15.48,15.0,15.52,14.98
13/01/16,57376200.0,15.0,14.96,15.0,14.96
14/01/16,63061846.0,14.98,14.84,14.98,14.78
15/01/16,15149348.0,14.84,15.14,15.14,14.84
18/01/16,4823800.0,15.1,14.96,15.1,14.96
19/01/16,5007034.0,14.96,15.0,15.16,14.96
20/01/16,7395730.0,15.08,15.1,15.2,15.0
21/01/16,1507260.0,15.2,15.1,15.28,15.02
22/01/16,1505740.0,15.12,15.9,15.9,15.0
25/01/16,20286948.0,15.88,16.1,16.28,15.6
26/01/16,3705242.0,16.0,16.22,16.22,16.0
27/01/16,7706242.0,16.3,15.7,16.48,15.7
28/01/16,8199702.0,15.72,15.54,16.0,15.5
29/01/16,2499432.0,15.56,15.58,15.7,15.56
01/02/16,4134334.0,15.6,15.6,16.78,15.58
02/02/16,22407084.0,16.0,15.9,16.0,15.5
03/02/16,772878.0,16.34,16.02,16.34,15.8
04/02/16,2394636.0,15.9,16.0,16.02,15.9
05/02/16,6610024.0,16.32,16.32,16.5,16.3
09/02/16,31195090.0,16.38,16.32,16.48,16.3
10/02/16,33645956.0,16.34,16.48,16.48,16.32
11/02/16,4343264.0,16.32,16.8,16.8,16.32
12/02/16,4556870.0,16.8,16.98,17.0,16.5
15/02/16,19060432.0,16.98,17.0,17.04,16.9
16/02/16,43905362.0,17.0,17.2,17.4,17.0
17/02/16,3944842.0,17.32,17.34,17.4,17.32
18/02/16,741442.0,17.4,17.36,17.4,17.3
19/02/16,3354242.0,17.34,17.52,17.58,17.0
22/02/16,4838852.0,17.5,17.6,17.68,17.48
23/02/16,10354418.0,17.6,17.5,17.6,17.06
24/02/16,14235414.0,17.58,17.5,17.58,17.4
26/02/16,2814572.0,17.56,17.6,17.7,17.5
29/02/16,9102576.0,17.6,17.76,17.82,17.6
01/03/16,5967120.0,17.8,17.8,17.84,17.78
02/03/16,119600074.0,17.8,17.6,17.9,17.5
03/03/16,1917328.0,17.6,17.6,17.7,17.6
04/03/16,18206690.0,17.6,17.6,17.68,17.5
07/03/16,20535700.0,17.6,17.6,17.72,17.46
08/03/16,2893654.0,17.6,17.62,17.62,17.6
09/03/16,8215152.0,17.66,17.8,17.9,17.62
10/03/16,19888434.0,17.9,17.78,17.94,17.76
11/03/16,8174020.0,17.96,17.9,17.96,17.8
14/03/16,75363244.0,17.8,18.1,18.3,17.8
15/03/16,5045240.0,18.2,18.1,18.3,18.1
16/03/16,45450812.0,18.1,18.2,18.3,18.02
17/03/16,7085052.0,18.34,18.64,18.64,18.2
18/03/16,55164454.0,18.62,19.0,19.04,18.1
21/03/16,24156352.0,19.0,18.98,19.06,18.94
22/03/16,6768974.0,18.98,18.6,18.98,18.5
23/03/16,17739392.0,18.6,18.62,18.68,18.6
28/03/16,14426860.0,18.64,18.62,18.8,18.6
29/03/16,25846274.0,18.62,18.6,19.0,18.5
30/03/16,69507108.0,18.6,18.62,18.7,18.54
31/03/16,6816740.0,18.62,19.0,19.0,18.6
01/04/16,3942262.0,19.0,19.0,19.0,18.86
04/04/16,3955484.0,18.86,19.0,19.0,18.6
05/04/16,12724060.0,19.0,18.8,19.0,18.7
06/04/16,20242810.0,18.7,18.68,18.8,18.62
07/04/16,3848156.0,18.62,18.62,18.66,18.6
08/04/16,4818166.0,18.64,18.68,18.8,18.64
11/04/16,1458298.0,18.68,18.68,18.8,18.68
12/04/16,92006530.0,18.7,18.78,18.98,18.68
13/04/16,68048142.0,18.78,18.82,18.9,18.78
14/04/16,26080348.0,18.82,19.0,19.12,18.82
15/04/16,75732914.0,18.9,19.02,19.1,18.8
18/04/16,39474642.0,19.0,19.44,19.6,19.0
19/04/16,7689942.0,19.46,19.12,19.46,19.12
20/04/16,8894742.0,19.12,19.2,19.24,19.1
21/04/16,4166814.0,19.2,19.18,19.22,19.0
22/04/16,501054.0,18.9,19.0,19.0,18.9
25/04/16,4472266.0,19.0,18.88,19.0,18.7
26/04/16,13236608.0,18.88,18.94,19.0,18.84
27/04/16,17175940.0,18.82,18.86,19.0,18.8
28/04/16,16215126.0,18.82,18.9,18.9,18.82
29/04/16,1394102.0,18.84,18.9,18.92,18.84
02/05/16,7911578.0,18.86,18.86,18.88,18.82
03/05/16,12913574.0,18.88,18.88,18.9,18.88
04/05/16,5026532.0,18.72,18.98,18.98,18.72
05/05/16,11968768.0,18.98,19.08,19.2,18.98
06/05/16,20217390.0,19.08,19.12,19.12,19.02
06/05/16,20217390.0,19.08,19.12,19.12,19.02
10/05/16,14752354.0,19.14,19.84,19.9,19.12
11/05/16,32518098.0,19.86,20.1,20.35,19.86
12/05/16,36111212.0,20.1,19.98,20.1,19.9
13/05/16,40299115.0,20.35,20.5,20.8,20.3
16/05/16,5034145.0,20.55,20.8,20.8,20.5
17/05/16,16348750.0,20.9,21.0,21.3,20.85
18/05/16,23799010.0,20.9,21.05,21.05,20.5
19/05/16,11938200.0,21.15,21.75,22.1,21.05
20/05/16,49051375.0,21.75,21.3,21.75,20.65
23/05/16,35772065.0,21.25,21.85,21.95,21.25
24/05/16,27635970.0,21.85,21.95,22.0,21.6
25/05/16,53950245.0,21.95,21.9,22.0,21.5
26/05/16,6898535.0,21.9,21.95,22.0,21.7
27/05/16,7050550.0,21.9,21.8,21.9,21.8
30/05/16,7648435.0,21.8,21.35,21.95,21.0
31/05/16,116526260.0,21.2,22.1,22.1,21.0
01/06/16,20887770.0,22.1,21.35,22.2,21.2
02/06/16,1086685.0,21.5,21.25,21.5,21.25
03/06/16,7967385.0,21.25,21.4,21.45,21.25
06/06/16,21132440.0,21.6,22.0,22.15,21.6
07/06/16,6932575.0,22.0,21.95,22.2,21.8
08/06/16,3635330.0,21.9,22.0,22.0,21.85
09/06/16,5901635.0,22.0,21.75,22.0,21.5
10/06/16,6523280.0,21.85,21.5,21.85,21.5
13/06/16,4025125.0,21.5,21.55,21.6,21.35
14/06/16,5316505.0,21.6,21.55,21.7,21.4
15/06/16,18870755.0,21.55,21.05,21.6,21.05
16/06/16,11586400.0,21.1,21.4,21.7,21.05
17/06/16,15733690.0,21.4,21.5,22.0,21.4
20/06/16,13210830.0,21.5,21.4,21.5,21.35
21/06/16,14986175.0,21.5,21.45,21.6,21.35
22/06/16,35060070.0,21.5,21.55,21.6,21.35
23/06/16,10578080.0,21.55,21.5,22.05,21.5
24/06/16,32194695.0,21.95,21.2,22.0,20.95
27/06/16,4837870.0,21.2,21.35,21.5,21.0
28/06/16,3368380.0,21.75,21.75,21.8,21.35
29/06/16,10577340.0,21.8,21.7,22.0,21.7
30/06/16,29843140.0,21.7,21.85,22.15,21.6
01/07/16,40345020.0,22.0,22.2,22.75,22.0
04/07/16,79429165.0,22.3,23.5,23.5,22.2
05/07/16,117528330.0,23.5,24.3,24.8,23.5
07/07/16,13215185.0,24.5,24.0,24.7,23.85
08/07/16,315404065.0,22.5,22.65,23.6,22.4
11/07/16,108208110.0,23.0,23.55,23.75,22.9
12/07/16,85400090.0,16.0,16.18,17.0,15.9
13/07/16,24353798.0,16.5,16.22,16.5,16.2
14/07/16,40903504.0,16.24,16.08,16.28,16.08
