Date,Value,Open,Close,High,Low
15/07/15,3923750.0,0.88,0.85,0.88,0.85
16/07/15,2182040.0,0.87,0.85,0.87,0.85
20/07/15,755650.0,0.84,0.86,0.86,0.84
21/07/15,968040.0,0.84,0.84,0.86,0.84
22/07/15,696060.0,0.84,0.83,0.84,0.82
23/07/15,8319270.0,0.82,0.77,0.82,0.75
23/07/15,8319270.0,0.82,0.77,0.82,0.75
23/07/15,8319270.0,0.82,0.77,0.82,0.75
24/07/15,2640790.0,0.78,0.77,0.79,0.76
27/07/15,1125800.0,0.77,0.73,0.77,0.73
28/07/15,149380.0,0.73,0.75,0.75,0.73
29/07/15,1184490.0,0.75,0.73,0.75,0.73
30/07/15,1052010.0,0.73,0.71,0.74,0.71
31/07/15,1157400.0,0.73,0.71,0.73,0.7
03/08/15,547360.0,0.73,0.7,0.73,0.7
04/08/15,1401480.0,0.69,0.67,0.69,0.65
05/08/15,1484160.0,0.67,0.7,0.71,0.67
06/08/15,3772470.0,0.7,0.71,0.77,0.7
07/08/15,775490.0,0.72,0.7,0.73,0.7
10/08/15,5864410.0,0.69,0.64,0.69,0.64
11/08/15,1595830.0,0.65,0.65,0.67,0.64
12/08/15,556160.0,0.65,0.65,0.66,0.64
13/08/15,577240.0,0.67,0.67,0.68,0.66
14/08/15,539360.0,0.67,0.67,0.68,0.67
17/08/15,3748390.0,0.66,0.6,0.66,0.6
18/08/15,176440.0,0.62,0.64,0.64,0.62
19/08/15,95930.0,0.62,0.61,0.65,0.61
20/08/15,763450.0,0.61,0.63,0.63,0.6
24/08/15,828300.0,0.63,0.62,0.63,0.56
25/08/15,555190.0,0.59,0.65,0.65,0.56
26/08/15,1246720.0,0.66,0.68,0.68,0.63
27/08/15,1750270.0,0.68,0.69,0.69,0.67
28/08/15,920500.0,0.69,0.71,0.71,0.68
01/09/15,1374930.0,0.7,0.72,0.72,0.69
02/09/15,1389180.0,0.7,0.72,0.72,0.68
03/09/15,3020670.0,0.72,0.73,0.77,0.72
04/09/15,3765000.0,0.72,0.71,0.72,0.7
07/09/15,50590.0,0.71,0.71,0.71,0.69
08/09/15,67580.0,0.72,0.7,0.74,0.7
09/09/15,1129720.0,0.69,0.74,0.74,0.69
11/09/15,164630.0,0.71,0.73,0.73,0.7
14/09/15,1543630.0,0.71,0.73,0.73,0.68
15/09/15,180680.0,0.71,0.7,0.71,0.7
15/09/15,180680.0,0.71,0.7,0.71,0.7
15/09/15,180680.0,0.71,0.7,0.71,0.7
16/09/15,464870.0,0.7,0.74,0.74,0.7
17/09/15,627000.0,0.73,0.71,0.73,0.69
18/09/15,105570.0,0.69,0.69,0.69,0.69
21/09/15,525520.0,0.7,0.74,0.74,0.69
22/09/15,347480.0,0.71,0.75,0.75,0.71
23/09/15,259850.0,0.75,0.75,0.75,0.71
24/09/15,829440.0,0.72,0.75,0.75,0.69
28/09/15,507490.0,0.74,0.75,0.75,0.71
29/09/15,415430.0,0.71,0.7,0.73,0.7
30/09/15,112000.0,0.7,0.7,0.7,0.7
01/10/15,600630.0,0.7,0.75,0.75,0.7
