Date,Value,Open,Close,High,Low
15/07/15,1328960.0,0.85,0.86,0.86,0.85
16/07/15,1320820.0,0.86,0.85,0.86,0.85
20/07/15,4301570.0,0.86,0.85,0.86,0.85
21/07/15,2965240.0,0.86,0.84,0.86,0.84
22/07/15,1734650.0,0.83,0.84,0.85,0.83
23/07/15,1095640.0,0.86,0.85,0.86,0.83
23/07/15,1095640.0,0.86,0.85,0.86,0.83
23/07/15,1095640.0,0.86,0.85,0.86,0.83
24/07/15,726180.0,0.86,0.84,0.86,0.83
27/07/15,714960.0,0.84,0.84,0.85,0.83
28/07/15,3158670.0,0.84,0.81,0.84,0.81
29/07/15,960210.0,0.81,0.82,0.83,0.81
30/07/15,250810.0,0.82,0.84,0.84,0.82
31/07/15,382570.0,0.83,0.83,0.84,0.82
03/08/15,344530.0,0.83,0.82,0.84,0.82
04/08/15,943140.0,0.83,0.82,0.83,0.82
05/08/15,1072890.0,0.82,0.83,0.84,0.82
06/08/15,2212290.0,0.83,0.82,0.83,0.81
07/08/15,744900.0,0.83,0.81,0.83,0.81
10/08/15,1258940.0,0.81,0.82,0.83,0.81
11/08/15,1723020.0,0.82,0.81,0.82,0.8
12/08/15,465440.0,0.81,0.81,0.82,0.8
13/08/15,725570.0,0.81,0.81,0.81,0.8
14/08/15,1921720.0,0.81,0.8,0.81,0.8
17/08/15,4204610.0,0.81,0.78,0.81,0.78
18/08/15,2618750.0,0.79,0.77,0.79,0.77
19/08/15,1340280.0,0.77,0.78,0.78,0.77
20/08/15,540950.0,0.78,0.77,0.79,0.77
24/08/15,10675980.0,0.77,0.65,0.77,0.65
25/08/15,4174220.0,0.63,0.62,0.64,0.55
26/08/15,3673120.0,0.62,0.66,0.68,0.62
27/08/15,3001100.0,0.7,0.72,0.72,0.69
28/08/15,3864410.0,0.72,0.72,0.77,0.7
01/09/15,1429880.0,0.71,0.71,0.72,0.68
02/09/15,10126140.0,0.69,0.68,0.7,0.65
03/09/15,1166610.0,0.7,0.68,0.7,0.68
04/09/15,3899240.0,0.66,0.66,0.67,0.65
07/09/15,5429400.0,0.66,0.63,0.66,0.6
08/09/15,1469510.0,0.64,0.64,0.65,0.62
09/09/15,1401930.0,0.65,0.63,0.65,0.63
10/09/15,941350.0,0.64,0.63,0.64,0.62
11/09/15,1168900.0,0.62,0.63,0.65,0.62
14/09/15,1794870.0,0.64,0.63,0.65,0.63
15/09/15,1054890.0,0.63,0.64,0.65,0.63
15/09/15,1054890.0,0.63,0.64,0.65,0.63
15/09/15,1054890.0,0.63,0.64,0.65,0.63
16/09/15,1905020.0,0.65,0.65,0.66,0.64
17/09/15,1605070.0,0.65,0.64,0.66,0.63
18/09/15,14959830.0,0.64,0.58,0.65,0.58
21/09/15,3336050.0,0.6,0.6,0.61,0.59
22/09/15,712040.0,0.61,0.6,0.61,0.59
23/09/15,2983430.0,0.62,0.58,0.62,0.58
24/09/15,4120360.0,0.6,0.57,0.6,0.57
28/09/15,5257140.0,0.57,0.56,0.59,0.55
29/09/15,2108160.0,0.56,0.57,0.58,0.55
30/09/15,660170.0,0.57,0.58,0.58,0.57
01/10/15,1090450.0,0.59,0.59,0.6,0.57
02/10/15,383290.0,0.6,0.59,0.6,0.58
05/10/15,1486840.0,0.59,0.58,0.59,0.57
06/10/15,1884930.0,0.57,0.58,0.59,0.56
07/10/15,453310.0,0.58,0.59,0.59,0.57
08/10/15,6854330.0,0.59,0.61,0.63,0.58
09/10/15,7664640.0,0.63,0.63,0.65,0.62
12/10/15,2947160.0,0.64,0.62,0.64,0.61
13/10/15,2233310.0,0.62,0.62,0.63,0.61
14/10/15,667290.0,0.62,0.61,0.62,0.61
15/10/15,1068340.0,0.61,0.62,0.62,0.61
16/10/15,1616690.0,0.62,0.61,0.62,0.6
19/10/15,1495010.0,0.62,0.6,0.62,0.6
20/10/15,1262660.0,0.6,0.61,0.61,0.59
21/10/15,1999190.0,0.61,0.6,0.62,0.6
22/10/15,12469970.0,0.62,0.58,0.62,0.58
23/10/15,3581670.0,0.6,0.59,0.6,0.59
26/10/15,3145660.0,0.6,0.61,0.61,0.59
27/10/15,2673940.0,0.61,0.6,0.61,0.59
28/10/15,887140.0,0.6,0.6,0.61,0.59
29/10/15,1021590.0,0.61,0.6,0.61,0.59
30/10/15,3043760.0,0.6,0.61,0.61,0.59
02/11/15,880850.0,0.6,0.61,0.61,0.59
03/11/15,1896490.0,0.6,0.61,0.61,0.59
04/11/15,1244120.0,0.6,0.6,0.61,0.6
05/11/15,644580.0,0.6,0.6,0.6,0.59
06/11/15,339950.0,0.6,0.6,0.61,0.59
09/11/15,1777950.0,0.59,0.59,0.6,0.59
