Date,Value,Open,Close,High,Low
15/07/15,105342.0,199.0,194.8,199.0,160.0
28/07/15,22899.0,175.0,189.9,189.9,175.0
29/07/15,1870.0,187.0,187.0,187.0,187.0
12/08/15,54960.0,150.0,183.0,183.0,135.0
19/08/15,67843.0,150.0,170.0,179.0,120.0
26/08/15,110210.0,150.0,126.0,150.0,120.0
02/09/15,60650.0,126.0,127.0,140.0,126.0
03/09/15,7620.0,127.0,127.0,127.0,127.0
21/09/15,5200.0,130.0,130.0,130.0,130.0
05/10/15,4575.0,91.5,91.5,91.5,91.5
06/10/15,10462.5,94.05,96.0,96.0,94.05
07/10/15,1941.0,97.05,97.05,97.05,97.05
12/10/15,2100.0,105.0,105.0,105.0,105.0
15/10/15,2120.0,106.0,106.0,106.0,106.0
20/10/15,11550.0,105.0,105.0,105.0,105.0
22/10/15,1050.0,105.0,105.0,105.0,105.0
04/11/15,1060.0,106.0,106.0,106.0,106.0
24/11/15,9210.0,92.1,92.1,92.1,92.1
25/11/15,9500.0,95.0,95.0,95.0,95.0
11/12/15,1950.0,95.0,100.0,100.0,95.0
29/01/16,4000.0,95.0,105.0,105.0,95.0
03/02/16,2140.0,107.0,107.0,107.0,107.0
23/02/16,2140.0,107.0,107.0,107.0,107.0
26/02/16,1932.0,96.2,97.0,97.0,96.2
04/03/16,970.0,97.0,97.0,97.0,97.0
17/03/16,14220.0,111.0,120.0,120.0,111.0
28/03/16,18180.0,127.0,135.0,135.0,127.0
29/03/16,498150.0,161.9,202.0,202.0,161.9
30/03/16,123020.0,303.0,190.0,303.0,190.0
31/03/16,272150.0,240.0,230.0,240.0,230.0
04/04/16,84420.0,140.0,160.0,160.0,130.0
05/04/16,142487.0,170.0,200.0,200.0,170.0
07/04/16,65560.0,200.0,204.0,260.0,200.0
08/04/16,22750.0,207.0,205.0,207.0,205.0
11/04/16,53950.0,200.0,170.0,200.0,166.0
12/04/16,83355.0,171.0,170.0,171.0,170.0
13/04/16,91200.0,169.0,165.0,170.0,165.0
14/04/16,13280.0,166.0,166.0,166.0,166.0
15/04/16,67601.0,170.0,178.9,178.9,160.0
19/04/16,8925.0,178.5,178.5,178.5,178.5
20/04/16,8030.0,160.0,161.0,161.0,160.0
21/04/16,11684.0,160.0,136.1,160.0,135.1
25/04/16,1360.0,136.0,136.0,136.0,136.0
27/04/16,6750.0,135.0,135.0,135.0,135.0
29/04/16,2701.0,135.1,135.0,135.1,135.0
02/05/16,16200.0,135.0,135.0,135.0,135.0
04/05/16,10750.0,135.0,130.0,135.0,130.0
11/05/16,9700.0,130.0,120.0,130.0,120.0
12/05/16,3620.0,121.0,120.0,121.0,120.0
31/05/16,6900.0,115.0,115.0,115.0,115.0
07/06/16,225945.0,140.0,172.5,172.5,140.0
08/06/16,335319.0,200.0,190.0,235.0,175.1
09/06/16,170426.0,199.0,171.0,204.0,165.0
10/06/16,43850.0,160.0,165.0,165.0,160.0
13/06/16,3300.0,165.0,165.0,165.0,165.0
14/06/16,23201.0,150.0,135.1,150.0,135.0
15/06/16,2840.0,142.0,142.0,142.0,142.0
16/06/16,1420.0,142.0,142.0,142.0,142.0
17/06/16,1400.0,140.0,140.0,140.0,140.0
29/06/16,80735.0,145.0,188.0,190.0,145.0
30/06/16,81050.0,160.0,170.0,180.0,160.0
01/07/16,10500.0,175.0,175.0,175.0,175.0
04/07/16,30360.0,140.1,153.5,153.5,140.1
08/07/16,7750.0,155.0,155.0,155.0,155.0
11/07/16,13720.0,152.1,152.5,153.0,152.1
12/07/16,56399.0,155.0,169.9,170.0,155.0
13/07/16,1699.0,169.9,169.9,169.9,169.9
