Date,Value,Open,Close,High,Low
15/07/15,3275870.0,45.65,45.65,45.65,45.6
16/07/15,5845970.0,45.6,45.6,45.7,45.6
20/07/15,3651570.0,45.6,45.6,45.65,45.5
21/07/15,1549250.0,45.6,45.65,45.65,45.5
22/07/15,232050.0,45.5,45.5,45.5,45.5
23/07/15,4602335.0,45.75,45.7,46.0,45.6
23/07/15,4602335.0,45.75,45.7,46.0,45.6
23/07/15,4602335.0,45.75,45.7,46.0,45.6
24/07/15,2635490.0,45.7,45.7,45.8,45.5
27/07/15,1580250.0,45.4,45.7,45.7,45.4
28/07/15,3696085.0,45.5,45.9,46.0,45.5
29/07/15,3035020.0,46.0,46.05,46.35,45.55
30/07/15,2327575.0,46.1,46.25,46.35,46.1
31/07/15,3381335.0,46.5,46.3,46.75,46.3
03/08/15,7209945.0,46.55,46.8,46.8,46.45
04/08/15,6369355.0,46.5,46.8,46.8,46.45
05/08/15,2830125.0,46.6,47.0,47.0,46.6
06/08/15,4409390.0,47.2,47.1,47.3,47.05
07/08/15,5506345.0,43.1,43.5,43.6,43.0
10/08/15,1814410.0,43.5,43.5,43.55,43.3
11/08/15,3753340.0,43.5,43.3,43.5,43.3
12/08/15,1438855.0,43.45,43.15,43.45,43.0
13/08/15,3285125.0,43.45,43.1,43.45,43.0
14/08/15,1282010.0,43.15,42.9,43.15,42.9
17/08/15,17361725.0,42.9,42.5,42.9,41.0
18/08/15,4628250.0,42.5,42.5,42.5,42.5
19/08/15,5461905.0,42.5,42.95,42.95,42.5
20/08/15,340195.0,42.95,42.0,42.95,42.0
24/08/15,7860005.0,42.0,40.95,42.0,40.6
25/08/15,652550.0,40.4,40.9,40.9,40.4
26/08/15,1536375.0,40.95,41.0,42.85,40.9
27/08/15,6990080.0,42.0,42.5,42.55,42.0
28/08/15,1635740.0,42.5,42.5,42.55,42.0
01/09/15,8065925.0,42.5,42.5,42.55,42.25
02/09/15,258560.0,41.7,41.8,41.8,41.7
03/09/15,813965.0,42.0,42.15,42.15,41.8
04/09/15,164575.0,42.4,42.0,42.4,42.0
07/09/15,2182870.0,41.5,42.0,42.0,41.5
08/09/15,7526675.0,41.5,42.25,42.25,41.5
09/09/15,1260145.0,42.25,42.25,42.25,42.0
10/09/15,12145850.0,42.0,42.5,42.9,42.0
11/09/15,5328890.0,42.0,42.5,42.7,42.0
14/09/15,11116325.0,42.5,42.6,42.6,42.0
15/09/15,1990185.0,42.9,42.5,42.9,42.0
15/09/15,1990185.0,42.9,42.5,42.9,42.0
15/09/15,1990185.0,42.9,42.5,42.9,42.0
16/09/15,1896815.0,42.5,42.6,43.0,42.5
17/09/15,3362370.0,42.6,42.0,42.6,42.0
18/09/15,7042825.0,42.0,42.65,42.65,42.0
21/09/15,1278895.0,42.5,42.65,42.7,41.5
22/09/15,10284215.0,42.4,42.5,42.55,42.4
23/09/15,2930570.0,42.5,42.6,42.6,42.0
24/09/15,773615.0,42.0,41.95,42.6,41.5
28/09/15,1298915.0,41.95,41.8,41.95,41.8
29/09/15,2277110.0,41.8,41.8,41.8,41.75
30/09/15,2483250.0,41.8,41.0,41.8,41.0
01/10/15,37115380.0,41.1,41.2,42.0,41.1
02/10/15,1105300.0,41.3,41.3,41.8,41.3
05/10/15,683755.0,41.3,41.35,41.55,41.3
06/10/15,3722720.0,41.4,41.1,41.4,41.1
07/10/15,1323675.0,41.2,41.45,41.45,41.0
08/10/15,314540.0,41.3,41.35,41.4,41.3
09/10/15,10243290.0,41.3,41.1,41.4,41.0
12/10/15,4298730.0,41.0,41.05,41.1,41.0
13/10/15,4716345.0,41.1,41.05,41.2,41.0
14/10/15,6387210.0,41.0,41.0,41.2,40.8
15/10/15,3446990.0,40.85,40.95,41.0,40.8
16/10/15,2057030.0,41.0,40.8,41.0,40.75
19/10/15,10862290.0,41.0,40.5,41.0,39.95
20/10/15,1853400.0,40.5,40.1,40.5,40.05
21/10/15,4249700.0,40.5,40.0,40.55,40.0
22/10/15,6683720.0,40.05,40.0,40.2,39.95
23/10/15,1494640.0,40.0,40.4,40.4,40.0
26/10/15,2028240.0,40.4,40.4,40.8,40.4
27/10/15,440545.0,41.4,40.95,41.4,40.4
28/10/15,4563700.0,41.0,40.25,41.0,40.0
29/10/15,298060.0,40.25,40.25,40.4,40.25
30/10/15,3076860.0,40.5,40.0,40.8,40.0
02/11/15,2486355.0,40.8,40.85,40.85,40.0
