Date,Value,Open,Close,High,Low
15/07/15,5560000.0,26.2,26.75,26.8,26.1
16/07/15,949025.0,26.55,26.75,26.75,26.55
20/07/15,1829570.0,26.85,26.85,26.85,26.0
21/07/15,5580120.0,26.4,26.3,26.4,25.65
22/07/15,8030750.0,25.65,26.2,26.9,25.5
23/07/15,7304615.0,26.0,26.4,26.7,26.0
23/07/15,7304615.0,26.0,26.4,26.7,26.0
23/07/15,7304615.0,26.0,26.4,26.7,26.0
24/07/15,8405120.0,26.0,26.2,26.2,25.3
27/07/15,8272710.0,26.35,26.2,26.5,25.25
28/07/15,8091380.0,26.4,26.1,26.4,25.9
29/07/15,7799750.0,26.45,26.05,26.45,26.05
30/07/15,7723920.0,26.4,26.0,26.4,26.0
31/07/15,9255335.0,25.3,26.0,26.0,25.25
03/08/15,9673490.0,26.05,26.0,26.05,25.3
04/08/15,11614855.0,26.0,25.95,26.0,25.3
05/08/15,8591460.0,25.95,25.95,26.0,25.2
06/08/15,9928390.0,26.0,26.0,26.3,25.95
07/08/15,10256280.0,26.0,27.3,27.3,26.0
10/08/15,8437160.0,27.3,27.3,27.3,26.05
11/08/15,7513610.0,27.25,27.3,27.3,27.05
12/08/15,8882980.0,27.45,27.6,27.6,26.3
13/08/15,8978325.0,27.55,27.55,27.55,27.0
14/08/15,9147880.0,27.5,27.0,27.65,27.0
17/08/15,11070880.0,27.1,27.6,27.75,27.1
18/08/15,12797440.0,27.6,27.3,27.65,27.0
19/08/15,11463125.0,27.5,26.5,27.55,26.5
20/08/15,10291275.0,27.0,26.75,27.0,25.5
24/08/15,10529860.0,26.7,26.0,26.7,24.0
25/08/15,10359650.0,24.0,27.25,27.25,24.0
26/08/15,9323785.0,26.45,26.75,27.05,26.0
27/08/15,9333500.0,27.0,27.0,27.25,26.75
28/08/15,8337000.0,27.0,27.0,27.0,26.9
01/09/15,9296760.0,27.25,27.1,27.25,27.1
02/09/15,9372570.0,27.0,27.15,27.2,27.0
03/09/15,16547255.0,27.15,27.0,27.15,27.0
04/09/15,11560810.0,26.9,27.0,27.1,26.0
07/09/15,10829700.0,27.0,27.0,27.0,27.0
08/09/15,9981650.0,27.0,27.0,27.0,26.5
09/09/15,10444380.0,27.0,26.95,27.0,26.0
10/09/15,11664240.0,26.8,26.5,26.95,25.95
11/09/15,12154550.0,26.45,25.9,26.5,25.9
14/09/15,13673225.0,25.9,26.25,27.0,25.9
15/09/15,10654280.0,26.25,26.05,26.25,26.0
15/09/15,10654280.0,26.25,26.05,26.25,26.0
15/09/15,10654280.0,26.25,26.05,26.25,26.0
16/09/15,10167170.0,26.05,26.15,26.2,25.8
17/09/15,8479570.0,25.5,26.5,27.0,25.5
18/09/15,3875830.0,26.8,26.4,26.85,25.5
21/09/15,4931070.0,26.4,26.5,26.5,25.5
22/09/15,4441080.0,25.55,26.0,26.5,25.3
23/09/15,2674350.0,26.0,25.75,26.45,25.1
24/09/15,1969865.0,25.75,25.75,25.75,25.0
28/09/15,15001060.0,25.9,26.0,26.1,25.1
29/09/15,14181615.0,25.75,25.8,26.0,25.5
30/09/15,15111530.0,26.0,25.9,26.0,25.1
01/10/15,15334405.0,26.0,25.85,26.0,25.0
02/10/15,17427775.0,25.85,25.85,25.9,25.0
05/10/15,18595185.0,25.8,25.95,25.95,25.0
06/10/15,18310235.0,25.95,26.15,26.3,25.6
07/10/15,35289515.0,25.95,26.15,26.3,25.1
08/10/15,18337300.0,26.0,25.5,26.1,25.0
09/10/15,8313075.0,25.7,25.1,25.75,24.2
12/10/15,11100500.0,24.5,26.5,26.5,24.1
13/10/15,9859630.0,26.5,26.3,26.5,26.0
14/10/15,9891770.0,26.1,25.8,26.1,25.05
15/10/15,10671800.0,25.8,26.0,26.0,25.1
16/10/15,11052055.0,25.95,25.95,26.0,25.05
19/10/15,25141035.0,25.85,26.3,26.3,25.0
20/10/15,18589975.0,26.2,24.0,26.2,24.0
21/10/15,17903075.0,24.35,25.0,25.2,24.35
22/10/15,10496030.0,25.0,24.05,25.0,24.05
23/10/15,21835770.0,24.4,24.9,24.9,24.0
26/10/15,13259525.0,24.7,24.6,25.0,23.8
27/10/15,11987330.0,23.6,23.0,24.35,22.0
28/10/15,6456050.0,22.05,22.8,22.9,22.0
29/10/15,4665445.0,22.6,22.05,22.85,22.05
30/10/15,13340035.0,22.2,24.0,25.0,21.0
02/11/15,8108540.0,23.95,23.4,24.0,22.5
03/11/15,3866350.0,23.0,23.9,24.0,22.65
04/11/15,3825630.0,23.5,23.0,24.0,23.0
05/11/15,5210910.0,22.7,24.0,24.0,22.7
06/11/15,21459590.0,23.95,21.5,23.95,21.0
09/11/15,232958630.0,21.5,23.0,23.0,20.5
10/11/15,301658725.0,20.35,20.7,22.25,20.0
11/11/15,66598350.0,20.95,21.3,21.8,20.8
12/11/15,51340310.0,21.3,21.45,21.7,20.65
13/11/15,11877930.0,21.45,20.85,21.65,20.8
16/11/15,32181170.0,20.9,20.35,20.9,20.35
17/11/15,45369315.0,20.5,21.0,21.0,20.3
20/11/15,7547790.0,20.45,20.75,20.95,20.45
23/11/15,13157990.0,20.75,20.7,20.75,20.5
24/11/15,19832615.0,20.7,20.5,20.7,20.2
25/11/15,12448440.0,20.3,20.4,20.5,20.2
26/11/15,46966020.0,20.3,20.9,20.9,20.2
27/11/15,10771390.0,20.9,20.35,21.0,20.35
01/12/15,133969060.0,20.4,21.5,21.9,20.4
02/12/15,35916255.0,21.6,21.2,21.9,21.1
03/12/15,80202470.0,21.2,22.45,22.45,20.95
04/12/15,40254810.0,22.4,21.9,22.4,21.9
07/12/15,111296560.0,21.5,21.75,22.2,21.5
08/12/15,119542485.0,21.7,21.7,21.9,21.65
09/12/15,16821825.0,21.5,21.55,21.7,21.4
10/12/15,29901080.0,21.55,21.5,21.6,21.4
11/12/15,41530565.0,21.5,21.35,21.5,21.05
14/12/15,8993670.0,21.0,20.5,21.3,20.25
15/12/15,6772685.0,20.75,20.45,20.75,20.45
16/12/15,13975105.0,20.5,20.5,20.6,20.45
17/12/15,26630915.0,20.7,20.5,20.7,20.4
18/12/15,1566805.0,20.4,20.3,20.4,20.3
21/12/15,1384815.0,20.3,20.35,20.5,20.3
22/12/15,49733265.0,20.95,20.2,20.95,20.2
23/12/15,10140600.0,20.2,20.05,20.9,20.05
28/12/15,2121460.0,20.1,20.15,20.5,20.1
29/12/15,115221355.0,20.55,20.75,20.75,20.3
04/01/16,863955.0,20.75,20.5,20.75,20.3
05/01/16,2214900.0,20.4,20.25,20.4,20.25
06/01/16,5767225.0,20.3,20.15,20.3,20.1
07/01/16,19181446.0,20.25,18.72,20.25,18.72
08/01/16,40950528.0,18.12,18.7,19.28,18.0
11/01/16,3899018.0,18.2,17.8,18.7,17.8
12/01/16,6368908.0,17.8,17.78,18.2,17.5
13/01/16,3074940.0,18.2,17.78,18.2,17.78
14/01/16,5487094.0,17.88,17.46,17.88,17.46
15/01/16,11704992.0,17.5,17.62,17.64,17.5
18/01/16,9091210.0,17.5,18.4,18.4,17.4
19/01/16,7378014.0,18.44,19.98,19.98,18.0
20/01/16,9158124.0,19.96,19.2,19.96,19.2
21/01/16,542254.0,19.0,19.14,19.14,18.5
22/01/16,12504142.0,18.5,19.44,19.8,18.5
25/01/16,4002440.0,19.44,19.1,19.5,19.1
26/01/16,4216044.0,19.1,19.3,19.62,19.0
27/01/16,25688732.0,19.4,19.7,19.9,19.4
28/01/16,12932858.0,19.6,19.7,19.88,19.6
29/01/16,5162836.0,19.68,19.72,19.72,19.2
01/02/16,2380808.0,19.72,19.6,19.9,19.6
02/02/16,809166.0,19.62,19.6,19.68,19.3
03/02/16,2365520.0,19.56,19.4,19.56,19.32
04/02/16,1769666.0,19.4,19.4,19.42,19.38
05/02/16,5395898.0,19.0,19.56,19.8,19.0
09/02/16,3571162.0,19.4,19.44,20.1,19.1
10/02/16,1928636.0,19.2,19.42,19.46,19.2
11/02/16,8810030.0,19.2,19.4,19.44,19.2
12/02/16,1024252.0,19.38,19.36,19.38,19.0
15/02/16,1449378.0,19.04,19.4,19.4,19.04
16/02/16,15007324.0,19.2,18.1,19.2,18.1
17/02/16,7102076.0,18.4,17.9,19.0,17.9
18/02/16,25347462.0,18.0,18.52,18.6,18.0
19/02/16,3152060.0,18.52,18.22,18.72,18.22
22/02/16,2091028.0,18.68,18.18,18.7,18.1
23/02/16,808986.0,18.12,18.0,18.6,18.0
24/02/16,7250430.0,18.0,18.0,18.42,17.7
26/02/16,7832168.0,18.38,18.9,19.0,18.22
29/02/16,1738630.0,18.88,19.0,19.0,18.32
01/03/16,2970790.0,18.98,18.96,19.3,18.5
02/03/16,2213912.0,19.28,18.9,19.3,18.72
03/03/16,2713678.0,19.0,18.9,19.3,18.8
04/03/16,1004816.0,18.78,19.0,19.3,18.74
07/03/16,-7825340.0,19.2,18.8,19.42,18.34
08/03/16,3642122.0,18.86,18.68,18.86,18.56
09/03/16,1467680.0,18.98,18.82,18.98,18.8
10/03/16,1436896.0,18.96,18.84,18.96,18.64
11/03/16,3220436.0,18.96,18.74,18.96,18.54
14/03/16,6412982.0,18.6,18.48,18.96,18.48
15/03/16,9236336.0,18.48,18.5,18.5,18.38
16/03/16,3785658.0,18.48,18.46,18.96,18.44
17/03/16,15586546.0,18.42,18.0,18.66,18.0
18/03/16,9542440.0,18.02,17.8,18.36,17.8
21/03/16,7887480.0,18.1,17.8,18.1,17.78
22/03/16,8081974.0,18.1,17.5,18.2,17.5
23/03/16,22142122.0,17.98,17.2,17.98,17.2
28/03/16,15425416.0,17.24,18.18,18.34,17.2
29/03/16,11850068.0,18.24,18.2,18.32,18.0
30/03/16,48137836.0,18.4,19.4,19.74,18.2
31/03/16,16161926.0,19.5,19.82,19.82,19.0
01/04/16,2106562.0,19.82,19.7,19.82,19.6
04/04/16,39382629.0,19.7,19.98,20.6,19.54
05/04/16,8174290.0,19.9,19.7,19.98,19.6
06/04/16,3765636.0,19.5,19.38,19.92,19.1
07/04/16,4055652.0,19.78,19.12,19.78,19.02
08/04/16,2918814.0,19.12,19.6,19.6,19.1
11/04/16,1830880.0,19.6,19.6,19.7,19.12
12/04/16,716188.0,19.22,19.56,19.56,19.12
13/04/16,997998.0,19.5,19.32,19.5,19.2
14/04/16,3148270.0,19.22,19.14,19.48,19.14
15/04/16,1814234.0,19.48,19.06,19.48,19.06
18/04/16,6199240.0,19.06,18.6,19.36,18.6
19/04/16,3079382.0,19.0,18.68,19.0,18.62
