Date,Value,Open,Close,High,Low
16/07/15,5500.0,1.08,1.13,1.13,1.08
20/07/15,4680.0,1.18,1.16,1.18,1.16
22/07/15,3330.0,1.07,1.13,1.13,1.07
23/07/15,2320.0,1.16,1.16,1.16,1.16
23/07/15,2320.0,1.16,1.16,1.16,1.16
23/07/15,2320.0,1.16,1.16,1.16,1.16
24/07/15,19130.0,1.11,1.06,1.11,1.06
27/07/15,10600.0,1.06,1.06,1.06,1.06
29/07/15,6260.0,1.04,1.05,1.05,1.04
30/07/15,54520.0,1.06,1.03,1.15,1.03
03/08/15,15430.0,1.12,1.11,1.12,1.05
04/08/15,8530.0,1.11,1.06,1.11,1.06
06/08/15,5300.0,1.06,1.06,1.06,1.06
07/08/15,1060.0,1.06,1.06,1.06,1.06
11/08/15,12010.0,1.06,1.13,1.13,1.06
14/08/15,50050.0,1.06,1.13,1.13,1.03
17/08/15,28250.0,1.13,1.13,1.13,1.13
18/08/15,3090.0,1.03,1.03,1.03,1.03
24/08/15,4646280.0,1.02,1.0,1.02,1.0
25/08/15,629000.0,1.0,1.0,1.0,1.0
26/08/15,30890.0,1.0,0.99,1.0,0.99
27/08/15,30000.0,1.0,1.0,1.0,1.0
03/09/15,3090.0,1.03,1.03,1.03,1.03
04/09/15,4000.0,0.94,1.02,1.02,0.94
09/09/15,19060.0,1.0,1.03,1.03,1.0
10/09/15,1030.0,1.03,1.03,1.03,1.03
14/09/15,25200.0,0.96,0.97,0.97,0.96
16/09/15,5130.0,1.03,1.02,1.03,1.02
17/09/15,7210.0,1.03,1.03,1.03,1.03
18/09/15,9330.0,1.03,1.03,1.05,1.03
22/09/15,26790.0,1.03,0.97,1.03,0.97
29/09/15,10670.0,0.97,0.97,0.97,0.97
06/10/15,11540.0,0.97,0.96,0.97,0.96
07/10/15,39350.0,0.97,0.94,0.97,0.94
08/10/15,104200.0,0.95,0.9,0.95,0.9
09/10/15,10410.0,0.94,0.94,1.01,0.94
15/10/15,16920.0,0.94,0.94,0.94,0.94
21/10/15,1501900.0,0.92,1.0,1.0,0.92
22/10/15,12630.0,0.99,0.93,0.99,0.93
23/10/15,9750.0,0.94,0.99,0.99,0.94
26/10/15,8420.0,0.94,0.93,0.94,0.93
27/10/15,7920.0,0.99,0.99,0.99,0.99
02/11/15,9400.0,0.94,0.94,0.94,0.94
03/11/15,940.0,0.94,0.94,0.94,0.94
06/11/15,48120.0,0.94,0.95,0.95,0.93
09/11/15,9500.0,0.95,0.95,0.95,0.95
10/11/15,12980.0,0.93,0.92,0.93,0.92
12/11/15,32950.0,0.92,0.91,0.92,0.91
13/11/15,46620.0,0.91,0.92,0.92,0.91
20/11/15,5520.0,0.92,0.92,0.92,0.92
24/11/15,5482750.0,0.91,0.91,0.91,0.91
25/11/15,598730.0,0.91,0.91,0.91,0.9
27/11/15,31850.0,0.91,0.91,0.91,0.91
02/12/15,17480.0,0.92,0.92,0.92,0.92
10/12/15,900.0,0.9,0.9,0.9,0.9
11/12/15,980.0,0.98,0.98,0.98,0.98
21/12/15,55290.0,0.97,0.97,0.97,0.97
22/12/15,8730.0,0.97,0.97,0.97,0.97
28/12/15,32980.0,0.97,0.97,0.97,0.97
05/01/16,5460.0,0.91,0.91,0.91,0.91
11/01/16,58240.0,0.91,0.91,0.91,0.91
14/01/16,50400.0,0.9,0.9,0.9,0.9
26/01/16,36400.0,0.91,0.91,0.91,0.91
29/01/16,910.0,0.91,0.91,0.91,0.91
11/02/16,5660.0,0.91,0.96,0.96,0.91
15/02/16,3680.0,0.92,0.92,0.92,0.92
16/02/16,44160.0,0.96,0.96,0.96,0.96
19/02/16,60730.0,0.98,0.94,1.0,0.94
22/02/16,21650.0,0.98,0.99,0.99,0.98
03/03/16,1860.0,0.93,0.93,0.93,0.93
08/03/16,37050.0,1.09,1.08,1.09,1.08
09/03/16,36600.0,1.08,0.96,1.08,0.96
10/03/16,21340.0,0.97,0.97,0.97,0.97
15/03/16,970.0,0.97,0.97,0.97,0.97
28/03/16,1880.0,0.94,0.94,0.94,0.94
29/03/16,940.0,0.94,0.94,0.94,0.94
30/03/16,16920.0,0.94,0.94,0.94,0.94
01/04/16,8000.0,1.0,1.0,1.0,1.0
04/04/16,11040.0,1.0,1.04,1.04,1.0
05/04/16,3050.0,1.03,1.0,1.03,1.0
06/04/16,5000.0,1.0,1.0,1.0,1.0
08/04/16,2020.0,1.01,1.01,1.01,1.01
12/04/16,3000.0,1.0,1.0,1.0,1.0
14/04/16,3840.0,0.96,0.96,0.96,0.96
20/04/16,9700.0,0.97,0.97,0.97,0.97
21/04/16,7760.0,0.97,0.97,0.97,0.97
25/04/16,14660.0,0.97,0.98,0.98,0.97
27/04/16,165670.0,0.96,0.96,1.03,0.94
28/04/16,39420.0,0.93,0.96,0.96,0.92
29/04/16,8640.0,0.96,0.96,0.96,0.96
03/05/16,15360.0,0.96,0.96,0.96,0.96
04/05/16,63330.0,0.96,0.94,0.96,0.94
05/05/16,1960.0,0.98,0.98,0.98,0.98
10/05/16,16750.0,0.98,0.99,0.99,0.98
11/05/16,52290.0,0.99,0.99,0.99,0.97
12/05/16,10890.0,0.99,0.99,0.99,0.99
16/05/16,45270.0,1.01,1.04,1.04,1.01
17/05/16,38760.0,1.02,0.98,1.04,0.98
18/05/16,11880.0,0.99,0.99,0.99,0.99
19/05/16,5880.0,0.98,0.98,0.98,0.98
25/05/16,39140.0,0.98,0.95,0.98,0.95
26/05/16,13420.0,0.95,0.98,0.98,0.95
30/05/16,16660.0,0.98,0.98,0.98,0.98
31/05/16,7840.0,0.98,0.98,0.98,0.98
02/06/16,9800.0,0.98,0.98,0.98,0.98
06/06/16,5700.0,0.95,0.95,0.95,0.95
07/06/16,8000.0,1.0,1.0,1.0,1.0
08/06/16,46240.0,1.04,1.0,1.04,1.0
09/06/16,3140.0,1.0,1.07,1.07,1.0
10/06/16,81780.0,1.06,1.0,1.06,1.0
13/06/16,17000.0,1.0,1.0,1.0,1.0
16/06/16,10000.0,1.0,1.0,1.0,1.0
17/06/16,7000.0,1.0,1.0,1.0,1.0
20/06/16,1050.0,1.05,1.05,1.05,1.05
21/06/16,5190.0,1.05,1.01,1.06,1.01
28/06/16,910.0,0.91,0.91,0.91,0.91
29/06/16,69000.0,0.92,0.92,0.92,0.92
04/07/16,83600.0,0.95,0.95,0.95,0.95
08/07/16,135890.0,1.01,1.0,1.14,1.0
11/07/16,830950.0,1.1,1.15,1.4,1.03
12/07/16,77560.0,1.15,1.09,1.15,1.06
13/07/16,48490.0,1.1,1.09,1.1,1.03
14/07/16,123840.0,1.03,1.09,1.09,1.03
