Date,Value,Open,Close,High,Low
16/07/15,4070.0,1.01,1.04,1.04,1.01
20/07/15,7110.0,1.03,1.01,1.03,1.01
21/07/15,10250.0,1.01,1.04,1.04,1.01
22/07/15,125220.0,1.01,1.0,1.01,1.0
23/07/15,17000.0,1.0,1.0,1.0,1.0
23/07/15,17000.0,1.0,1.0,1.0,1.0
23/07/15,17000.0,1.0,1.0,1.0,1.0
24/07/15,27070.0,1.04,1.06,1.06,1.04
27/07/15,1040.0,1.04,1.04,1.04,1.04
30/07/15,2040.0,1.04,1.0,1.04,1.0
10/08/15,19290.0,1.01,1.03,1.03,1.01
12/08/15,29610.0,1.01,1.04,1.04,1.0
14/08/15,52270.0,1.0,1.05,1.05,1.0
17/08/15,1050.0,1.05,1.05,1.05,1.05
18/08/15,24280.0,1.01,1.05,1.05,1.01
19/08/15,43880.0,1.01,1.05,1.06,1.01
20/08/15,100080.0,1.01,1.0,1.01,1.0
24/08/15,5032400.0,1.0,1.0,1.02,1.0
26/08/15,35500.0,1.0,0.95,1.0,0.95
27/08/15,3980.0,0.95,1.04,1.04,0.95
03/09/15,2100.0,1.05,1.05,1.05,1.05
04/09/15,1030.0,1.03,1.03,1.03,1.03
17/09/15,52530.0,1.03,1.03,1.03,1.03
29/09/15,13300.0,0.95,0.95,0.95,0.95
30/09/15,16080.0,0.95,1.03,1.03,0.95
01/10/15,950.0,0.95,0.95,0.95,0.95
05/10/15,8240.0,1.03,1.03,1.03,1.03
06/10/15,34360.0,1.04,1.05,1.05,1.0
07/10/15,6200.0,1.1,1.0,1.1,1.0
08/10/15,24450.0,1.15,1.0,1.15,1.0
09/10/15,3230.0,1.08,1.07,1.08,1.07
13/10/15,21220.0,1.07,1.01,1.07,1.0
14/10/15,3180.0,1.06,1.06,1.06,1.06
15/10/15,3160.0,1.04,1.06,1.06,1.04
16/10/15,2020.0,1.01,1.01,1.01,1.01
19/10/15,2020.0,1.01,1.01,1.01,1.01
20/10/15,308050.0,1.01,1.01,1.01,1.01
21/10/15,6360.0,1.06,1.06,1.06,1.06
22/10/15,3130.0,1.01,1.06,1.06,1.01
23/10/15,3060.0,1.02,1.02,1.02,1.02
26/10/15,2120.0,1.06,1.06,1.06,1.06
28/10/15,5150.0,1.03,1.03,1.03,1.03
