Date,Value,Open,Close,High,Low
22/07/15,3024.0,10.08,10.08,10.08,10.08
06/08/15,19690.0,9.22,10.04,10.04,9.22
07/08/15,1010.0,10.1,10.1,10.1,10.1
11/08/15,6454.0,9.22,9.22,9.22,9.22
28/08/15,9889.0,9.79,10.1,10.1,9.79
01/09/15,1000.0,10.0,10.0,10.0,10.0
23/09/15,1010.0,10.1,10.1,10.1,10.1
16/10/15,1010.0,10.1,10.1,10.1,10.1
21/10/15,14338.0,8.49,10.0,10.0,8.48
22/10/15,5000.0,10.0,10.0,10.0,10.0
27/11/15,7992.0,8.56,10.0,10.0,8.56
01/12/15,1000.0,10.0,10.0,10.0,10.0
09/12/15,998.0,9.98,9.98,9.98,9.98
10/12/15,998.0,9.98,9.98,9.98,9.98
29/12/15,6000.0,10.0,10.0,10.0,10.0
24/02/16,2850.0,9.5,9.5,9.5,9.5
29/02/16,4997.0,9.99,10.0,10.0,9.99
14/03/16,100790.0,10.0,10.1,10.1,10.0
30/03/16,1000.0,10.0,10.0,10.0,10.0
13/04/16,20900.0,10.0,10.0,10.0,9.5
14/04/16,2000.0,10.0,10.0,10.0,10.0
17/05/16,3800.0,9.5,9.5,9.5,9.5
26/05/16,4555.0,9.11,9.11,9.11,9.11
31/05/16,5080.0,10.16,10.16,10.16,10.16
01/06/16,5080.0,10.16,10.16,10.16,10.16
30/06/16,46740.0,10.16,10.0,10.16,8.8
01/07/16,76925.0,9.05,9.05,9.05,9.05
05/07/16,904.0,9.04,9.04,9.04,9.04
11/07/16,7232.0,9.04,9.04,9.04,9.04
12/07/16,28928.0,9.04,9.04,9.04,9.04
13/07/16,5400.0,9.0,9.0,9.0,9.0
