Date,Value,Open,Close,High,Low
15/07/15,182990.0,0.75,0.76,0.78,0.75
16/07/15,94510.0,0.77,0.79,0.79,0.77
20/07/15,622140.0,0.79,0.79,0.79,0.78
21/07/15,3159210.0,0.79,0.75,0.79,0.74
22/07/15,606110.0,0.75,0.78,0.79,0.75
23/07/15,12435190.0,0.79,0.8,0.87,0.79
23/07/15,12435190.0,0.79,0.8,0.87,0.79
23/07/15,12435190.0,0.79,0.8,0.87,0.79
24/07/15,1400610.0,0.82,0.8,0.83,0.8
27/07/15,698680.0,0.8,0.79,0.8,0.78
28/07/15,836190.0,0.78,0.76,0.78,0.76
29/07/15,1835060.0,0.76,0.76,0.77,0.75
30/07/15,98470.0,0.78,0.76,0.78,0.75
31/07/15,553870.0,0.76,0.75,0.77,0.75
03/08/15,569890.0,0.75,0.76,0.77,0.74
04/08/15,294000.0,0.75,0.75,0.75,0.75
05/08/15,296680.0,0.75,0.75,0.75,0.74
06/08/15,362500.0,0.75,0.75,0.77,0.75
07/08/15,245230.0,0.75,0.75,0.75,0.74
10/08/15,660960.0,0.74,0.74,0.75,0.74
11/08/15,1267890.0,0.74,0.73,0.74,0.73
12/08/15,606980.0,0.73,0.72,0.74,0.71
13/08/15,447320.0,0.72,0.73,0.73,0.71
14/08/15,3071170.0,0.71,0.7,0.71,0.68
17/08/15,223530.0,0.7,0.66,0.7,0.66
18/08/15,392900.0,0.69,0.71,0.72,0.65
19/08/15,37080.0,0.66,0.69,0.71,0.66
20/08/15,19180.0,0.69,0.69,0.7,0.67
24/08/15,686980.0,0.67,0.65,0.68,0.65
25/08/15,96200.0,0.65,0.65,0.65,0.65
26/08/15,238240.0,0.65,0.65,0.65,0.61
27/08/15,519250.0,0.66,0.68,0.69,0.65
28/08/15,146550.0,0.69,0.7,0.7,0.69
01/09/15,421410.0,0.7,0.7,0.7,0.66
02/09/15,106480.0,0.69,0.67,0.69,0.66
03/09/15,34600.0,0.67,0.65,0.67,0.65
04/09/15,268320.0,0.66,0.66,0.66,0.65
07/09/15,21410.0,0.65,0.65,0.65,0.64
08/09/15,407900.0,0.65,0.64,0.65,0.64
09/09/15,211640.0,0.62,0.63,0.64,0.61
10/09/15,1506190.0,0.63,0.65,0.65,0.62
11/09/15,147140.0,0.62,0.62,0.65,0.62
14/09/15,129070.0,0.63,0.63,0.64,0.62
15/09/15,19200.0,0.64,0.64,0.64,0.64
15/09/15,19200.0,0.64,0.64,0.64,0.64
15/09/15,19200.0,0.64,0.64,0.64,0.64
16/09/15,260130.0,0.64,0.66,0.67,0.64
17/09/15,66030.0,0.66,0.65,0.66,0.65
18/09/15,169240.0,0.65,0.67,0.67,0.65
21/09/15,319760.0,0.63,0.65,0.66,0.63
22/09/15,144900.0,0.65,0.64,0.65,0.63
23/09/15,650.0,0.65,0.65,0.65,0.65
24/09/15,98350.0,0.63,0.66,0.66,0.63
28/09/15,142430.0,0.66,0.62,0.66,0.62
29/09/15,278220.0,0.62,0.63,0.64,0.62
30/09/15,38550.0,0.62,0.65,0.65,0.62
01/10/15,302120.0,0.66,0.64,0.68,0.64
02/10/15,201430.0,0.63,0.63,0.65,0.62
05/10/15,70160.0,0.62,0.65,0.66,0.62
06/10/15,52200.0,0.67,0.65,0.67,0.65
07/10/15,19340.0,0.67,0.66,0.67,0.66
08/10/15,85390.0,0.66,0.65,0.66,0.63
09/10/15,532970.0,0.65,0.65,0.68,0.64
12/10/15,258420.0,0.65,0.67,0.67,0.65
13/10/15,17410.0,0.68,0.67,0.68,0.65
14/10/15,27180.0,0.67,0.66,0.67,0.66
15/10/15,71920.0,0.66,0.67,0.67,0.65
16/10/15,213810.0,0.67,0.65,0.68,0.65
19/10/15,359040.0,0.65,0.64,0.68,0.64
20/10/15,333440.0,0.64,0.64,0.64,0.64
21/10/15,137730.0,0.64,0.64,0.66,0.64
22/10/15,96000.0,0.64,0.64,0.64,0.64
23/10/15,2543430.0,0.66,0.64,0.69,0.64
26/10/15,382100.0,0.65,0.66,0.66,0.65
27/10/15,715280.0,0.66,0.66,0.66,0.65
28/10/15,358980.0,0.65,0.67,0.67,0.64
29/10/15,7830890.0,0.67,0.7,0.75,0.67
30/10/15,1012590.0,0.7,0.67,0.71,0.67
02/11/15,296420.0,0.68,0.68,0.69,0.67
