Date,Value,Open,Close,High,Low
15/07/15,377088.0,56.7,56.8,56.8,56.7
16/07/15,271427.0,56.9,57.0,57.0,56.9
20/07/15,2925210.0,57.0,58.0,58.0,57.0
21/07/15,3833388.0,58.0,55.15,58.0,55.1
22/07/15,3712945.0,56.95,56.8,57.0,56.8
23/07/15,6306480.0,57.0,57.0,57.0,57.0
23/07/15,6306480.0,57.0,57.0,57.0,57.0
23/07/15,6306480.0,57.0,57.0,57.0,57.0
24/07/15,4077380.0,56.5,56.5,57.0,56.45
27/07/15,1532017.0,56.5,56.35,56.5,56.3
28/07/15,2204852.0,56.35,56.0,56.35,56.0
29/07/15,1948764.0,56.0,55.4,56.0,55.4
30/07/15,19247943.0,55.0,55.0,55.1,55.0
31/07/15,8623510.0,55.0,55.0,56.0,55.0
03/08/15,14490060.5,56.0,55.9,56.0,55.0
04/08/15,8422380.0,55.8,55.5,55.8,55.0
05/08/15,3987623.0,55.5,55.35,55.5,54.0
06/08/15,1212391.5,56.0,55.0,56.0,54.9
07/08/15,4081629.0,54.95,54.95,54.95,54.0
10/08/15,4067018.0,54.95,54.75,54.95,53.6
11/08/15,15340549.5,53.5,54.4,54.45,52.0
12/08/15,17994839.0,53.0,53.0,54.0,52.5
13/08/15,3516830.0,52.0,50.0,52.0,50.0
14/08/15,6755387.0,50.0,45.0,50.0,45.0
17/08/15,18918540.0,45.5,45.9,47.0,45.0
18/08/15,18819430.0,46.0,46.4,46.4,46.0
19/08/15,20767155.0,47.45,46.5,47.45,46.45
20/08/15,9486000.0,46.5,46.5,46.5,46.5
24/08/15,14158175.0,46.0,45.2,46.0,44.95
25/08/15,7398000.0,45.0,45.0,45.0,45.0
26/08/15,37248590.0,45.0,44.7,45.0,44.5
27/08/15,28730570.0,45.0,44.7,45.0,44.65
28/08/15,41899725.0,44.7,44.0,44.95,43.7
01/09/15,12089270.0,45.3,43.9,45.3,43.8
02/09/15,11470770.0,43.9,42.95,43.9,42.95
03/09/15,29104255.0,43.0,42.95,43.2,42.9
04/09/15,12687550.0,46.7,42.5,46.75,42.3
07/09/15,5573395.0,43.8,42.0,43.8,41.95
08/09/15,2480810.0,42.0,42.05,42.35,42.0
09/09/15,5851325.0,42.1,41.95,42.1,41.95
10/09/15,508100.0,41.95,42.0,42.0,41.95
11/09/15,1336360.0,41.9,41.6,41.95,41.6
14/09/15,26737620.0,41.6,42.0,42.05,41.6
15/09/15,34368685.0,42.0,42.0,42.45,41.95
15/09/15,34368685.0,42.0,42.0,42.45,41.95
15/09/15,34368685.0,42.0,42.0,42.45,41.95
16/09/15,58956175.0,42.0,42.0,43.7,41.25
17/09/15,19162000.0,42.0,43.0,43.0,42.0
18/09/15,2855250.0,43.0,46.7,46.7,42.9
21/09/15,23622020.0,46.6,45.0,46.6,44.8
22/09/15,38910130.0,44.0,43.5,44.0,43.2
23/09/15,8156630.0,43.5,41.6,43.5,41.6
24/09/15,17118830.0,41.8,41.6,43.0,41.6
28/09/15,45760.0,41.6,41.6,41.6,41.6
29/09/15,1316360.0,41.0,41.0,41.2,40.0
30/09/15,6285950.0,42.5,40.0,42.5,40.0
01/10/15,10230835.0,39.8,40.0,40.9,39.8
02/10/15,4250.0,42.5,42.5,42.5,42.5
05/10/15,122585.0,42.0,42.35,42.4,42.0
06/10/15,482065.0,42.4,46.05,46.05,42.4
07/10/15,13007650.0,46.1,44.0,46.7,43.5
08/10/15,6845750.0,44.0,44.0,44.0,43.0
09/10/15,84193110.0,42.0,42.0,42.0,41.55
12/10/15,15579900.0,42.0,41.65,42.0,41.65
13/10/15,106176850.0,41.65,41.5,41.75,41.5
16/10/15,1054080.0,41.2,41.2,41.2,41.0
19/10/15,27815520.0,41.2,42.5,42.5,40.0
20/10/15,2858720.0,40.1,42.5,42.5,40.1
21/10/15,1855450.0,42.5,42.6,43.5,42.5
22/10/15,2330420.0,42.6,42.8,42.8,42.5
23/10/15,2562845.0,43.0,43.0,43.1,43.0
26/10/15,4119450.0,43.0,43.0,43.05,43.0
27/10/15,18280245.0,44.0,45.4,45.5,44.0
28/10/15,6832815.0,45.4,45.7,46.0,45.4
29/10/15,2208840.0,45.6,45.7,45.8,45.6
30/10/15,3028785.0,45.7,46.5,46.5,45.7
02/11/15,3912605.0,46.5,46.75,46.75,46.5
03/11/15,12802290.0,47.0,47.2,47.2,46.55
04/11/15,5642320.0,46.75,46.85,47.2,46.75
05/11/15,1379700.0,46.85,46.3,46.85,45.5
06/11/15,5040000.0,46.0,45.8,46.0,45.8
09/11/15,604595.0,45.8,45.45,45.8,45.0
10/11/15,31670.0,45.45,44.0,45.45,44.0
11/11/15,2583335.0,45.0,44.0,46.85,41.1
12/11/15,1912975.0,44.0,43.8,44.0,42.75
13/11/15,388355.0,41.35,41.2,41.4,41.2
16/11/15,1640885.0,41.2,42.0,42.0,41.0
17/11/15,7031720.0,42.0,41.0,42.0,41.0
20/11/15,12137150.0,41.0,41.0,41.1,41.0
23/11/15,11439950.0,43.5,41.5,43.95,41.5
24/11/15,23347900.0,41.5,41.5,41.5,41.5
25/11/15,21000.0,42.0,42.0,42.0,42.0
27/11/15,4180.0,41.8,41.8,41.8,41.8
01/12/15,3556925.0,42.0,41.05,42.0,41.05
02/12/15,45245.0,41.05,41.95,41.95,41.05
04/12/15,2344660.0,41.5,41.05,41.5,41.05
07/12/15,9060710.0,41.05,41.0,41.05,40.5
08/12/15,9971800.0,40.65,41.0,41.0,40.5
09/12/15,240700.0,41.5,41.5,41.5,41.5
10/12/15,6523950.0,42.5,43.5,43.5,42.5
11/12/15,728490.0,43.2,44.0,45.5,43.2
14/12/15,797620.0,45.3,44.5,45.7,44.0
15/12/15,8900.0,44.5,44.5,44.5,44.5
16/12/15,29370.0,41.0,44.3,44.3,41.0
17/12/15,928520.0,44.3,44.5,44.5,41.3
18/12/15,3891500.0,43.0,43.0,43.0,43.0
21/12/15,4064490.0,41.15,41.55,42.9,41.15
22/12/15,9737295.0,41.65,41.55,41.65,41.3
23/12/15,4490935.0,41.55,41.5,41.55,41.5
28/12/15,214810.0,42.9,43.0,43.0,42.9
29/12/15,9317330.0,43.0,43.0,43.5,43.0
04/01/16,971900.0,43.0,43.0,43.5,43.0
05/01/16,2954175.0,43.0,43.25,43.25,43.0
06/01/16,878800.0,44.5,43.5,44.5,43.5
07/01/16,952890.0,42.0,42.4,43.5,42.0
08/01/16,2492670.0,42.2,42.1,42.2,42.1
11/01/16,738410.0,41.5,42.0,42.05,41.5
12/01/16,5466595.0,42.0,41.95,42.0,41.0
13/01/16,1808250.0,44.0,41.95,44.0,41.95
14/01/16,7005345.0,41.95,42.0,42.1,41.95
15/01/16,6905750.0,42.0,42.0,42.0,41.5
18/01/16,21709575.0,42.1,42.0,42.5,41.95
19/01/16,50857795.0,41.95,42.0,42.0,41.95
20/01/16,12267975.0,41.05,42.0,42.0,41.05
21/01/16,88200.0,42.0,42.0,42.0,42.0
25/01/16,151790.0,41.3,41.0,41.3,41.0
26/01/16,67353320.0,41.0,41.9,42.0,40.05
27/01/16,28948875.0,40.95,41.0,42.0,40.95
28/01/16,12300.0,41.0,41.0,41.0,41.0
29/01/16,260375.0,41.0,40.0,41.0,40.0
01/02/16,1159690.0,40.3,39.9,40.3,39.7
02/02/16,1761440.0,42.9,39.8,42.9,39.8
03/02/16,4625910.0,39.8,37.0,39.8,37.0
04/02/16,15431475.0,37.0,37.15,37.25,37.0
05/02/16,723850.0,37.25,37.5,37.55,37.25
