Date,Value,Open,Close,High,Low
11/08/15,4800.0,48.0,48.0,48.0,48.0
27/08/15,4800.0,48.0,48.0,48.0,48.0
22/09/15,10000.0,50.0,50.0,50.0,50.0
06/10/15,1500.0,50.0,50.0,50.0,50.0
02/12/15,4500.0,45.0,45.0,45.0,45.0
07/01/16,34070.0,30.3,34.0,34.0,30.3
13/01/16,3500.0,35.0,35.0,35.0,35.0
18/01/16,14300.0,35.0,36.0,36.0,35.0
27/01/16,3310.0,33.1,33.1,33.1,33.1
18/02/16,28040.0,38.0,40.0,42.2,38.0
19/02/16,19500.0,45.0,55.0,55.0,45.0
22/02/16,52371.5,65.0,75.95,75.95,65.0
23/02/16,415003.5,76.0,79.0,80.0,60.0
24/02/16,18429.5,74.95,68.0,74.95,68.0
26/02/16,32860.0,68.0,65.0,68.0,65.0
29/02/16,7620.0,65.0,63.0,65.0,63.0
01/03/16,25560.0,63.0,60.0,63.0,60.0
02/03/16,21425.0,50.0,52.5,60.0,50.0
03/03/16,216390.0,52.5,52.0,52.5,48.0
04/03/16,52049.0,46.5,51.9,52.0,46.5
07/03/16,83200.0,52.0,52.0,52.0,52.0
08/03/16,520.0,52.0,52.0,52.0,52.0
09/03/16,18520.0,60.0,59.5,60.0,59.5
10/03/16,10115.0,59.5,59.5,59.5,59.5
11/03/16,25155.0,50.0,59.5,59.5,50.0
21/03/16,50290.0,59.2,67.0,67.0,59.2
28/03/16,471487.5,72.0,100.5,100.5,70.0
29/03/16,892798.0,106.1,150.7,150.7,106.0
30/03/16,2185620.0,226.0,226.0,226.0,220.0
31/03/16,6473650.0,339.0,339.0,339.0,310.0
01/04/16,3932204.0,338.0,206.0,339.0,205.0
04/04/16,7412234.0,212.0,309.0,309.0,185.0
05/04/16,8665438.0,325.0,360.0,455.0,325.0
06/04/16,4420936.0,372.0,372.0,437.0,355.0
07/04/16,3918128.0,375.0,391.8,412.0,375.0
08/04/16,653480.0,391.8,340.0,391.8,339.0
11/04/16,1696936.0,350.0,330.0,350.0,300.0
12/04/16,614250.0,330.0,310.0,331.0,310.0
13/04/16,705020.0,310.0,329.0,329.0,305.0
14/04/16,404660.0,345.0,321.0,345.0,312.0
15/04/16,370752.0,321.0,319.8,322.0,304.0
18/04/16,651770.0,307.0,290.0,307.0,285.0
19/04/16,1622044.0,290.0,255.0,290.0,220.0
20/04/16,1395930.0,255.0,230.0,255.0,202.0
21/04/16,1495040.0,240.0,206.0,240.0,202.0
22/04/16,399040.0,207.0,202.0,210.0,200.0
25/04/16,164273.0,202.0,198.0,209.0,198.0
26/04/16,114614.0,197.0,197.0,197.0,190.0
27/04/16,300745.0,230.0,190.0,230.0,180.0
28/04/16,2132982.0,200.0,202.0,239.0,200.0
29/04/16,370838.0,200.0,191.0,200.0,190.0
02/05/16,268930.0,192.0,202.0,204.0,190.0
03/05/16,466619.0,202.0,194.0,202.0,190.0
04/05/16,395841.0,190.8,188.8,190.8,188.0
05/05/16,64224.0,201.0,187.4,201.0,187.4
06/05/16,102950.0,187.4,187.0,187.4,187.0
06/05/16,102950.0,187.4,187.0,187.4,187.0
10/05/16,2320320.0,186.4,209.0,209.0,186.4
11/05/16,163570.0,209.0,209.0,209.0,198.0
12/05/16,30280.0,209.0,198.0,209.0,198.0
13/05/16,215850.0,197.0,195.0,197.0,195.0
16/05/16,748830.0,195.0,210.0,230.0,195.0
17/05/16,366320.0,210.0,210.0,211.0,205.0
18/05/16,823173.0,208.0,198.0,208.0,194.0
19/05/16,138910.0,202.0,200.0,205.0,195.0
20/05/16,203950.0,200.0,195.0,200.0,193.0
23/05/16,5894.0,193.0,203.4,203.4,193.0
24/05/16,196979.0,197.0,195.0,197.0,195.0
25/05/16,789247.0,194.2,183.0,194.2,183.0
26/05/16,772560.0,184.0,190.0,200.0,184.0
27/05/16,143042.0,191.0,190.0,194.0,190.0
30/05/16,100625.0,189.0,198.9,200.0,189.0
31/05/16,120748.0,191.0,197.0,205.0,190.1
01/06/16,290899.0,197.1,197.2,204.0,197.1
02/06/16,155560.0,202.0,198.0,202.0,198.0
03/06/16,70702.0,198.0,197.0,198.0,196.0
06/06/16,425896.0,195.0,206.0,206.0,191.0
07/06/16,326086.0,199.0,194.0,200.0,193.0
08/06/16,484369.0,194.0,189.5,195.0,189.0
09/06/16,329553.0,189.0,191.0,206.0,189.0
10/06/16,101385.0,192.0,193.0,193.0,189.1
13/06/16,49281.0,188.5,192.0,193.0,187.0
15/06/16,203815.0,192.0,188.0,194.0,187.0
16/06/16,443822.0,187.0,188.0,194.0,187.0
17/06/16,83698.0,189.9,186.0,189.9,185.0
20/06/16,358935.0,186.1,195.0,195.0,186.0
21/06/16,122574.0,194.8,184.2,195.0,184.2
22/06/16,619949.0,190.0,183.0,190.0,180.0
23/06/16,1251369.0,186.0,180.0,186.0,178.0
24/06/16,136050.0,180.0,179.0,180.0,177.2
27/06/16,503671.0,177.2,176.0,177.4,170.0
28/06/16,189038.0,170.0,172.0,175.0,150.1
29/06/16,231461.0,167.0,183.0,192.9,167.0
30/06/16,80581.0,170.0,183.0,183.0,170.0
01/07/16,143205.0,171.0,173.0,178.0,170.0
04/07/16,211700.0,171.0,170.0,180.0,170.0
05/07/16,190267.0,170.0,165.1,170.0,165.1
07/07/16,1020792.0,165.0,151.0,165.0,151.0
08/07/16,456599.0,150.2,150.0,154.0,149.4
11/07/16,88860.0,155.0,149.0,155.0,149.0
12/07/16,246643.0,158.0,148.4,158.0,148.4
13/07/16,139647.0,150.0,151.5,156.0,150.0
14/07/16,193186.0,157.0,155.2,158.0,152.0
