Date,Value,Open,Close,High,Low
15/07/15,18530884.0,7.63,7.6,7.7,7.55
16/07/15,19459834.0,7.61,7.61,7.7,7.6
20/07/15,7026781.0,7.65,7.56,7.65,7.55
21/07/15,19701586.0,7.56,7.57,7.59,7.55
22/07/15,9699840.0,7.57,7.56,7.57,7.55
23/07/15,38214561.0,7.57,7.72,7.87,7.54
23/07/15,38214561.0,7.57,7.72,7.87,7.54
23/07/15,38214561.0,7.57,7.72,7.87,7.54
24/07/15,10280084.0,7.8,7.81,7.9,7.8
27/07/15,5437596.0,7.81,7.75,7.82,7.62
28/07/15,4969806.0,7.71,7.64,7.71,7.62
29/07/15,23378379.0,7.69,7.52,7.72,7.52
30/07/15,39415217.0,7.53,7.5,7.62,7.5
31/07/15,58582637.0,7.51,7.4,7.53,7.4
03/08/15,18926421.0,7.45,7.36,7.61,7.32
04/08/15,34830766.0,7.39,7.35,7.55,7.28
05/08/15,31877800.0,7.36,7.41,7.49,7.36
06/08/15,30845282.0,7.49,7.29,7.49,7.29
07/08/15,31195339.0,7.42,7.33,7.42,7.29
10/08/15,17031767.0,7.33,7.34,7.4,7.3
11/08/15,22811436.0,7.34,7.35,7.4,7.33
12/08/15,33759166.0,7.36,7.33,7.36,7.33
13/08/15,9886164.0,7.33,7.36,7.39,7.32
14/08/15,39327479.0,7.36,7.75,7.75,7.36
17/08/15,18829624.0,7.75,7.46,7.75,7.41
18/08/15,11525594.0,7.6,7.4,7.6,7.39
19/08/15,18197270.0,7.4,7.35,7.42,7.32
20/08/15,35193037.0,7.32,7.15,7.32,7.12
24/08/15,26577985.0,7.0,6.5,7.0,6.43
25/08/15,13452178.0,6.4,6.5,6.54,6.35
26/08/15,33889759.0,6.5,6.61,6.75,6.5
27/08/15,48636428.0,6.75,6.8,6.83,6.75
28/08/15,32775093.0,6.81,6.95,6.99,6.81
01/09/15,2911197.0,6.96,6.83,6.97,6.82
02/09/15,7128330.0,6.8,6.73,6.8,6.63
03/09/15,15783931.0,6.93,6.88,6.93,6.75
04/09/15,19204277.0,6.77,6.71,6.81,6.68
07/09/15,11637526.0,6.72,6.7,6.72,6.64
08/09/15,6800628.0,6.62,6.68,6.8,6.62
09/09/15,20789084.0,6.7,6.79,6.82,6.68
10/09/15,13700162.0,6.8,6.74,6.8,6.72
11/09/15,6657259.0,6.82,6.7,6.84,6.61
14/09/15,23087798.0,6.65,6.73,6.84,6.65
15/09/15,11536182.0,6.74,6.75,6.8,6.73
15/09/15,11536182.0,6.74,6.75,6.8,6.73
15/09/15,11536182.0,6.74,6.75,6.8,6.73
16/09/15,15059628.0,6.79,6.9,6.99,6.74
17/09/15,5267235.0,6.99,6.93,6.99,6.9
18/09/15,29485038.0,6.93,7.1,7.1,6.93
21/09/15,8252791.0,7.11,6.96,7.11,6.93
22/09/15,3317063.0,7.05,6.97,7.05,6.95
23/09/15,4814757.0,6.95,6.94,6.97,6.93
24/09/15,4896420.0,6.92,6.79,6.92,6.74
28/09/15,4149078.0,6.8,6.89,6.95,6.8
29/09/15,6110249.0,6.89,6.88,6.94,6.85
30/09/15,13696629.0,6.89,6.77,6.89,6.76
01/10/15,2365171.0,6.77,6.75,6.77,6.75
02/10/15,4440267.0,6.77,6.7,6.87,6.7
05/10/15,5294093.0,6.7,6.89,6.9,6.68
06/10/15,21884373.0,6.93,7.0,7.07,6.93
07/10/15,12050692.0,7.0,7.07,7.08,7.0
08/10/15,13988535.0,7.07,7.15,7.25,7.07
09/10/15,13092207.0,7.19,7.23,7.3,7.15
12/10/15,4135130.0,7.23,7.16,7.28,7.16
13/10/15,6671903.0,7.28,7.23,7.28,7.2
14/10/15,9465929.0,7.23,7.18,7.25,7.1
15/10/15,20493105.0,7.22,7.2,7.24,7.2
16/10/15,17169893.0,7.23,7.2,7.29,7.15
19/10/15,12186529.0,7.2,7.25,7.29,7.2
20/10/15,16323113.0,7.26,7.28,7.29,7.2
21/10/15,19473826.0,7.28,7.4,7.51,7.28
22/10/15,15001278.0,7.49,7.4,7.49,7.35
23/10/15,15606772.0,7.49,7.45,7.52,7.42
26/10/15,22873500.0,7.52,7.66,7.69,7.46
27/10/15,13048152.0,7.69,7.63,7.69,7.6
28/10/15,3135804.0,7.64,7.52,7.64,7.44
29/10/15,3473373.0,7.52,7.45,7.52,7.44
30/10/15,6743987.0,7.46,7.45,7.47,7.44
02/11/15,6695522.0,7.48,7.63,7.63,7.44
03/11/15,20417080.0,7.64,7.68,7.68,7.52
04/11/15,16824377.0,7.68,7.62,7.68,7.6
05/11/15,2371702.0,7.67,7.57,7.67,7.48
06/11/15,8973694.0,7.57,7.65,7.65,7.45
09/11/15,15774715.0,7.63,7.57,7.63,7.5
10/11/15,14198121.0,7.57,7.46,7.57,7.4
11/11/15,11034089.0,7.46,7.34,7.46,7.27
12/11/15,5731814.0,7.3,7.38,7.39,7.3
13/11/15,23754338.0,7.35,7.4,7.46,7.3
16/11/15,41009561.0,7.32,7.45,7.62,7.32
17/11/15,17859025.0,7.55,7.55,7.59,7.5
20/11/15,9048997.0,7.55,7.59,7.62,7.55
23/11/15,18612579.0,7.63,7.43,7.63,7.43
24/11/15,6829175.0,7.5,7.46,7.55,7.36
25/11/15,83145909.0,7.49,7.52,7.56,7.43
26/11/15,24790709.0,7.52,7.52,7.54,7.5
27/11/15,18379879.0,7.52,7.48,7.52,7.42
01/12/15,13680327.0,7.49,7.54,7.56,7.49
02/12/15,2126346.0,7.54,7.6,7.6,7.51
03/12/15,9662214.0,7.52,7.55,7.64,7.45
04/12/15,36515886.0,7.6,7.54,7.6,7.49
07/12/15,16847317.0,7.5,7.55,7.59,7.5
08/12/15,18561318.0,7.54,7.55,7.57,7.5
09/12/15,45242116.0,7.55,7.62,7.74,7.55
10/12/15,18821398.0,7.62,7.7,7.72,7.62
11/12/15,19058693.0,7.7,7.78,7.88,7.7
14/12/15,88407390.0,7.78,8.2,8.2,7.7
15/12/15,63268916.0,8.2,8.01,8.22,8.0
16/12/15,42966826.0,8.1,7.9,8.12,7.87
17/12/15,62103166.0,8.0,7.9,8.1,7.88
18/12/15,49282462.0,7.9,7.85,7.9,7.83
21/12/15,3659095.0,7.82,7.9,8.1,7.76
22/12/15,8829834.0,7.94,8.03,8.06,7.94
23/12/15,16401576.0,8.05,8.08,8.15,8.0
28/12/15,47953123.0,8.11,8.46,8.49,8.1
29/12/15,10386540.0,8.4,8.2,8.4,8.2
04/01/16,16662089.0,8.1,8.1,8.19,8.05
05/01/16,30094136.0,8.1,8.06,8.1,8.0
06/01/16,20109557.0,8.09,8.26,8.33,8.09
07/01/16,55292088.0,8.1,8.14,8.19,8.1
08/01/16,5443830.0,8.12,7.9,8.12,7.55
11/01/16,17053676.0,7.88,7.62,7.88,7.55
12/01/16,68444973.0,7.6,7.59,7.63,7.55
13/01/16,39582646.0,7.6,7.58,7.6,7.56
14/01/16,31023151.0,7.53,7.4,7.53,7.32
15/01/16,11404345.0,7.46,7.42,7.48,7.4
18/01/16,34453380.0,7.35,7.05,7.35,7.0
19/01/16,10086699.0,7.05,7.11,7.12,7.05
20/01/16,6796529.0,7.12,7.08,7.3,7.05
21/01/16,8151840.0,7.0,7.04,7.29,7.0
22/01/16,30442631.0,7.03,7.06,7.34,7.03
25/01/16,15729559.0,7.1,7.13,7.25,7.07
26/01/16,8993231.0,7.23,7.17,7.23,7.15
27/01/16,8050855.0,7.21,7.26,7.26,7.2
28/01/16,7643337.0,7.28,7.35,7.38,7.28
29/01/16,39575756.0,7.38,7.37,7.39,7.35
01/02/16,10873083.0,7.36,7.37,7.4,7.34
02/02/16,12135530.0,7.42,7.45,7.49,7.4
03/02/16,17008036.0,7.45,7.3,7.45,7.2
04/02/16,4042098.0,7.43,7.41,7.43,7.3
05/02/16,9572535.0,7.41,7.35,7.49,7.33
09/02/16,27581429.0,7.49,7.32,7.49,7.26
10/02/16,4097181.0,7.39,7.31,7.39,7.3
11/02/16,14836446.0,7.24,7.39,7.42,7.24
12/02/16,1404261.0,7.38,7.36,7.38,7.3
15/02/16,27205172.0,7.36,7.33,7.36,7.31
16/02/16,4246522.0,7.35,7.3,7.35,7.3
17/02/16,20773210.0,7.3,7.35,7.41,7.3
18/02/16,6263991.0,7.42,7.35,7.42,7.35
19/02/16,17348196.0,7.36,7.23,7.43,7.2
22/02/16,6199972.0,7.23,7.3,7.31,7.23
23/02/16,8656484.0,7.2,7.23,7.31,7.2
24/02/16,1815450.0,7.24,7.19,7.24,7.18
26/02/16,6654718.0,7.19,7.2,7.25,7.18
29/02/16,21597520.0,7.24,7.47,7.47,7.24
01/03/16,9005305.0,7.47,7.43,7.47,7.34
02/03/16,1131465.0,7.45,7.4,7.46,7.35
03/03/16,47880592.0,7.45,7.62,7.67,7.44
04/03/16,3842687.0,7.62,7.64,7.67,7.55
07/03/16,18570852.0,7.64,7.72,7.78,7.64
08/03/16,14579579.0,7.73,7.64,7.75,7.62
09/03/16,8552646.0,7.62,7.5,7.62,7.5
10/03/16,10168970.0,7.65,7.6,7.74,7.49
11/03/16,15676189.0,7.74,7.71,7.74,7.58
14/03/16,20014836.0,7.72,7.76,7.86,7.72
15/03/16,11908832.0,7.76,7.62,7.77,7.58
16/03/16,2957002.0,7.62,7.45,7.66,7.4
17/03/16,30195191.0,7.44,7.47,7.55,7.44
18/03/16,44701099.0,7.5,7.2,7.5,7.2
21/03/16,9533202.0,7.42,7.31,7.44,7.31
22/03/16,7101270.0,7.4,7.35,7.48,7.3
23/03/16,4987787.0,7.4,7.32,7.4,7.3
28/03/16,49112425.0,7.35,7.37,7.44,7.34
29/03/16,51801427.0,7.37,7.37,7.4,7.33
30/03/16,24158418.0,7.38,7.3,7.46,7.25
31/03/16,19393346.0,7.4,7.4,7.44,7.38
01/04/16,6725394.0,7.4,7.44,7.48,7.4
04/04/16,11233204.0,7.44,7.47,7.49,7.43
05/04/16,5084337.0,7.47,7.43,7.47,7.38
06/04/16,4017640.0,7.43,7.36,7.43,7.35
07/04/16,18538061.0,7.36,7.4,7.45,7.36
08/04/16,18689497.0,7.36,7.57,7.62,7.35
11/04/16,21059764.0,7.63,7.78,7.8,7.58
12/04/16,62400194.0,7.8,8.19,8.19,7.8
13/04/16,18318850.0,8.19,8.04,8.23,7.9
14/04/16,76193472.0,8.05,8.54,8.54,8.05
15/04/16,25041774.0,8.54,8.31,8.61,8.27
18/04/16,18639118.0,8.25,8.3,8.37,8.16
19/04/16,5678973.0,8.28,8.4,8.41,8.23
20/04/16,40626585.0,8.35,8.52,8.66,8.35
21/04/16,21526281.0,8.5,8.53,8.61,8.45
22/04/16,39124332.0,8.53,8.63,8.7,8.46
25/04/16,15703346.0,8.63,8.31,8.63,8.31
26/04/16,10188535.0,8.35,8.2,8.45,8.13
27/04/16,9270820.0,8.2,8.09,8.2,8.08
28/04/16,15781555.0,8.09,7.97,8.18,7.97
29/04/16,9908978.0,7.95,7.94,8.0,7.9
02/05/16,6232713.0,7.94,7.68,7.94,7.68
03/05/16,6251806.0,7.66,7.98,8.08,7.66
04/05/16,6994239.0,8.0,7.89,8.0,7.82
05/05/16,15947599.0,7.89,7.76,7.9,7.68
06/05/16,21781148.0,7.68,7.82,7.87,7.67
06/05/16,21781148.0,7.68,7.82,7.87,7.67
10/05/16,12940853.0,7.8,7.69,7.84,7.63
11/05/16,34584213.0,7.82,7.94,7.99,7.75
12/05/16,9343294.0,7.98,7.89,7.98,7.87
13/05/16,7528945.0,7.9,7.95,7.97,7.87
16/05/16,4835218.0,7.96,7.93,8.01,7.92
17/05/16,9264414.0,8.02,7.93,8.16,7.92
18/05/16,6034508.0,8.02,7.9,8.02,7.86
19/05/16,7828962.0,8.0,7.77,8.15,7.77
20/05/16,4435430.0,7.77,7.69,7.77,7.67
23/05/16,16210301.0,7.69,7.58,7.76,7.52
24/05/16,13923610.0,7.55,7.64,7.78,7.55
25/05/16,3588878.0,7.64,7.68,7.79,7.64
26/05/16,8033837.0,7.8,7.67,7.8,7.67
27/05/16,9290528.0,7.65,7.75,7.8,7.65
30/05/16,1877471.0,7.8,7.7,7.8,7.7
31/05/16,14597606.0,7.7,7.67,7.71,7.63
01/06/16,4296252.0,7.8,7.78,7.8,7.76
02/06/16,25988643.0,7.8,7.89,7.91,7.79
03/06/16,3659547.0,7.9,7.89,7.92,7.8
06/06/16,9864252.0,7.94,7.98,8.0,7.9
07/06/16,32415853.0,8.01,8.03,8.1,8.01
08/06/16,61535187.0,8.0,7.94,8.01,7.9
09/06/16,4890718.0,7.9,7.93,7.93,7.89
10/06/16,16469978.0,7.93,7.83,7.97,7.71
13/06/16,24444794.0,7.77,7.7,7.77,7.69
14/06/16,8256813.0,7.7,7.68,7.73,7.66
15/06/16,7155556.0,7.66,7.73,7.9,7.66
16/06/16,5019654.0,7.73,7.93,7.95,7.73
17/06/16,12384902.0,7.97,7.93,7.98,7.9
20/06/16,7622608.0,7.93,7.85,7.97,7.84
21/06/16,14888928.0,7.99,7.95,8.0,7.9
