Date,Value,Open,Close,High,Low
15/07/15,3107170.0,2.45,2.4,2.45,2.36
16/07/15,5215540.0,2.4,2.45,2.47,2.4
20/07/15,3061460.0,2.48,2.45,2.5,2.42
21/07/15,33210490.0,2.47,2.65,2.69,2.47
22/07/15,14537830.0,2.65,2.66,2.75,2.65
23/07/15,5862490.0,2.69,2.57,2.69,2.57
23/07/15,5862490.0,2.69,2.57,2.69,2.57
23/07/15,5862490.0,2.69,2.57,2.69,2.57
24/07/15,7655360.0,2.59,2.61,2.64,2.52
27/07/15,5164470.0,2.6,2.55,2.67,2.55
28/07/15,14024600.0,2.52,2.53,2.59,2.46
29/07/15,4268710.0,2.59,2.6,2.64,2.55
30/07/15,15343430.0,2.6,2.66,2.73,2.6
31/07/15,34699560.0,2.7,2.8,2.83,2.7
03/08/15,33041070.0,2.83,2.95,2.97,2.82
04/08/15,34949030.0,2.97,2.95,3.05,2.95
05/08/15,17082830.0,2.89,3.0,3.0,2.83
06/08/15,8597550.0,3.0,2.96,3.03,2.92
07/08/15,19239200.0,2.94,3.04,3.07,2.9
10/08/15,19836130.0,3.06,3.2,3.2,3.05
11/08/15,24931130.0,3.25,3.07,3.33,3.0
12/08/15,6834830.0,3.1,3.11,3.2,3.05
13/08/15,13939030.0,3.13,2.99,3.17,2.99
14/08/15,21835110.0,2.9,2.92,3.0,2.84
17/08/15,18457940.0,2.92,2.71,2.92,2.68
18/08/15,22240950.0,2.7,2.89,2.93,2.7
19/08/15,3670690.0,2.94,2.9,2.95,2.89
20/08/15,10188420.0,2.9,2.8,2.93,2.79
24/08/15,12188860.0,2.65,2.33,2.65,2.3
25/08/15,3025110.0,2.3,2.34,2.46,2.25
26/08/15,7165350.0,2.45,2.55,2.55,2.4
27/08/15,7843950.0,2.62,2.68,2.72,2.58
28/08/15,7522970.0,2.6,2.75,2.75,2.6
01/09/15,2307990.0,2.7,2.68,2.74,2.6
02/09/15,3448220.0,2.52,2.67,2.75,2.52
03/09/15,5471340.0,2.7,2.75,2.75,2.65
04/09/15,13471400.0,2.71,2.62,2.88,2.6
07/09/15,3268960.0,2.62,2.58,2.65,2.58
08/09/15,1896340.0,2.58,2.62,2.62,2.52
09/09/15,1246020.0,2.63,2.64,2.7,2.59
10/09/15,783170.0,2.62,2.58,2.67,2.55
11/09/15,2369230.0,2.55,2.61,2.62,2.55
14/09/15,1287160.0,2.6,2.57,2.6,2.57
15/09/15,2051300.0,2.58,2.59,2.62,2.56
15/09/15,2051300.0,2.58,2.59,2.62,2.56
15/09/15,2051300.0,2.58,2.59,2.62,2.56
16/09/15,5916940.0,2.62,2.61,2.62,2.5
17/09/15,15282490.0,2.61,2.77,2.82,2.56
18/09/15,9128370.0,2.83,2.85,2.94,2.82
21/09/15,7846660.0,2.85,2.74,2.9,2.69
22/09/15,15761460.0,2.75,2.82,3.13,2.75
23/09/15,4238480.0,2.85,2.78,2.85,2.7
24/09/15,1152550.0,2.8,2.79,2.8,2.73
28/09/15,4567300.0,2.79,2.85,2.88,2.7
29/09/15,4625830.0,2.85,2.74,2.85,2.7
30/09/15,17304480.0,2.75,2.6,2.78,2.52
01/10/15,3036580.0,2.61,2.6,2.69,2.58
02/10/15,17316300.0,2.66,2.4,2.66,2.38
05/10/15,8136420.0,2.49,2.38,2.49,2.37
06/10/15,4086460.0,2.47,2.43,2.47,2.38
07/10/15,3808750.0,2.43,2.44,2.52,2.38
08/10/15,2956620.0,2.45,2.45,2.49,2.4
09/10/15,3114030.0,2.45,2.39,2.45,2.38
12/10/15,2720840.0,2.39,2.46,2.47,2.38
13/10/15,492960.0,2.48,2.45,2.48,2.41
14/10/15,931310.0,2.45,2.43,2.46,2.4
15/10/15,738150.0,2.42,2.45,2.48,2.4
16/10/15,863430.0,2.45,2.44,2.47,2.4
19/10/15,583000.0,2.47,2.41,2.47,2.4
20/10/15,923400.0,2.41,2.4,2.42,2.38
21/10/15,21434460.0,2.41,2.59,2.73,2.37
22/10/15,13438240.0,2.66,2.63,2.76,2.61
23/10/15,5423830.0,2.67,2.58,2.69,2.52
26/10/15,2718100.0,2.58,2.56,2.61,2.53
27/10/15,2497070.0,2.56,2.53,2.56,2.51
28/10/15,1720180.0,2.53,2.54,2.57,2.49
29/10/15,1524740.0,2.53,2.48,2.58,2.48
30/10/15,2965220.0,2.5,2.54,2.56,2.43
02/11/15,736650.0,2.54,2.49,2.54,2.45
03/11/15,1878300.0,2.45,2.45,2.5,2.45
04/11/15,1200350.0,2.49,2.48,2.53,2.44
05/11/15,2006040.0,2.48,2.45,2.5,2.43
06/11/15,734440.0,2.46,2.45,2.46,2.41
09/11/15,2027490.0,2.45,2.42,2.45,2.38
10/11/15,1530990.0,2.4,2.39,2.4,2.35
11/11/15,4982980.0,2.39,2.48,2.54,2.39
12/11/15,1633970.0,2.49,2.46,2.5,2.4
13/11/15,2473150.0,2.46,2.39,2.46,2.34
16/11/15,1226890.0,2.34,2.31,2.38,2.3
17/11/15,984590.0,2.37,2.36,2.4,2.34
20/11/15,813940.0,2.36,2.4,2.4,2.36
23/11/15,897590.0,2.39,2.36,2.39,2.33
