Date,Value,Open,Close,High,Low
15/07/15,73850.0,0.43,0.445,0.445,0.43
20/07/15,113300.0,0.44,0.435,0.44,0.435
21/07/15,4350.0,0.435,0.435,0.435,0.435
22/07/15,8600.0,0.43,0.43,0.43,0.43
24/07/15,150500.0,0.43,0.43,0.43,0.43
27/07/15,103200.0,0.43,0.43,0.43,0.43
30/07/15,4450.0,0.445,0.445,0.445,0.445
31/07/15,129000.0,0.43,0.43,0.43,0.43
03/08/15,429050.0,0.43,0.42,0.43,0.42
04/08/15,642750.0,0.43,0.435,0.44,0.43
05/08/15,64500.0,0.43,0.43,0.43,0.43
06/08/15,21500.0,0.43,0.43,0.43,0.43
07/08/15,242350.0,0.43,0.435,0.435,0.43
10/08/15,1234850.0,0.435,0.44,0.45,0.435
11/08/15,3942700.0,0.44,0.47,0.475,0.435
12/08/15,4364000.0,0.47,0.485,0.49,0.47
13/08/15,1829600.0,0.485,0.46,0.49,0.46
14/08/15,3069350.0,0.46,0.45,0.48,0.45
17/08/15,930400.0,0.445,0.43,0.445,0.43
18/08/15,748000.0,0.435,0.425,0.435,0.425
19/08/15,521550.0,0.43,0.425,0.43,0.425
20/08/15,1071600.0,0.425,0.435,0.435,0.415
24/08/15,666850.0,0.415,0.38,0.415,0.38
26/08/15,4300.0,0.43,0.43,0.43,0.43
27/08/15,668900.0,0.4,0.415,0.415,0.4
28/08/15,145800.0,0.405,0.405,0.405,0.405
01/09/15,150100.0,0.405,0.405,0.41,0.405
02/09/15,216900.0,0.4,0.41,0.41,0.395
03/09/15,60000.0,0.4,0.4,0.4,0.4
04/09/15,41000.0,0.41,0.41,0.41,0.41
07/09/15,16050.0,0.405,0.4,0.405,0.4
08/09/15,4100.0,0.41,0.41,0.41,0.41
09/09/15,4100.0,0.41,0.41,0.41,0.41
10/09/15,226450.0,0.42,0.415,0.42,0.41
11/09/15,57700.0,0.42,0.41,0.42,0.41
14/09/15,16400.0,0.41,0.41,0.41,0.41
15/09/15,4100.0,0.41,0.41,0.41,0.41
15/09/15,4100.0,0.41,0.41,0.41,0.41
15/09/15,4100.0,0.41,0.41,0.41,0.41
16/09/15,82000.0,0.41,0.41,0.41,0.41
17/09/15,254650.0,0.4,0.42,0.43,0.4
18/09/15,167600.0,0.42,0.43,0.43,0.42
21/09/15,324150.0,0.43,0.43,0.43,0.425
22/09/15,5452500.0,0.435,0.46,0.47,0.43
23/09/15,4550.0,0.455,0.455,0.455,0.455
24/09/15,87900.0,0.45,0.435,0.45,0.435
28/09/15,298000.0,0.43,0.425,0.43,0.425
29/09/15,577200.0,0.425,0.42,0.425,0.415
30/09/15,401200.0,0.42,0.415,0.43,0.415
01/10/15,135400.0,0.425,0.42,0.425,0.42
02/10/15,415000.0,0.415,0.415,0.415,0.415
05/10/15,107900.0,0.415,0.415,0.415,0.415
06/10/15,74750.0,0.415,0.415,0.42,0.415
07/10/15,143650.0,0.415,0.43,0.43,0.415
08/10/15,113900.0,0.42,0.425,0.425,0.42
09/10/15,142150.0,0.43,0.43,0.435,0.43
12/10/15,394250.0,0.435,0.43,0.435,0.43
