Date,Value,Open,Close,High,Low
15/07/15,109842750.0,20.5,20.8,20.85,20.35
16/07/15,228691895.0,20.8,21.25,21.25,20.75
20/07/15,83567010.0,21.25,21.0,21.25,20.95
21/07/15,38123905.0,20.9,21.0,21.0,20.9
22/07/15,33232235.0,20.85,20.7,20.95,20.6
23/07/15,59266645.0,20.6,20.5,21.0,20.3
23/07/15,59266645.0,20.6,20.5,21.0,20.3
23/07/15,59266645.0,20.6,20.5,21.0,20.3
24/07/15,74540825.0,20.5,20.5,21.4,20.45
27/07/15,36578980.0,20.5,20.3,20.9,20.3
28/07/15,50970020.0,20.35,20.65,20.7,20.05
29/07/15,124369800.0,20.75,21.45,21.45,20.45
30/07/15,212222200.0,21.5,22.2,22.5,21.45
31/07/15,72870915.0,22.25,21.55,22.3,21.55
03/08/15,89709145.0,21.65,21.9,22.4,21.65
04/08/15,149005890.0,21.95,21.95,22.15,21.9
05/08/15,136892870.0,21.95,22.75,22.75,21.95
06/08/15,149897980.0,22.4,22.85,23.15,22.4
07/08/15,98151415.0,22.85,22.3,22.85,22.1
10/08/15,43248390.0,22.45,22.4,22.75,22.2
11/08/15,79890615.0,22.4,22.55,22.65,22.3
12/08/15,86504735.0,22.65,21.8,22.65,21.7
13/08/15,94212395.0,22.1,21.8,22.45,21.1
14/08/15,163986255.0,21.75,21.65,22.0,21.2
17/08/15,181686664.0,10.92,10.8,11.26,10.68
18/08/15,82139800.0,11.0,10.76,11.0,10.72
19/08/15,32398902.0,10.8,11.06,11.2,10.68
20/08/15,61175212.0,11.2,11.24,11.34,11.06
24/08/15,91467021.0,10.9,9.75,10.9,9.72
25/08/15,95712407.0,9.68,10.36,10.36,9.28
26/08/15,78402238.0,10.42,10.9,10.96,10.38
27/08/15,63884516.0,11.0,11.2,11.24,10.96
28/08/15,81630872.0,11.22,11.4,11.44,11.16
01/09/15,143502362.0,11.42,11.06,11.94,11.06
02/09/15,68878106.0,10.96,11.1,11.4,10.88
03/09/15,92914534.0,11.3,11.08,11.54,11.08
04/09/15,60666780.0,11.16,10.86,11.34,10.86
07/09/15,64815142.0,10.86,10.84,11.18,10.72
08/09/15,19164094.0,10.86,10.86,11.08,10.86
09/09/15,125943632.0,11.12,10.82,11.28,10.7
10/09/15,67207368.0,10.82,10.86,11.06,10.82
11/09/15,32841474.0,11.0,10.76,11.0,10.74
14/09/15,61629932.0,10.86,11.08,11.08,10.86
15/09/15,24900942.0,11.1,11.0,11.24,10.96
15/09/15,24900942.0,11.1,11.0,11.24,10.96
15/09/15,24900942.0,11.1,11.0,11.24,10.96
16/09/15,25874674.0,11.24,11.1,11.26,11.0
17/09/15,30435448.0,11.02,10.98,11.2,10.94
18/09/15,122099426.0,10.98,10.92,11.14,10.88
21/09/15,62438064.0,10.88,10.8,10.9,10.74
22/09/15,83756592.0,10.8,10.7,10.84,10.66
23/09/15,50106416.0,10.62,10.44,10.64,10.38
24/09/15,75421958.0,10.64,10.46,10.68,10.4
28/09/15,85450604.0,10.46,10.2,10.48,10.2
29/09/15,125189840.0,10.1,9.98,10.16,9.97
30/09/15,68488978.0,9.98,9.99,10.06,9.97
01/10/15,75119475.0,10.0,10.46,10.46,9.99
