Date,Value,Open,Close,High,Low
15/07/15,423345.0,6.29,6.08,6.29,6.08
16/07/15,1026267.0,6.19,6.0,6.2,5.96
20/07/15,151872.0,6.0,6.0,6.2,6.0
21/07/15,806203.0,5.91,5.8,6.26,4.8
22/07/15,307522.0,6.18,5.5,6.18,5.5
23/07/15,1929933.0,5.5,5.12,5.5,5.07
23/07/15,1929933.0,5.5,5.12,5.5,5.07
23/07/15,1929933.0,5.5,5.12,5.5,5.07
24/07/15,512160.0,5.15,5.25,5.62,5.15
27/07/15,662725.0,5.3,5.42,5.45,5.2
28/07/15,3561925.0,5.4,5.6,5.79,5.3
29/07/15,6313140.0,5.5,5.68,5.88,5.5
30/07/15,1659867.0,5.6,5.45,5.6,5.36
31/07/15,780358.0,5.61,5.51,5.72,5.51
03/08/15,2287930.0,5.52,5.4,5.52,5.1
04/08/15,394135.0,5.52,5.2,5.52,5.12
05/08/15,745462.0,5.26,5.44,5.48,5.22
06/08/15,36110.0,5.2,5.35,5.35,5.2
07/08/15,346252.0,5.43,5.52,5.52,5.4
10/08/15,133670.0,5.4,5.42,5.42,5.36
11/08/15,205942.0,5.35,5.4,5.4,5.35
12/08/15,802560.0,5.35,5.3,5.42,5.3
13/08/15,406999.0,5.35,5.15,5.59,5.15
14/08/15,5037272.0,5.55,4.89,5.58,4.7
17/08/15,528940.0,4.6,4.75,4.99,4.6
18/08/15,4990.0,4.99,4.99,4.99,4.99
19/08/15,179300.0,4.7,4.85,4.9,4.7
20/08/15,417220.0,4.8,4.85,4.94,4.8
24/08/15,221030.0,4.7,4.5,4.94,4.5
25/08/15,199000.0,4.45,4.6,4.6,4.2
26/08/15,1210180.0,4.2,4.0,4.4,4.0
27/08/15,360820.0,4.0,4.55,4.55,4.0
28/08/15,810900.0,4.55,4.6,4.75,4.35
01/09/15,1230130.0,4.4,4.78,4.94,4.4
02/09/15,468510.0,4.5,4.75,4.9,4.5
03/09/15,1239030.0,4.7,5.0,5.12,4.7
04/09/15,1290809.0,4.85,5.4,6.0,4.85
07/09/15,231600.0,5.15,5.12,5.18,5.12
08/09/15,2004062.0,5.1,5.09,5.45,4.98
09/09/15,93060.0,5.0,5.1,5.1,4.8
10/09/15,62025.0,4.81,4.81,5.1,4.81
11/09/15,326860.0,4.81,5.1,5.1,4.81
14/09/15,105452.0,5.0,5.0,5.0,4.52
15/09/15,61366.0,4.66,5.0,5.0,4.66
15/09/15,61366.0,4.66,5.0,5.0,4.66
15/09/15,61366.0,4.66,5.0,5.0,4.66
16/09/15,51270.00000000001,4.71,5.0,5.0,4.71
17/09/15,354491.0,4.75,4.95,4.98,4.75
21/09/15,1636230.0,4.8,4.98,4.99,4.7
22/09/15,1109690.0,4.9,5.15,5.15,4.81
23/09/15,285938.0,4.0,4.98,5.05,4.0
24/09/15,739700.0,5.0,5.0,5.3,5.0
28/09/15,1489370.0,4.85,4.85,5.05,4.85
29/09/15,66500.0,4.75,4.75,4.75,4.75
30/09/15,660640.0,4.76,4.75,5.0,4.75
01/10/15,1733490.0,4.71,4.75,4.76,4.71
02/10/15,2070430.0,4.8,4.8,4.8,4.7
05/10/15,172940.0,4.8,4.8,4.94,4.8
