Date,Value,Open,Close,High,Low
15/07/15,183800150.0,13.22,13.42,13.58,13.2
16/07/15,243642832.0,13.4,13.5,13.62,13.28
20/07/15,319385438.0,13.2,12.46,13.2,12.42
21/07/15,191760162.0,12.46,12.56,12.76,12.4
22/07/15,118068420.0,12.5,11.92,12.58,11.86
23/07/15,199136112.0,11.92,12.5,12.74,11.92
23/07/15,199136112.0,11.92,12.5,12.74,11.92
23/07/15,199136112.0,11.92,12.5,12.74,11.92
24/07/15,143977362.0,12.5,12.6,12.7,12.3
27/07/15,46195808.0,12.58,12.44,12.6,12.32
28/07/15,97081404.0,12.3,12.02,12.32,11.94
29/07/15,129069868.0,12.06,11.8,12.3,11.7
30/07/15,74230956.0,11.94,11.84,12.18,11.84
31/07/15,106015058.0,11.98,11.9,12.1,11.88
03/08/15,71401946.0,12.06,12.02,12.1,11.92
04/08/15,27374454.0,12.12,12.0,12.12,11.9
05/08/15,81657638.0,12.0,11.9,12.0,11.78
06/08/15,49521030.0,11.86,11.88,12.12,11.86
07/08/15,43729682.0,11.84,11.86,11.98,11.8
10/08/15,36390472.0,11.86,11.84,12.1,11.84
11/08/15,118507906.0,11.84,12.5,12.64,11.84
12/08/15,363011664.0,12.5,12.78,13.1,12.34
13/08/15,132625584.0,12.96,12.66,13.12,12.14
14/08/15,127801530.0,12.66,12.0,12.7,12.0
17/08/15,39448636.0,12.0,11.82,12.1,11.82
18/08/15,72441576.0,11.82,11.94,12.08,11.78
19/08/15,113952596.0,11.8,11.88,12.1,11.78
20/08/15,81903516.0,11.98,11.6,11.98,11.5
24/08/15,159209210.0,11.3,10.9,11.4,10.6
25/08/15,70555500.0,10.6,10.7,10.9,10.4
26/08/15,112626926.0,10.9,10.84,11.1,10.66
27/08/15,137949606.0,11.38,10.92,11.38,10.86
28/08/15,89965458.0,11.0,11.38,11.38,11.0
01/09/15,50467186.0,10.9,11.2,11.28,10.88
02/09/15,101428268.0,11.18,11.1,11.18,10.84
03/09/15,37688942.0,11.12,11.3,11.38,11.12
04/09/15,65606322.0,11.3,11.72,11.9,11.22
07/09/15,50455162.0,11.7,11.2,11.7,11.2
08/09/15,22578838.0,11.2,11.42,11.42,11.2
09/09/15,45665340.0,11.5,11.56,11.6,11.48
10/09/15,31980098.0,11.54,11.68,11.68,11.32
11/09/15,85286582.0,11.78,12.16,12.3,11.6
14/09/15,134834696.0,12.18,12.6,12.88,12.18
15/09/15,151556170.0,12.8,13.1,13.3,12.8
15/09/15,151556170.0,12.8,13.1,13.3,12.8
15/09/15,151556170.0,12.8,13.1,13.3,12.8
16/09/15,66180430.0,13.08,13.0,13.1,12.7
17/09/15,58264666.0,12.9,12.9,13.08,12.62
18/09/15,137072654.0,13.0,12.9,13.48,12.9
21/09/15,143822544.0,13.02,13.16,13.48,13.0
22/09/15,64579718.0,13.0,13.0,13.16,12.94
23/09/15,61238162.0,13.0,12.6,13.0,12.56
24/09/15,50728774.0,12.6,12.4,12.6,12.14
28/09/15,30344236.0,12.3,11.8,12.32,11.8
29/09/15,47507212.0,11.8,12.26,12.26,11.74
30/09/15,75822564.0,12.32,12.8,12.8,12.08
01/10/15,109179624.0,12.8,12.3,12.9,12.3
02/10/15,46908220.0,12.3,12.42,12.74,12.24
05/10/15,75079864.0,12.38,12.34,12.8,12.1
06/10/15,84242580.0,12.5,12.64,13.2,12.48
07/10/15,87384814.0,12.46,12.48,12.62,12.46
08/10/15,51732878.0,12.62,12.5,12.8,12.46
09/10/15,117722798.0,12.6,12.6,12.62,12.5
12/10/15,68022214.0,12.6,12.84,12.92,12.6
13/10/15,73470638.0,12.86,12.8,12.98,12.74
14/10/15,28378334.0,12.76,12.82,12.9,12.76
15/10/15,87557694.0,12.94,12.76,12.94,12.72
16/10/15,126402992.0,12.96,12.5,12.96,12.44
19/10/15,28543530.0,12.72,12.5,12.78,12.46
20/10/15,82721306.0,12.5,12.52,12.6,12.44
21/10/15,94242198.0,12.56,12.48,12.6,12.4
22/10/15,24212704.0,12.48,12.5,12.56,12.34
23/10/15,66773220.0,12.5,12.6,12.9,12.5
26/10/15,67319388.0,12.96,12.86,13.0,12.8
27/10/15,95247554.0,12.9,12.9,13.0,12.76
28/10/15,40744756.0,12.9,12.8,12.9,12.68
29/10/15,61239656.0,12.8,12.38,12.8,12.38
30/10/15,79333268.0,12.34,12.4,12.44,12.34
02/11/15,74875972.0,12.6,12.62,12.88,12.52
03/11/15,39866148.0,12.62,12.72,12.9,12.62
04/11/15,59550958.0,12.72,12.9,13.08,12.7
05/11/15,33199664.0,12.9,12.5,13.0,12.46
06/11/15,99501804.0,12.78,13.1,13.2,12.4
09/11/15,16875816.0,12.62,13.12,13.2,12.62
10/11/15,85714504.0,12.84,13.3,13.5,12.8
11/11/15,50750062.0,13.18,13.18,13.18,12.82
12/11/15,70109048.0,13.18,12.88,13.48,12.88
13/11/15,17684878.0,12.88,13.18,13.18,12.84
16/11/15,38352370.0,12.86,12.98,13.0,12.74
17/11/15,23565066.0,13.0,12.88,13.0,12.74
20/11/15,298150684.0,12.9,13.0,13.1,12.88
23/11/15,49295170.0,13.0,13.2,13.24,13.0
